Reaction ID	Name	Equation	ec	Definition	R Class	Canonical_SMILES	Isomeric_SMILES	All_Found	Complete_Canonical	Complete_Isomeric	balanced	Promiscuous
R06972		C14149 + C00001 <=> C06554 + C14150	3.5.4.-	N-Cyclopropylammelide + H2O <=> Cyanuric acid + Cyclopropylamine	RC01422  C06554_C14149	C1CC1NC2=NC(=O)NC(=O)N2.O>>C1(=O)NC(=O)NC(=O)N1.NC1CC1	C1CC1NC2=NC(=O)NC(=O)N2.O>>C1(=O)NC(=O)NC(=O)N1.NC1CC1	False	True	True	True	False
R04009		C02658 + C00011 <=> C05718	1.14.13.-	Aldoxime + CO2 <=> 2-Oxoacid oxime	RC01048  C02658_C05718	*/C=N/O.C(=O)=O>>*/C(=N\O)/C(O)=O	*/C=N/O.C(=O)=O>>*/C(=N\O)C(=O)O	False	True	True	True	False
R05670		C07025 <=> C07026	2.-.-.-	3'-Keto-3'-deoxy-AMP <=> 3'-Amino-3'-deoxy-AMP	RC00781  C07025_C07026	C1=NC(=C2C(=N1)N(C=N2)C3C(C(=O)C(O3)COP(=O)(O)O)O)N>>C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)N)O)N	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H](C(=O)[C@H](O3)COP(=O)(O)O)O)N>>C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)N)O)N	True	True	True	False	False
R04401	ATP:[isocitrate dehydrogenase (NADP+)] phosphotransferase	C00002 + C04125 <=> C00008 + C04564	2.7.11.5	ATP + [Isocitrate dehydrogenase (NADP+)] <=> ADP + [Isocitrate dehydrogenase (NADP+)] phosphate	RC00002  C00002_C00008	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.*NC(=O)[C@H](CO)NC(*)=O>>C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N.*NC(=O)[C@H](COP(O)(O)=O)NC(*)=O	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.*NC(=O)[C@H](CO)NC(*)=O>>C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N.*NC(=O)[C@H](COP(=O)(O)O)NC(*)=O	False	True	True	True	False
R05592		C09813 + C00001 <=> C01063	3.1.2.-	2-Oxocyclohexane-1-carbonyl-CoA + H2O <=> Pimeloyl-CoA	RC01429  C01063_C09813	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4=O)O.O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4=O)O.O>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O	True	True	True	True	False
R03720	choloyl-CoA:glycine N-choloyltransferase	C01794 + C00245 <=> C00010 + C05122	2.3.1.65	Choloyl-CoA + Taurine <=> CoA + Taurocholate	RC00004  C00010_C01794	CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C.C(CS(=O)(=O)O)N>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)[C@H]4CC[C@@H]5[C@@]4([C@H](C[C@H]6[C@H]5[C@@H](C[C@H]7[C@@]6(CC[C@H](C7)O)C)O)O)C.C(CS(=O)(=O)O)N>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O.C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	True	True	True	True	False
R06082		G10483(n+2) + C00001 <=> C01674 + G10483(n)	3.2.1.14	beta-1,4-Poly-N-acetyl-D-glucosamine(n+2) + H2O <=> Chitobiose + beta-1,4-Poly-N-acetyl-D-glucosamine(n)		CCCOC1=CC(=CC(=C1O)[N+](=O)[O-])C=O.O>>CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O.CCCOC1=CC(=CC(=C1O)[N+](=O)[O-])C=O	CCCOC1=CC(=CC(=C1O)[N+](=O)[O-])C=O.O>>CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O)O.CCCOC1=CC(=CC(=C1O)[N+](=O)[O-])C=O	True	True	True	False	False
R13138		C06366 + C00007 + C00080 <=> C22646 + C00027 + C00014	1.4.3.27	sym-Homospermidine + Oxygen + H+ <=> N-(4-Aminobutylpyrrolinium) ion + Hydrogen peroxide + Ammonia		C(CCNCCCCN)CN.O=O.[H+]>>C1CC=[N+](C1)CCCCN.OO.N	C(CCNCCCCN)CN.O=O.[H+]>>C1CC=[N+](C1)CCCCN.OO.N	True	True	True	False	False
R13412		C06453 + C17949 + C00019 <=> C05776 + C17952 + C05198 + C00073	2.1.1.326	Methylcobalamin + N-Acetyldemethylphosphinothricin + S-Adenosyl-L-methionine <=> Vitamin B12 + N-Acetylphosphinothricin + 5'-Deoxyadenosine + L-Methionine		[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3].CC(=O)NC(CC[P+](=O)O)C(=O)O.C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O>>*[Co+]N4C5[C@H](CC(N)=O)[C@@](C)(CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N3C=Nc2cc(C)c(C)cc23)/C/4=C(\C)/C8=N\C(=C/C7=N\C(=C(\C)/C6=N[C@]5(C)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]7CCC(N)=O)\C(C)(C)[C@@H]8CCC(N)=O.CC(=O)NC(CCP(=O)(C)O)C(=O)O.CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CSCCC(C(=O)O)N	[CH3-].CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3].CC(=O)N[C@@H](CC[P+](=O)O)C(=O)O.C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O>>*[Co+]N1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n2cnc6cc(C)c(C)cc62)O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O.CC(=O)N[C@@H](CCP(=O)(C)O)C(=O)O.C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.CSCC[C@@H](C(=O)O)N	False	True	True	False	False
R11237		C21209 + C00201 <=> C21210 + C00013	2.7.7.91	1-epi-Valienol 1-phosphate + Nucleoside triphosphate <=> NDP-1-epi-valienol + Diphosphate	RC00002  C21209_C21210	C1=C(C(C(C(C1OP(=O)(O)O)O)O)O)CO.*[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O>>*[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](O)[C@H]2O.OP(=O)(O)OP(=O)(O)O	C1=C([C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O)O)O)CO.*[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O>>*[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O.OP(=O)(O)OP(=O)(O)O	False	True	True	True	False
