reaction_id	rxn	substrates_products	ec
MNXR186798	O=P([O-])([O-])OP(=O)([O-])O.CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O>>Cc1cc(O)c2ccccc2c1O.CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	MNXM11.MNXM819046>>MNXM3658.MNXM728266	2.5.1.M22
MNXR115549	O=C([O-])c1ccccc1C(=O)[O-].[*]N>>[*]NC(=O)c1ccccc1C(=O)[O-].[H]O[H]	MNXM1245.MNXM12468>>MNXM97199.WATER	3.5.1.79
MNXR114097	C=C(C)CCOP(=O)([O-])[O-].O=C=O.O=P([O-])([O-])O>>C[C@@](CCOP(=O)([O-])[O-])(CC(=O)[O-])OP(=O)([O-])[O-].[H+]	MNXM11919.MNXM13.MNXM9>>MNXM12266.MNXM1	4.1.1.110
MNXR153401	O=P([O-])([O-])OC[C@H]1OC(O)C[C@@H]1O>>O=C[C@H](O)COP(=O)([O-])[O-].CC=O	MNXM732594>>MNXM739946.MNXM75	4.1.2.4
MNXR175952	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC/C(S)=N\OS(=O)(=O)[O-]>>C=CC/C(=N\OS(=O)(=O)[O-])S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[H]O[H]	MNXM1105027.MNXM14349>>MNXM727894.WATER	3.2.1.147
MNXR177693	C[NH+](C)C.CC1=C(C/C=C(\C)C[*])C(=O)c2ccccc2C1=O.[H]O[H]>>C[N+](C)(C)[O-].C/C(=C\Cc1c(C)c(O)c2ccccc2c1O)C[*]	MNXM1094294.MNXM732747.WATER>>MNXM736072.MNXM736185	1.7.2.3
MNXR103067	O=C=O.COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC.CC(=O)[O-]>>COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O.CC(=O)C(=O)[O-].[H]O[H]	MNXM13.MNXM191.MNXM26>>MNXM232.MNXM23.WATER	1.2.2.2|1.2.5.1
MNXR144011	[H+].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C/C=C\CC(=O)[O-]>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/CCC(=O)O	MNXM1.MNXM2649>>MNXM739674	5.3.3
MNXR184371	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1.O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1>>CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	MNXM1102789.MNXM736788>>MNXM727276	2.3.1.133
MNXR118259	O=C[O-].Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.CC(C)CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3.[H]O[H]>>CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3.Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O	MNXM39.MNXM729100.MNXM731211.WATER>>MNXM4307.MNXM728238.MNXM735438	1.14.14.154
