database,split,EC_class,count,percentage,n_no_ec7,n_original
MetaNetX,train,Oxidoreductases,16521,40.07,41232,34046
MetaNetX,train,Transferases,11617,28.17,41232,34046
MetaNetX,train,Hydrolases,8215,19.92,41232,34046
MetaNetX,train,Lyases,2495,6.05,41232,34046
MetaNetX,train,Isomerases,898,2.18,41232,34046
MetaNetX,train,Ligases,1486,3.6,41232,34046
MetaNetX,test,Oxidoreductases,1912,42.04,4548,3783
MetaNetX,test,Transferases,1296,28.5,4548,3783
MetaNetX,test,Hydrolases,819,18.01,4548,3783
MetaNetX,test,Lyases,259,5.69,4548,3783
MetaNetX,test,Isomerases,112,2.46,4548,3783
MetaNetX,test,Ligases,150,3.3,4548,3783
KEGG,train,Oxidoreductases,2686,34.6,7763,7001
KEGG,train,Transferases,2465,31.75,7763,7001
KEGG,train,Hydrolases,1167,15.03,7763,7001
KEGG,train,Lyases,826,10.64,7763,7001
KEGG,train,Isomerases,324,4.17,7763,7001
KEGG,train,Ligases,295,3.8,7763,7001
KEGG,test,Oxidoreductases,299,35.18,850,779
KEGG,test,Transferases,261,30.71,850,779
KEGG,test,Hydrolases,123,14.47,850,779
KEGG,test,Lyases,94,11.06,850,779
KEGG,test,Isomerases,40,4.71,850,779
KEGG,test,Ligases,33,3.88,850,779
ECREACT,train,Oxidoreductases,13736,24.64,55738,55982
ECREACT,train,Transferases,29984,53.79,55738,55982
ECREACT,train,Hydrolases,5985,10.74,55738,55982
ECREACT,train,Lyases,3520,6.32,55738,55982
ECREACT,train,Isomerases,1228,2.2,55738,55982
ECREACT,train,Ligases,1285,2.31,55738,55982
ECREACT,test,Oxidoreductases,3052,24.64,12384,12438
ECREACT,test,Transferases,6662,53.8,12384,12438
ECREACT,test,Hydrolases,1332,10.76,12384,12438
ECREACT,test,Lyases,782,6.31,12384,12438
ECREACT,test,Isomerases,272,2.2,12384,12438
ECREACT,test,Ligases,284,2.29,12384,12438
