database,split,EC_class,count,percentage,n_total,n_original
MetaNetX,train,Oxidoreductases,16521,39.83,41477,34046
MetaNetX,train,Transferases,11617,28.01,41477,34046
MetaNetX,train,Hydrolases,8215,19.81,41477,34046
MetaNetX,train,Lyases,2495,6.02,41477,34046
MetaNetX,train,Isomerases,898,2.17,41477,34046
MetaNetX,train,Ligases,1486,3.58,41477,34046
MetaNetX,train,Translocases,245,0.59,41477,34046
MetaNetX,test,Oxidoreductases,1912,41.84,4570,3783
MetaNetX,test,Transferases,1296,28.36,4570,3783
MetaNetX,test,Hydrolases,819,17.92,4570,3783
MetaNetX,test,Lyases,259,5.67,4570,3783
MetaNetX,test,Isomerases,112,2.45,4570,3783
MetaNetX,test,Ligases,150,3.28,4570,3783
MetaNetX,test,Translocases,22,0.48,4570,3783
KEGG,train,Oxidoreductases,2686,34.53,7779,7001
KEGG,train,Transferases,2465,31.69,7779,7001
KEGG,train,Hydrolases,1167,15.0,7779,7001
KEGG,train,Lyases,826,10.62,7779,7001
KEGG,train,Isomerases,324,4.17,7779,7001
KEGG,train,Ligases,295,3.79,7779,7001
KEGG,train,Translocases,16,0.21,7779,7001
KEGG,test,Oxidoreductases,299,35.14,851,779
KEGG,test,Transferases,261,30.67,851,779
KEGG,test,Hydrolases,123,14.45,851,779
KEGG,test,Lyases,94,11.05,851,779
KEGG,test,Isomerases,40,4.7,851,779
KEGG,test,Ligases,33,3.88,851,779
KEGG,test,Translocases,1,0.12,851,779
ECREACT,train,Oxidoreductases,13736,24.54,55982,55982
ECREACT,train,Transferases,29984,53.56,55982,55982
ECREACT,train,Hydrolases,5985,10.69,55982,55982
ECREACT,train,Lyases,3520,6.29,55982,55982
ECREACT,train,Isomerases,1228,2.19,55982,55982
ECREACT,train,Ligases,1285,2.3,55982,55982
ECREACT,train,Translocases,244,0.44,55982,55982
ECREACT,test,Oxidoreductases,3052,24.54,12438,12438
ECREACT,test,Transferases,6662,53.56,12438,12438
ECREACT,test,Hydrolases,1332,10.71,12438,12438
ECREACT,test,Lyases,782,6.29,12438,12438
ECREACT,test,Isomerases,272,2.19,12438,12438
ECREACT,test,Ligases,284,2.28,12438,12438
ECREACT,test,Translocases,54,0.43,12438,12438
