EC Class,Assigned Label
1.1.1,0
1.1.2,1
1.1.3,2
1.1.5,3
1.1.7,4
1.1.9,5
1.1.98,6
1.1.99,7
1.10.1,8
1.10.3,9
1.10.5,10
1.11.1,11
1.11.2,12
1.12.1,13
1.12.2,14
1.12.7,15
1.12.98,16
1.12.99,17
1.13.11,18
1.13.12,19
1.13.99,20
1.14.11,21
1.14.12,22
1.14.13,23
1.14.14,24
1.14.15,25
1.14.16,26
1.14.17,27
1.14.18,28
1.14.19,29
1.14.20,30
1.14.99,31
1.15.1,32
1.16.1,33
1.16.3,34
1.16.99,35
1.17.1,36
1.17.2,37
1.17.3,38
1.17.4,39
1.17.5,40
1.17.7,41
1.17.8,42
1.17.9,43
1.17.98,44
1.17.99,45
1.18.1,46
1.18.6,47
1.19.1,48
1.19.6,49
1.2.1,50
1.2.2,51
1.2.3,52
1.2.4,53
1.2.5,54
1.2.7,55
1.2.98,56
1.2.99,57
1.20.1,58
1.20.2,59
1.20.4,60
1.20.9,61
1.20.99,62
1.21.1,63
1.21.3,64
1.21.4,65
1.21.98,66
1.21.99,67
1.23.1,68
1.23.5,69
1.3.1,70
1.3.2,71
1.3.3,72
1.3.4,73
1.3.5,74
1.3.7,75
1.3.8,76
1.3.98,77
1.3.99,78
1.4.1,79
1.4.2,80
1.4.3,81
1.4.4,82
1.4.5,83
1.4.7,84
1.4.9,85
1.4.99,86
1.5.1,87
1.5.3,88
1.5.4,89
1.5.5,90
1.5.7,91
1.5.8,92
1.5.99,93
1.6.1,94
1.6.2,95
1.6.3,96
1.6.5,97
1.6.99,98
1.7.1,99
1.7.2,100
1.7.3,101
1.7.5,102
1.7.6,103
1.7.7,104
1.7.99,105
1.8.1,106
1.8.2,107
1.8.3,108
1.8.4,109
1.8.5,110
1.8.7,111
1.8.98,112
1.8.99,113
1.9.6,114
1.9.98,115
1.97.1,116
2.1.1,117
2.1.2,118
2.1.3,119
2.1.4,120
2.10.1,121
2.2.1,122
2.3.1,123
2.3.2,124
2.3.3,125
2.4.1,126
2.4.2,127
2.4.3,128
2.4.99,129
2.5.1,130
2.6.1,131
2.6.3,132
2.6.99,133
2.7.1,134
2.7.10,135
2.7.11,136
2.7.12,137
2.7.13,138
2.7.14,139
2.7.2,140
2.7.3,141
2.7.4,142
2.7.6,143
2.7.7,144
2.7.8,145
2.7.9,146
2.8.1,147
2.8.2,148
2.8.3,149
2.8.4,150
2.8.5,151
2.9.1,152
3.1.1,153
3.1.2,154
3.1.3,155
3.1.4,156
3.1.5,157
3.1.6,158
3.1.7,159
3.1.8,160
3.10.1,161
3.11.1,162
3.12.1,163
3.13.1,164
3.13.2,165
3.2.1,166
3.2.2,167
3.3.2,168
3.4.11,169
3.4.13,170
3.4.14,171
3.4.15,172
3.4.17,173
3.4.19,174
3.5.1,175
3.5.2,176
3.5.3,177
3.5.4,178
3.5.5,179
3.5.99,180
3.6.1,181
3.6.2,182
3.6.4,183
3.6.5,184
3.7.1,185
3.8.1,186
3.8.2,187
3.9.1,188
4.1.1,189
4.1.2,190
4.1.3,191
4.1.99,192
4.2.1,193
4.2.2,194
4.2.3,195
4.2.99,196
4.3.1,197
4.3.2,198
4.3.3,199
4.3.99,200
4.4.1,201
4.5.1,202
4.6.1,203
4.7.1,204
4.8.1,205
4.98.1,206
4.99.1,207
5.1.1,208
5.1.2,209
5.1.3,210
5.1.99,211
5.2.1,212
5.3.1,213
5.3.2,214
5.3.3,215
5.3.99,216
5.4.1,217
5.4.2,218
5.4.3,219
5.4.4,220
5.4.99,221
5.5.1,222
5.6.2,223
5.99.1,224
6.1.1,225
6.1.2,226
6.1.3,227
6.2.1,228
6.2.2,229
6.3.1,230
6.3.2,231
6.3.3,232
6.3.4,233
6.3.5,234
6.4.1,235
6.5.1,236
6.6.1,237
6.7.1,238
7.1.1,239
7.1.2,240
7.1.3,241
7.2.1,242
7.2.2,243
7.2.3,244
7.2.4,245
7.3.2,246
7.4.2,247
7.5.2,248
7.6.2,249
