EC Class,Assigned Label
2.1.1,0
4.2.3,1
6.3.2,2
3.2.2,3
1.8.1,4
2.2.1,5
1.1.2,6
2.5.1,7
2.7.1,8
4.4.1,9
1.14.19,10
2.7.8,11
1.5.3,12
3.1.1,13
1.1.1,14
3.1.4,15
7.1.2,16
4.2.1,17
2.4.1,18
4.1.2,19
1.14.14,20
5.5.1,21
4.2.99,22
5.1.3,23
2.3.1,24
3.5.99,25
1.13.11,26
1.16.1,27
2.8.2,28
6.3.1,29
1.14.13,30
2.7.7,31
3.3.2,32
6.3.4,33
1.1.3,34
1.8.5,35
6.2.1,36
3.6.1,37
1.3.1,38
3.5.4,39
1.14.11,40
2.6.1,41
2.6.99,42
1.5.1,43
6.3.5,44
1.4.3,45
3.1.2,46
1.2.1,47
2.3.2,48
2.1.3,49
2.7.9,50
4.3.1,51
1.6.5,52
1.14.99,53
4.1.1,54
5.4.4,55
4.1.99,56
2.7.3,57
1.7.3,58
1.17.1,59
3.5.1,60
7.4.2,61
2.1.2,62
1.21.3,63
1.14.15,64
1.14.20,65
4.1.3,66
2.7.11,67
3.1.3,68
2.7.2,69
1.8.4,70
5.4.3,71
5.4.99,72
5.3.1,73
2.4.2,74
5.3.2,75
5.1.1,76
2.8.3,77
3.8.1,78
7.2.2,79
6.3.3,80
1.7.2,81
1.4.1,82
2.8.1,83
1.10.3,84
3.5.2,85
1.21.98,86
7.5.2,87
3.2.1,88
2.8.4,89
1.8.99,90
1.2.3,91
5.3.3,92
1.20.4,93
1.14.12,94
3.5.3,95
1.3.99,96
1.7.1,97
3.1.7,98
1.17.99,99
1.3.8,100
1.4.9,101
3.4.13,102
2.4.99,103
3.4.19,104
6.1.1,105
1.3.7,106
1.17.7,107
1.11.1,108
1.12.1,109
3.9.1,110
5.1.2,111
2.3.3,112
1.18.1,113
1.1.99,114
3.12.1,115
2.7.4,116
1.11.2,117
5.1.99,118
1.3.2,119
2.7.14,120
4.6.1,121
1.18.6,122
5.4.2,123
1.3.3,124
3.1.6,125
4.3.3,126
1.8.98,127
2.1.4,128
4.8.1,129
1.12.7,130
2.7.12,131
3.7.1,132
3.11.1,133
1.8.3,134
3.4.11,135
6.7.1,136
1.5.99,137
3.5.5,138
3.13.1,139
1.8.7,140
5.99.1,141
1.14.18,142
4.98.1,143
1.13.12,144
1.23.1,145
6.4.1,146
1.7.5,147
7.6.2,148
7.2.4,149
1.4.7,150
5.2.1,151
3.4.17,152
1.16.3,153
2.4.3,154
1.5.7,155
1.15.1,156
5.3.99,157
4.5.1,158
1.17.3,159
4.3.2,160
1.23.5,161
1.97.1,162
1.17.4,163
1.6.3,164
3.6.4,165
1.17.8,166
1.7.7,167
1.9.6,168
1.6.1,169
7.3.2,170
6.5.1,171
1.3.5,172
1.8.2,173
4.99.1,174
2.7.10,175
1.13.99,176
1.12.2,177
3.4.15,178
1.3.98,179
3.8.2,180
1.14.17,181
4.3.99,182
3.6.5,183
6.2.2,184
1.2.4,185
1.2.5,186
1.4.99,187
2.7.6,188
4.2.2,189
1.17.9,190
7.1.1,191
6.1.2,192
6.6.1,193
1.14.16,194
3.10.1,195
1.4.4,196
1.21.4,197
1.1.7,198
1.3.4,199
3.1.5,200
1.2.7,201
1.12.98,202
1.19.1,203
2.8.5,204
1.17.2,205
1.6.2,206
1.4.2,207
1.17.5,208
1.10.1,209
1.2.2,210
1.1.5,211
1.6.99,212
1.9.98,213
2.9.1,214
1.2.99,215
1.2.98,216
6.1.3,217
1.21.99,218
1.1.98,219
3.6.2,220
1.20.1,221
1.5.4,222
2.10.1,223
1.16.99,224
1.5.8,225
1.7.6,226
4.7.1,227
1.5.5,228
1.4.5,229
5.6.2,230
1.12.99,231
1.20.2,232
3.1.8,233
5.4.1,234
1.20.99,235
1.10.5,236
1.17.98,237
1.19.6,238
7.2.1,239
1.21.1,240
3.4.14,241
1.7.99,242
2.7.13,243
7.2.3,244
3.13.2,245
1.20.9,246
1.1.9,247
2.6.3,248
7.1.3,249
