REACTION_ID	REACTION_SMILES	EC_NUMBER
50770	[H][C@@]12CC3=C(\C)C4=C(C(O)=CC=C4)/C(O)=C\3C(=O)[C@]1(O)C(=O)C(C(N)=O)=C([O-])[C@H]2[NH+](C)C.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+]>>[H][C@@]12CC3=C(\C)C4=C(C(O)=CC=C4)/C(O)=C\3C(=O)[C@]1(O)C(=O)C(C(N)=O)=C([O-])[C@H]2[NH2+]C.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O	2.1.1.335
14902	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=C\CC/C(C)=C/C2C(CC/C(C)=C/CC1)C2(C)C.O=P([O-])([O-])OP(=O)([O-])O	4.2.3.8
69197	*N[C@@H](CCC(=O)[O-])C(*)=O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>*N[C@@H](CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+]	6.3.2.62
16302	NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H]>>NC1=C2/N=C\N([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]4OC(O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1.NC(=O)C1=CC=CN=C1.[H+]	3.2.2.5
13803	O=S([O-])[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].[H+].[H+].[H+]>>[H][S-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H].[H]O[H].[H]O[H]	1.8.1.2
17055	[H]C(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O>>O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]C(=O)[C@H](O)COP(=O)([O-])[O-]	2.2.1.2
79012	[H][C@]12CCC(=C)[C@@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@]1(C)CCCC2(C)C>>[H][C@@]12CC[C@]3(C)C=C[C@@]1(CC[C@]1([H])C(C)(C)CCC[C@@]21C)C3.O=P([O-])([O-])OP(=O)([O-])O	4.2.3.229
71660	*OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Fe+3].[Fe+3]>>*OC1O[C@H](CO)[C@@H](O)C(=O)[C@H]1O.[Fe+2].[Fe+2].[H+].[H+]	1.1.2.11
49202	[H][C@@]1([C@H](O)[C@H](O)COP(=O)([O-])[O-])O[C@](O)(C(=O)[O-])C[C@H](O)[C@H]1O.O=P([O-])([O-])O>>[H]C(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].C=C(OP(=O)([O-])[O-])C(=O)[O-].[H]O[H]	2.5.1.132
49294	O=P([O-])([O-])OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O.*N[C@@H](CC1=CNC=N1)C(*)=O>>OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O.*N[C@@H](CC1=CN=CN1P(=O)([O-])[O-])C(*)=O	2.7.1.205
40444	O=S(=O)([O-])C[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>O=P([O-])([O-])OCC1(O)O[C@H](CS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]	2.7.1.184
68625	*N[C@@H](CS[C@@H](C)[C@@]1([H])/C(=C/C2=N/C(=C\C3=C(CCC(=O)[O-])C(C)=C(C[C@@]4([H])NC(=O)C(C=C)=C4C)N3)C(CCC(=O)[O-])=C2C)NC(=O)[C@@H]1C)C(*)=O>>*N[C@@H](CS)C(*)=O.[H][C@]1(CC2=C(C)C(CCC(=O)[O-])=C(/C=C3\N=C(/C=C4\NC(=O)[C@H](C)\C4=C/C)C(C)=C3CCC(=O)[O-])N2)NC(=O)C(C=C)=C1C	4.4.1.39
55898	[NH3+][C@@H](CC1=CNC2=C1C=C(Cl)C=C2)C(=O)[O-].CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=NC(=O)[N-]C(=O)C1=N2.[H]O[H].[H]O[H]>>[NH3+][C@@H](CC1=CNC2=C1C=CC=C2)C(=O)[O-].CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=C(N2)C(=O)NC(=O)N1.[Cl-].O=O	1.14.19.58
28091	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])[O-].CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O>>CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1	2.7.8.33
25822	[H]C(=O)CCC[NH3+].[NH3+]CCC[NH3+].[H]OO[H]>>[NH3+]CCCC[NH2+]CCC[NH3+].O=O.[H]O[H]	1.5.3.14
45342	*N[C@@H](CO)C(*)=O.CCCCCC/C=C\CCCCCCCC(=O)[O-].[H+]>>*N[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)C(*)=O.[H]O[H]	3.1.1.98
24077	*C1CCC2C3CC=C4C[C@@H](O)CCC4(C)C3CCC12C.NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)=C1>>*C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]	1.1.1.145
20986	*C(=O)N[C@@H](COP(=O)([O-])[O-])[C@H](O)/C=C/CCCCCCCCCCCCC.C[N+](C)(C)CCO.[H+]>>*C(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC.[H]O[H]	3.1.4.41
20854	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[H+]>>NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H].[H+]	7.1.2.1
38273	C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])C(=O)[O-].[H]O[H]>>CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@](C)(O)C(=O)[O-]	4.2.1.153
