REACTION_ID	REACTION_SMILES	EC_NUMBER
12902	NC(=[NH2+])NCCC[C@@H]([NH3+])C(=O)[O-]>>[NH3+]CCC[C@@H]([NH3+])C(=O)[O-].NC(N)=O	3.5.3.10
45029	C[C@@H](CC(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=NC(=O)[N-]C(=O)C1=N2>>C/C(=C\C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	1.3.8.12
19758	[NH3+][C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]>>O=C([O-])CC(=O)C(=O)[O-]	4.3.1.20
72344	COC1=CC=CC(O)=C1.[Co+]>>OC1=CC=CC(O)=C1.C[Co+2]	2.1.1.382
15662	[*:0]C1=CC(C2=[O+]/C3=CC([O-])=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3/C=C\2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC([*:0])=C1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C1=CC=C(O)C=C1>>*C1=CC(C2=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)/C=C3/C(OC4O[C@H](COC(=O)/C=C/C5=CC=C(O)C=C5)[C@@H](O)[C@H](O)[C@H]4O)=CC([O-])=C/C3=[O+]\2)=CC(*)=C1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	2.3.1.153
62493	*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)C(*)=O.NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]>>*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C(*)=O	6.2.1.63
19022	*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O.CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O>>*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O	2.4.1.40
49173	C=CC1=C(C)/C2=C/C3=[N+]4C(=C5CC(=O)C6=C5N5C(=C\6CC)/C=C6/C(CC)=C(C)C7=[N+]6[Mg-2]54N2/C1=C\7)[C@@H](CCC(=O)[O-])[C@@H]3C>>C=CC1=C(C)/C2=C/C3=[N+]4C(=C5CC(=O)C6=C5N5C(=C\6CC)/C=C6/C(CCC)=C(C)C7=[N+]6[Mg-2]54N2/C1=C\7)[C@@H](CCC(=O)[O-])[C@@H]3C	2.1.1.332
38096	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCC2=C/C(O)=C(C)/C(C)=C\2O1>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCC2=C(C)/C(O)=C(C)/C(C)=C\2O1	2.1.1.95
25789	O=C([O-])CCC(O)CC(=O)C(=O)[O-]>>O=CCCC(=O)[O-].CC(=O)C(=O)[O-]	4.1.2.52
41441	[NH3+]CCP(=O)([O-])O.O=C([O-])CCC(=O)C(=O)[O-]>>[NH3+]C[C@H](O)P(=O)([O-])O.O=C([O-])CCC(=O)[O-]	1.14.11.46
44353	NC(=O)/C=C/C(=O)NC[C@H]([NH3+])C(=O)[O-].CC(C)C[C@H]([NH3+])C(=O)[O-]>>CC(C)C[C@H](NC(=O)[C@@H]([NH3+])CNC(=O)/C=C/C(N)=O)C(=O)[O-]	6.3.2.47
41212	O=C([O-])CC1=CN/C2=C\C=C/C=C\12>>O=C([O-])CC1=C(O)N/C2=C\C=C/C=C\12	1.14.13.235
44785	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(O)C2=CC=CC=C2C(O)=C1>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(O)C2=CC=CC=C2C(O)=C1C	2.1.1.163
23473	CCCCCC/C=C/CCCCCCCC(O)C(CCCCCCCCCCCCCC)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.CCCCCC/C=C/CCCCCCCC(O)C(CCCCCCCCCCCCCC)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>CCCCCC/C=C/CCCCCCCC(O)C(CCCCCCCCCCCCCC)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](COC(=O)C(CCCCCCCCCCCCCC)C(O)CCCCCCC/C=C/CCCCCC)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	2.3.1.122
31612	CC(/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(/C)CCCC(C)(C)O>>CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O	4.2.1.131
41665	CO/C1=C/C2=C(OCO2)C2=C1C1=C(C3=C/C4=C(\C=C/3C=C1)OCO4)N(C)C2>>COC1=CC2=C(OCO2)C2=C[N+](C)=C3C(=C12)C=C/C1=C/C2=C(\C=C/31)OCO2	1.3.1.107
53837	*[C@@H](O)CC(=O)O[C@@H]1[C@@H]([NH3+])[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H]1O.*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](*)O)C(*)=O>>*[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@@H](*)O.*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)C(*)=O	2.3.1.191
15590	[NH3+][C@@H](C(=O)[O-])C1=CC=C(O)C=C1.O=C([O-])CCC(=O)C(=O)[O-]>>O=C([O-])C(=O)C1=CC=C(O)C=C1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]	2.6.1.72
67485	*O[C@H]1[C@@H](O)[C@H](*)O[C@@H]1COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=[N+](C)C3=C2N=C(N)NC3=O)[C@H](O)[C@@H]1O>>C[N+]1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2.*O[C@H]1[C@@H](O)[C@H](*)O[C@@H]1COP(=O)([O-])[O-]	3.6.1.62
62453	*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS)C(*)=O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(*)=O	6.2.1.68
83296	[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@](O)(CC[C@]3([H])[C@H](C)CCCC(C)(C)O)C1=CC2=O.S1[Fe]S[Fe+]1.S1[Fe]S[Fe+]1>>[H][C@@]12CC(=O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@](O)(CC[C@]3([H])[C@H](C)[C@H](O)CCC(C)(C)O)C1=CC2=O.S1[Fe+]S[Fe+]1.S1[Fe+]S[Fe+]1	1.14.15.44
21357	OC[C@H](O)C(O)[C@@H](O)CO>>O=C(CO)[C@@H](O)[C@@H](O)CO	1.1.1.13
44777	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(O)C2=CC=CC=C2C(O)=C1>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(O)C2=CC=CC=C2C(O)=C1C	2.1.1.163
31428	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC[C@]1(C)[C@H]2CC=C(C)[C@@H]1C2	4.2.3.81
17142	O=C([O-])CC(=O)C(=O)[O-].[NH3+]CC(=O)[O-]>>[H]C(=O)C(=O)[O-].[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]	2.6.1.35
31492	[H][C@]12C/C=C3/[C@]4([H])CC(C)(C)C[C@@H](O)[C@]4(C)CC[C@@]3(C)[C@]1(C)CC[C@]1([H])[C@]2(C)CC[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@]1(C)CO.C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O>>[H][C@]12CC=C3[C@]4([H])CC(C)(C)C[C@@H](O)[C@]4(C)CC[C@@]3(C)[C@]1(C)CC[C@]1([H])[C@]2(C)CC[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@]1(C)CO	2.4.1.273
59057	CS.CS>>CSSC	1.8.1.21
21065	*N[C@@H](CSSC[C@H](N*)C(*)=O)C(*)=O>>*N[C@@H](CS)C(*)=O.*N[C@@H](CS)C(*)=O	1.8.4.2
29908	O=P([O-])(OCC(O)CO)OC[C@H](O)CO>>O=P([O-])([O-])OC[C@H](O)CO.OCC(O)CO	3.1.4.46
43893	*[H].[NH3+][C@@H](CS)C(=O)[O-]>>*S[H].C[C@H]([NH3+])C(=O)[O-]	2.8.1.7
28539	[H][C@]1([C@H](O)CO)O[C@@](O[C@@H]2C[C@](OC[C@H]3O[C@@H](OC[C@H]4O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]4O)[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@@H]3OP(=O)([O-])[O-])(C(=O)[O-])O[C@]([H])([C@H](O)CO)[C@@H]2O[C@H]2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)(C(=O)[O-])C[C@@H](O)[C@H]1O.[H][C@]1([C@@H](O)CO)O[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=NC4=C(N)N=CN=C43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O>>[H][C@]1([C@H](O)CO)O[C@@](O[C@@H]2C[C@](OC[C@H]3O[C@@H](OC[C@H]4O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]4O)[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@@H]3OP(=O)([O-])[O-])(C(=O)[O-])O[C@]([H])([C@H](O)CO)[C@@H]2O[C@H]2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)(C(=O)[O-])C[C@@H](O)[C@H]1O	2.4.99.24
16090	[NH3+]CCOP(=O)([O-])[O-]>>[NH3+]CCO	3.1.3.75
36792	[NH2+]=C(NO)NCCC[C@H]([NH3+])C(=O)[O-]>>NC(=O)NO.[NH3+]CCC[C@H]([NH3+])C(=O)[O-]	3.5.3.25
23897	[H]C(=O)[C@H](O)[C@@H](O)CC(=O)C(=O)[O-]>>O=C([O-])C(=O)C[C@H](O)C(=O)CO	5.3.1.17
18554	O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]>>O=C([O-])/C(O)=C(\O)C(=O)[O-]	1.3.1.7
15830	*C1[C@H](O)CC2C3CCC4CCCCC4(C)C3CCC21C>>*C1[C@@H](O)CC2C3CCC4CCCCC4(C)C3CCC21C	5.1.99.2
36244	C/C=C/C1=CC=C(O)C=C1.CC(=O)[O-]>>CC(=O)OC/C=C/C1=CC=C(O)C=C1	1.1.1.319
20078	*O[C@H]1[C@@H](O)[C@H](N2C=NC3=C2N=C(N)NC3=O)O[C@@H]1COP(*)(=O)[O-]>>*O[C@H]1[C@@H](OC)[C@H](N2C=NC3=C2N=C(N)NC3=O)O[C@@H]1COP(*)(=O)[O-]	2.1.1.34
18122	*SC[C@H]([NH3+])C(=O)[O-]>>*S.CC(=O)C(=O)[O-]	4.4.1.13
17974	O=C1NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>O=C1NC=NC2=C1N/C=N\2.O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	2.4.2.8
26306	NC1=C(O)C=CC=C1>>[H]C(=O)/C=C\C=C(\[NH3+])C(=O)[O-]	1.13.11.74
11689	*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1O.CC(C)C[C@H]([NH3+])C(=O)[O-]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CC(C)C	6.1.1.4
19902	[NH3+][C@@H](CC1=CNC2=C1C=CC=C2)C(=O)[O-]>>[NH3+]/C(=C\C1=CNC2=CC=CC=C12)C(=O)[O-]	1.3.3.10
