EC Class,Assigned Label
3.5.1,0
5.99.1,1
1.5.3,2
3.1.1,3
1.5.1,4
1.4.3,5
1.1.3,6
3.1.3,7
1.1.1,8
2.5.1,9
4.3.1,10
2.3.1,11
2.1.2,12
2.1.1,13
3.2.1,14
1.3.1,15
1.13.11,16
2.4.1,17
1.14.11,18
4.2.1,19
3.5.4,20
1.14.13,21
5.3.99,22
6.2.1,23
4.1.1,24
2.7.2,25
1.14.14,26
1.3.7,27
2.3.3,28
7.3.2,29
1.5.8,30
2.3.2,31
2.6.1,32
2.7.11,33
6.1.1,34
2.7.1,35
3.7.1,36
3.6.1,37
7.2.2,38
5.1.3,39
4.1.2,40
2.7.4,41
5.4.3,42
1.2.1,43
1.14.12,44
4.2.3,45
3.5.2,46
2.4.2,47
1.4.1,48
4.1.99,49
1.14.20,50
5.3.3,51
4.1.3,52
6.3.3,53
2.2.1,54
3.1.6,55
1.13.12,56
2.7.7,57
2.7.10,58
2.7.12,59
3.1.4,60
1.17.1,61
5.1.1,62
1.3.3,63
3.3.2,64
5.5.1,65
1.5.4,66
2.7.9,67
5.1.99,68
1.11.1,69
5.1.2,70
7.4.2,71
3.2.2,72
1.3.99,73
2.8.2,74
6.3.2,75
5.2.1,76
6.3.4,77
1.8.5,78
1.1.99,79
3.5.3,80
2.7.3,81
7.6.2,82
3.8.1,83
2.4.3,84
5.4.2,85
1.16.3,86
3.5.5,87
3.6.2,88
1.6.3,89
4.4.1,90
1.10.3,91
4.3.2,92
6.4.1,93
4.8.1,94
6.3.1,95
3.5.99,96
2.7.6,97
7.1.1,98
1.8.4,99
3.1.2,100
2.7.8,101
4.5.1,102
2.6.3,103
6.3.5,104
1.6.1,105
1.2.7,106
1.8.1,107
1.14.19,108
1.8.3,109
5.3.1,110
1.21.4,111
2.7.13,112
1.14.15,113
1.14.99,114
2.8.3,115
1.12.99,116
1.4.7,117
1.2.4,118
1.3.8,119
4.2.99,120
1.10.5,121
1.6.5,122
2.8.4,123
1.17.4,124
5.4.99,125
1.9.6,126
3.13.1,127
3.9.1,128
3.6.4,129
5.6.2,130
1.7.2,131
1.7.1,132
1.6.99,133
1.20.1,134
2.1.4,135
1.17.99,136
1.1.2,137
1.5.99,138
4.6.1,139
1.16.1,140
1.2.5,141
1.18.1,142
6.6.1,143
6.5.1,144
7.1.3,145
1.97.1,146
1.5.7,147
3.1.7,148
1.8.2,149
2.8.1,150
1.21.99,151
1.2.3,152
1.17.9,153
1.17.2,154
3.1.5,155
1.6.2,156
2.6.99,157
1.3.98,158
1.9.98,159
1.19.6,160
1.4.99,161
4.99.1,162
1.20.4,163
5.3.2,164
1.14.18,165
3.11.1,166
1.14.16,167
1.4.2,168
1.7.3,169
2.1.3,170
1.12.7,171
1.8.98,172
3.10.1,173
1.7.7,174
3.1.8,175
1.20.99,176
1.12.1,177
1.20.9,178
1.17.3,179
1.1.5,180
5.4.4,181
1.14.17,182
1.2.98,183
3.6.5,184
1.21.3,185
1.12.98,186
4.2.2,187
1.12.2,188
3.4.13,189
1.15.1,190
7.1.2,191
7.2.4,192
1.18.6,193
1.2.2,194
3.13.2,195
3.12.1,196
1.7.99,197
7.5.2,198
1.10.1,199
4.98.1,200
1.13.99,201
2.9.1,202
4.3.3,203
6.1.3,204
1.21.1,205
1.8.7,206
1.5.5,207
3.8.2,208
1.8.99,209
1.4.4,210
5.4.1,211
1.17.7,212
3.4.17,213
1.17.98,214
1.21.98,215
1.17.5,216
4.3.99,217
2.4.99,218
1.11.2,219
1.3.5,220
3.4.19,221
1.1.7,222
1.4.9,223
7.2.1,224
1.7.6,225
1.3.2,226
1.23.5,227
1.1.98,228
1.23.1,229
4.7.1,230
2.10.1,231
1.2.99,232
6.1.2,233
1.3.4,234
2.7.14,235
1.4.5,236
1.17.8,237
1.19.1,238
1.1.9,239
2.8.5,240
1.7.5,241
