REACTION_ID	REACTION_SMILES	EC_NUMBER
10001	CCCCC(N)=O.[H]O[H]>>CCCCC(=O)[O-].[H][N+]([H])([H])[H]	3.5.1.50
10002	CCCCC(=O)[O-].[H][N+]([H])([H])[H]>>CCCCC(N)=O.[H]O[H]	3.5.1.50
10005	S=C=NCC1=CC=CC=C1>>N#CSCC1=CC=CC=C1	5.99.1.1
10006	N#CSCC1=CC=CC=C1>>S=C=NCC1=CC=CC=C1	5.99.1.1
10013	[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H]>>C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H]	1.5.3.6
10014	C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H]>>[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H]	1.5.3.6
10017	COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H]>>COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+]	3.1.1.49
10018	COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+]>>COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H]	3.1.1.49
10021	[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H]>>[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]	1.5.1.10
10022	[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H]	1.5.1.10
10029	[NH3+][C@H](CCC(=O)[O-])C(=O)[O-].O=O.[H]O[H]>>[H]OO[H].O=C([O-])CCC(=O)C(=O)[O-].[H][N+]([H])([H])[H]	1.4.3.15
10029	[NH3+][C@H](CCC(=O)[O-])C(=O)[O-].O=O.[H]O[H]>>[H]OO[H].O=C([O-])CCC(=O)C(=O)[O-].[H][N+]([H])([H])[H]	1.4.3.7
10030	[H]OO[H].O=C([O-])CCC(=O)C(=O)[O-].[H][N+]([H])([H])[H]>>[NH3+][C@H](CCC(=O)[O-])C(=O)[O-].O=O.[H]O[H]	1.4.3.15
10030	[H]OO[H].O=C([O-])CCC(=O)C(=O)[O-].[H][N+]([H])([H])[H]>>[NH3+][C@H](CCC(=O)[O-])C(=O)[O-].O=O.[H]O[H]	1.4.3.7
10033	*N[C@@H](CCC(N)=O)C(=O)[O-].[H]O[H]>>*N[C@@H](CCC(=O)[O-])C(=O)[O-].[H][N+]([H])([H])[H]	3.5.1.43
10034	*N[C@@H](CCC(=O)[O-])C(=O)[O-].[H][N+]([H])([H])[H]>>*N[C@@H](CCC(N)=O)C(=O)[O-].[H]O[H]	3.5.1.43
10037	COC1=CC(CO)=CC=C1O.O=O>>[H]C(=O)C1=CC(OC)=C(O)C=C1.[H]OO[H]	1.1.3.38
10038	[H]C(=O)C1=CC(OC)=C(O)C=C1.[H]OO[H]>>COC1=CC(CO)=CC=C1O.O=O	1.1.3.38
10041	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O.[H]O[H]>>NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O	3.1.3.7
10042	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O>>NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O.[H]O[H]	3.1.3.7
