idx,rxn,rxn_class,r,p,rxn_class_th,class_id,split
1,CCCCC(N)=O.[H]O[H]>>CCCCC(=O)[O-].[H][N+]([H])([H])[H],3.5.1.50,CCCCC(N)=O.[H]O[H],CCCCC(=O)[O-].[H][N+]([H])([H])[H],3.5.1,0,train
2,CCCCC(=O)[O-].[H][N+]([H])([H])[H]>>CCCCC(N)=O.[H]O[H],3.5.1.50,CCCCC(=O)[O-].[H][N+]([H])([H])[H],CCCCC(N)=O.[H]O[H],3.5.1,0,train
3,S=C=NCC1=CC=CC=C1>>N#CSCC1=CC=CC=C1,5.99.1.1,S=C=NCC1=CC=CC=C1,N#CSCC1=CC=CC=C1,5.99.1,1,train
4,N#CSCC1=CC=CC=C1>>S=C=NCC1=CC=CC=C1,5.99.1.1,N#CSCC1=CC=CC=C1,S=C=NCC1=CC=CC=C1,5.99.1,1,train
5,[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H]>>C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H],1.5.3.6,[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H],C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H],1.5.3,2,train
6,C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H]>>[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H],1.5.3.6,C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H],[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H],1.5.3,2,train
7,COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H]>>COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+],3.1.1.49,COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H],COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+],3.1.1,3,train
8,COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+]>>COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H],3.1.1.49,COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+],COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H],3.1.1,3,train
9,[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H]>>[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+],1.5.1.10,[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H],[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+],1.5.1,4,train
10,[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H],1.5.1.10,[H]C(=O)CCC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+],[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1.[H]O[H],1.5.1,4,train
