split_strategy,dataset,EC_class,count,percentage,n_original,n_seeds,seed_averaged
Stratified,train,Oxidoreductases,2436,35.37,6889,3,True
Stratified,train,Transferases,2175,31.57,6889,3,True
Stratified,train,Hydrolases,940,13.65,6889,3,True
Stratified,train,Lyases,775,11.25,6889,3,True
Stratified,train,Isomerases,311,4.52,6889,3,True
Stratified,train,Ligases,251,3.64,6889,3,True
Stratified,test,Oxidoreductases,267,34.4,775,3,True
Stratified,test,Transferases,255,32.9,775,3,True
Stratified,test,Hydrolases,102,13.16,775,3,True
Stratified,test,Lyases,88,11.38,775,3,True
Stratified,test,Isomerases,36,4.69,775,3,True
Stratified,test,Ligases,27,3.47,775,3,True
Time,train,Oxidoreductases,2309,35.98,6477,1,False
Time,train,Transferases,2014,31.38,6477,1,False
Time,train,Hydrolases,854,13.31,6477,1,False
Time,train,Lyases,726,11.31,6477,1,False
Time,train,Isomerases,312,4.86,6477,1,False
Time,train,Ligases,203,3.16,6477,1,False
Time,test,Oxidoreductases,365,31.36,1187,1,False
Time,test,Transferases,390,33.51,1187,1,False
Time,test,Hydrolases,177,15.21,1187,1,False
Time,test,Lyases,128,11.0,1187,1,False
Time,test,Isomerases,32,2.75,1187,1,False
Time,test,Ligases,72,6.19,1187,1,False
Scaffold,train,Oxidoreductases,2400,35.23,6813,3,True
Scaffold,train,Transferases,2184,32.05,6813,3,True
Scaffold,train,Hydrolases,915,13.43,6813,3,True
Scaffold,train,Lyases,790,11.6,6813,3,True
Scaffold,train,Isomerases,285,4.19,6813,3,True
Scaffold,train,Ligases,238,3.49,6813,3,True
Scaffold,test,Oxidoreductases,303,35.64,851,3,True
Scaffold,test,Transferases,246,28.9,851,3,True
Scaffold,test,Hydrolases,126,14.81,851,3,True
Scaffold,test,Lyases,72,8.5,851,3,True
Scaffold,test,Isomerases,63,7.35,851,3,True
Scaffold,test,Ligases,41,4.79,851,3,True
