split_strategy,dataset,EC_class,count,percentage,n_original,n_seeds,seed_averaged
Stratified,train,Oxidoreductases,2410,34.98,6889,3,True
Stratified,train,Transferases,2151,31.23,6889,3,True
Stratified,train,Hydrolases,930,13.5,6889,3,True
Stratified,train,Lyases,767,11.13,6889,3,True
Stratified,train,Isomerases,308,4.47,6889,3,True
Stratified,train,Ligases,248,3.6,6889,3,True
Stratified,train,Translocases,75,1.08,6889,3,True
Stratified,test,Oxidoreductases,264,34.07,775,3,True
Stratified,test,Transferases,253,32.59,775,3,True
Stratified,test,Hydrolases,101,13.04,775,3,True
Stratified,test,Lyases,87,11.27,775,3,True
Stratified,test,Isomerases,36,4.65,775,3,True
Stratified,test,Ligases,27,3.44,775,3,True
Stratified,test,Translocases,7,0.95,775,3,True
Time,train,Oxidoreductases,2309,35.65,6477,1,False
Time,train,Transferases,2014,31.09,6477,1,False
Time,train,Hydrolases,854,13.19,6477,1,False
Time,train,Lyases,726,11.21,6477,1,False
Time,train,Isomerases,312,4.82,6477,1,False
Time,train,Ligases,203,3.13,6477,1,False
Time,train,Translocases,59,0.91,6477,1,False
Time,test,Oxidoreductases,365,30.75,1187,1,False
Time,test,Transferases,390,32.86,1187,1,False
Time,test,Hydrolases,177,14.91,1187,1,False
Time,test,Lyases,128,10.78,1187,1,False
Time,test,Isomerases,32,2.7,1187,1,False
Time,test,Ligases,72,6.07,1187,1,False
Time,test,Translocases,23,1.94,1187,1,False
Scaffold,train,Oxidoreductases,2380,34.94,6813,3,True
Scaffold,train,Transferases,2166,31.79,6813,3,True
Scaffold,train,Hydrolases,908,13.32,6813,3,True
Scaffold,train,Lyases,783,11.5,6813,3,True
Scaffold,train,Isomerases,283,4.15,6813,3,True
Scaffold,train,Ligases,236,3.47,6813,3,True
Scaffold,train,Translocases,57,0.84,6813,3,True
Scaffold,test,Oxidoreductases,295,34.63,851,3,True
Scaffold,test,Transferases,239,28.1,851,3,True
Scaffold,test,Hydrolases,122,14.37,851,3,True
Scaffold,test,Lyases,70,8.24,851,3,True
Scaffold,test,Isomerases,61,7.15,851,3,True
Scaffold,test,Ligases,40,4.66,851,3,True
Scaffold,test,Translocases,24,2.85,851,3,True
