MASTER_ID	LR_ID	EC_NUMBERS
10068	10069	2.4.1.53
10256	10257	2.7.9.5
10464	10465	3.5.1.41
10580	10581	6.3.2.17
10628	10629	2.7.7.56
10752	10753	6.3.1.12
10972	10973	2.7.1.62
11108	11109	2.8.2.17
11116	11117	2.3.1.57
11248	11249	3.1.1.75
11332	11333	2.7.7.19
11604	11605	2.3.1.136
11608	11609	2.3.1.136
11668	11669	2.7.9.4
12328	12329	2.4.1.334
12528	12529	2.4.1.212
12777	12778	1.17.3.1
12785	12786	1.1.1.21
12789	12790	1.1.1.21
12845	12846	3.4.15.6
12989	12990	3.1.4.49
13077	13078	2.7.1.61
13133	13134	2.7.1.108
13277	13278	6.3.2.29
13289	13290	2.7.8.15
13341	13342	2.1.1.350
13353	13354	2.7.8.14
13565	13566	2.7.8.12
13573	13574	2.4.1.43
13621	13622	5.4.99.15
13653	13654	2.4.1.10
13713	13714	1.3.5.1
13789	13790	2.4.1.371
13797	13798	3.1.3.51
13857	13858	3.1.4.48
13865	13866	2.4.1.142
14117	14118	3.2.1.67
14385	14386	3.6.1.43
14625	14626	2.4.1.2
14693	14694	2.4.1.153
14785	14786	2.7.7.52
15125	15126	2.3.1.78
15205	15206	3.6.1.44
15289	15290	2.4.2.24
15361	15362	2.4.2.32
15401	15402	2.4.1.117
15405	15406	2.3.1.304
15461	15462	2.8.2.23;2.8.2.29;2.8.2.30
15705	15706	1.17.5.1
15745	15746	2.4.1.9
15845	15846	2.4.1.52
15873	15874	2.4.1.242
16041	16042	2.4.1.30;2.4.1.97
16101	16102	2.8.2.5
16213	16214	2.4.1.224
16637	16638	2.4.1.16
16685	16686	2.3.1.123
16721	16722	1.5.98.1
17377	17378	2.4.1.109
17797	17798	2.4.1.29
17917	17918	2.3.2.15
18189	18190	2.4.1.21
18217	18218	2.6.1.29
18225	18226	3.5.1.46
18361	18362	2.4.2.33
18453	18454	7.5.2.3
18549	18550	2.4.1.11
18641	18642	1.12.5.1
18665	18666	2.7.4.17
18801	18802	2.5.1.20
18825	18826	2.4.1.125;2.4.1.5
19285	19286	2.3.1.83
19417	19418	2.7.4.20
19573	19574	2.7.4.1
19749	19750	2.4.1.183
19793	19794	1.5.8.3
19929	19930	2.4.1.12
20157	20158	1.1.2.6
20197	20198	5.1.3.17
20413	20414	2.1.1.112
20465	20466	2.4.1.212
20908	20909	2.4.1.225
21012	21013	2.4.1.70
21084	21085	5.1.3.19
21144	21145	1.5.98.2
21184	21185	2.4.1.83
21248	21249	2.7.7.48;2.7.7.6
21476	21477	2.4.1.34
21528	21529	3.6.1.11
21688	21689	1.1.3.30
21980	21981	2.8.2.8
22036	22037	2.7.1.63
22096	22097	2.7.7.8
22148	22149	7.1.1.6
22152	22153	1.1.5.2
22304	22305	1.1.5.14
22380	22381	3.1.1.11
22452	22453	3.6.1.10
22508	22509	2.7.7.31;2.7.7.49;2.7.7.7
22740	22741	2.7.1.1
22980	22981	2.4.99.18
23024	23025	2.4.1.49
23380	23381	2.4.1.141
23708	23709	2.4.99.28
23760	23761	1.12.98.1
23888	23889	6.3.2.30
23980	23981	3.2.1.54
24052	24053	1.5.5.1
24056	24057	3.1.3.25
24572	24573	2.4.1.4
25908	25909	1.1.3.41
26442	26443	1.1.5.5
26466	26467	2.1.1.163
26478	26479	2.5.1.74
27294	27295	1.1.98.2
27405	27406	1.2.5.1
27409	27410	1.3.5.3
27834	27835	1.3.5.1
28286	28287	2.1.1.201
28494	28495	1.8.5.3
28691	28692	1.3.5.2
28755	28756	1.1.5.3
28767	28768	1.13.12.16
29063	29064	1.17.5.3
29071	29072	1.17.5.3
29091	29092	7.1.1.2
29171	29172	1.10.3.17
29219	29220	1.1.5.3
29515	29516	2.4.1.132
29519	29520	2.4.1.257
29523	29524	2.4.1.131
29527	29528	2.4.1.258
29531	29532	2.4.1.259
29535	29536	2.4.1.260
29539	29540	2.4.1.261
29543	29544	2.4.1.256
30095	30096	1.1.5.4
30215	30216	1.7.5.2
30239	30240	1.8.5.4
30251	30252	7.1.1.3
30255	30256	1.10.3.11
30259	30260	7.1.1.5
