REACTION_ID	EC_NUMBERS
10029	1.4.3.15;1.4.3.7
10117	1.1.1.351;1.1.1.44
10249	3.6.1.23;3.6.1.9
10297	1.2.1.13;1.2.1.59
10301	1.2.1.12;1.2.1.59
10413	3.6.1.13;3.6.1.53
10597	2.7.10.1;2.7.10.2;2.7.10.3;2.7.10.4;2.7.12.1;2.7.12.2
10725	1.1.1.135;1.1.1.187
10729	1.1.1.135;1.1.1.187
10737	1.1.1.1;1.1.1.71
10781	1.1.1.110;1.1.1.237
10825	1.1.1.299;1.1.1.82
10949	2.7.1.1;2.7.1.8
11029	2.7.1.1;2.7.1.7
11093	1.1.1.8;1.1.1.94
11129	2.3.1.156;2.3.1.74
11193	3.8.1.10;3.8.1.2
11237	2.5.1.44;2.5.1.45
11265	1.6.3.1;1.6.3.3
11429	1.1.3.4;1.1.3.5
11601	2.7.4.14;2.7.4.25
11613	1.4.1.3;1.4.1.4
11693	1.6.1.1;1.6.1.3
11889	1.2.1.4;1.2.1.5
11901	1.1.1.286;1.1.1.87
12045	3.1.1.3;3.1.1.34;3.1.1.79
12133	7.2.2.2;7.2.2.21
12257	1.3.1.43;1.3.1.79
12389	1.14.14.89;1.14.14.90
12513	1.4.3.1;1.4.3.15
12525	1.5.1.1;1.5.1.21
12650	1.1.1.173;1.1.1.378
12654	1.1.1.38;1.1.1.39
12698	2.7.4.12;2.7.4.8
12742	3.5.4.17;3.5.4.7
13038	3.5.4.17;3.5.4.18
13066	3.6.4.10;3.6.4.12;3.6.4.13;3.6.4.6;3.6.4.7;5.6.2.3;5.6.2.4
13214	1.2.1.16;1.2.1.79
13218	1.2.1.16;1.2.1.24
13234	2.4.2.1;2.4.2.15
13518	2.7.4.12;2.7.4.9
13618	3.2.2.16;3.2.2.9
13738	1.3.1.102;1.3.1.74
13826	1.1.1.187;1.1.1.281
13830	1.1.1.187;1.1.1.281
13862	1.1.1.175;1.1.1.359
14246	3.6.1.8;3.6.1.9
14294	1.1.1.118;1.1.1.359;1.1.1.47
14406	1.1.1.119;1.1.1.359;1.1.1.360;1.1.1.47
14634	7.2.2.3;7.2.2.4
14670	1.2.1.9;1.2.1.90
14754	1.14.14.19;1.14.14.32
14778	3.5.4.17;3.5.4.6
14798	2.7.1.178;2.7.1.45
14930	1.1.1.239;1.1.1.51
14982	1.1.1.51;1.1.1.64
15018	3.1.3.1;3.1.3.2
15062	1.16.1.10;1.16.1.7
15094	2.6.1.5;2.6.1.57
15134	1.4.1.2;1.4.1.3
15330	1.1.1.154;1.1.1.350
15418	1.3.1.78;1.3.1.79
15578	3.2.2.3;3.2.2.8
15642	1.1.1.38;1.1.1.40;4.1.1.112
15842	1.1.1.363;1.1.1.49
15890	3.5.1.2;3.5.1.38
15902	5.4.2.11;5.4.2.12
15918	1.1.1.121;1.1.1.359
15938	1.1.1.2;1.1.1.71
16038	2.4.2.2;2.4.2.4
16126	2.7.1.1;2.7.1.4
16186	1.2.1.3;1.2.1.5
16302	3.2.2.5;3.2.2.6
16306	3.1.2.27;3.1.2.5
16470	2.8.3.15;2.8.3.28
16522	1.18.1.3;1.18.1.7
16526	2.7.1.178;2.7.1.58
16690	3.1.3.58;3.1.3.9
