COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
1;;c1+c2+c2<=>c3+c4+c4+c5+c5;
2;;c6+c7<=>c8+c4;
3;;c9+c10+c11+c5<=>c12+c13+c14;
4;;c15+c13+c13+c13+c13+c13+c13+c13+c13<=>c16+c10+c10+c10+c10+c10+c10+c10+c10+c5+c5+c5+c5+c5+c5+c5+c5;
5;;c17+c18+c19<=>c20+c5;
6;;c21+c14<=>c22+c23+c5;
7;;c24+c25+c25+c25+c11+c11+c11<=>c26+c27+c27+c27+c14+c14+c14+c14+c5+c5+c5+c5;
8;;c28+c29<=>c30+c18;
9;;c31<=>c32;
10;;c33+c7<=>c34+c35;
11;;c36+c14<=>c37+c38;
12;;c39<=>c40+c41+c5;
13;;c42<=>c43+c44;
14;;c45+c46+c19+c14<=>c47+c48+c11;
15;;c49+c14<=>c50+c18;
16;;c51+c52+c14<=>c51+c53+c18+c5;
17;;c54+c55<=>c56+c57+c5;
18;;c58+c53+c5<=>c59+c52;
19;;c60+c61+c5<=>c62+c14;
20;;c45+c48+c11<=>c63+c46+c19;
21;;c31+c64+c5<=>c65+c66;
22;;c67+c68+c5<=>c69+c70;
23;;c71+c44+c5<=>c72+c73;
24;;c74+c75<=>c76+c77;
25;;c78<=>c79;
26;;c80+c75<=>c81+c77;
27;;c82+c14+c14+c5<=>c83+c83;
28;;c84+c4+c5<=>c85+c86;
29;;c87+c11<=>c88+c89;
30;;c90+c14<=>c91+c92;
31;;c93+c14<=>c94+c95;
32;;c96+c44<=>c97+c98+c5;
33;;c99+c100<=>c101+c48;
34;;c102+c103<=>c104+c105;
35;;c106+c11+c5+c5<=>c107+c19+c19+c14+c14;
36;;c108<=>c109;
37;;c110+c4+c5<=>c111+c77;
38;;c83<=>c112;
39;;c113+c114+c14<=>c115+c116;
40;;c117+c118<=>c119+c14+c5;
41;;c42+c14<=>c120+c44;
42;;c121+c19+c19+c19+c19+c19+c19+c19+c19+c19+c19+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c66+c116+c116+c116+c116+c116+c116+c116+c116+c116+c116+c14+c14+c14+c14+c14+c14+c14+c14+c14+c14+c14<=>c122+c123+c123+c123+c123+c123+c124+c124+c124+c124+c124+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c64+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5;
43;;c125+c126<=>c127+c128;
44;;c129+c11<=>c130;
45;;c131+c68+c68+c68+c5+c5+c5<=>c132+c70+c70+c70;
46;;c133+c44<=>c134;
47;;c135+c136+c136+c11+c5+c5<=>c137+c138+c138+c14+c14;
48;;c139+c5<=>c140+c14;
49;;c141+c13+c14<=>c46+c10+c5+c5;
50;;c142+c66<=>c143+c64+c5;
51;;c144+c116<=>c145+c114;
52;;c146+c14<=>c147+c148;
53;;c149+c10+c5<=>c150+c13;
54;;c151<=>c94;
55;;c152+c75<=>c153+c77;
56;;c154<=>c155+c77;
57;;c156+c157<=>c158+c4+c5;
58;;c119+c70<=>c159+c68+c5;
59;;c160+c161<=>c162+c163+c5;
60;;c164+c18+c5<=>c165+c14;
61;;c166<=>c167+c168;
62;;c169+c70+c70+c70<=>c170+c68+c68+c68+c5+c5+c5;
63;;c171+c139+c5<=>c172+c119;
64;;c173+c92+c5<=>c174+c14;
65;;c175+c14<=>c53+c53+c5+c5;
66;;c176+c177<=>c178+c179;
67;;c180+c19+c116<=>c122+c124+c5;
68;;c181+c64+c5<=>c182+c66;
69;;c183<=>c184+c14;
70;;c185+c14<=>c17+c18+c5;
71;;c186+c66<=>c187+c64+c5;
72;;c188<=>c189;
73;;c190+c52+c14<=>c190+c53+c18+c5;
74;;c191<=>c192;
75;;c193+c25+c11<=>c194+c27+c14+c5;
76;;c195+c196<=>c197+c48;
77;;c198+c13<=>c199+c10+c5;
78;;c200+c61+c5<=>c196+c14;
79;;c201+c202+c5<=>c203+c204;
80;;c205+c48+c11<=>c206+c207+c46+c19+c5;
81;;c208+c13<=>c209+c10+c5;
