COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
459;;c593+c13<=>c77+c10+c5;
460;;c872+c380+c380+c11+c5+c5<=>c873+c379+c379+c14;
461;;c874+c27+c14+c5<=>c875+c25+c11;
462;;c169+c876+c52<=>c877+c139+c44+c5;
463;;c132+c70+c70+c70<=>c131+c68+c68+c68+c5+c5+c5;
464;;c878+c4+c5<=>c879+c7;
465;;c880+c14<=>c881+c100;
466;;c882+c68+c5<=>c191+c70;
467;;c883+c14+c5<=>c884+c817+c19;
468;;c607+c10+c11+c5<=>c608+c13+c14;
469;;c885+c13<=>c886+c118+c10+c5+c5;
470;;c887+c14<=>c888;
471;;c889+c25+c11<=>c890+c27+c14+c14+c5;
472;;c891+c27+c74+c14<=>c892+c25+c11;
473;;c893+c139+c44+c5<=>c363+c894+c52;
474;;c895+c189<=>c896+c4+c5;
475;;c897+c66<=>c898+c64+c5;
476;;c899+c14<=>c499+c61+c5;
477;;c900+c14+c14<=>c459+c5;
478;;c16+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c901+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5+c5<=>c15+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902+c902;
479;;c903+c10+c5<=>c904+c13;
480;;c905+c19<=>c906+c5;
481;;c907+c11+c14<=>c908+c89+c5;
482;;c519+c165+c5<=>c517+c518;
483;;c59+c52<=>c58+c53+c5;
484;;c909<=>c910+c14;
485;;c911+c44<=>c912+c913;
486;;c914+c68<=>c915+c70;
487;;c916+c27+c14+c5<=>c917+c25+c11;
488;;c918+c179+c11<=>c919+c177+c14;
489;;c920+c48<=>c921+c100;
490;;c59+c18<=>c58+c14;
491;;c922+c64+c11+c5<=>c923+c66+c14;
492;;c924+c924+c66<=>c925+c64+c5;
493;;c926+c14<=>c927+c116+c5;
494;;c928+c44<=>c929+c73;
495;;c930+c77+c118<=>c931+c14;
496;;c932+c18<=>c933+c14;
497;;c934+c27+c27+c14+c14+c5+c5<=>c935+c25+c25+c11+c11;
498;;c936+c25+c11<=>c937+c27+c14+c5;
499;;c938+c70<=>c939+c68+c5;
500;;c740<=>c940+c14;
