reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.652174	1	1	1	0.913043	0.757576	0.58	0.347826	0.40625
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.652174	1	1	1	0.913043	0.757576	0.58	0.347826	0.40625
R02387/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3;	0.652174	1	1	1	0.913043	0.757576	0.58	0.347826	0.40625
R02387/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3;	0.652174	1	1	1	0.913043	0.757576	0.58	0.347826	0.40625
R00989/2.3.1D3/2.3.1.113;	4-asa/2.3.1D3;	0.547468	1	0.875	0.714286	0.621622	0.612245	0.548387	0.377049	0.333333
R00989(r)/2.3.1D3(rev)/2.3.1.113;	4-asa/2.3.1D3(rev);	0.547468	1	0.875	0.714286	0.621622	0.612245	0.548387	0.377049	0.333333
R08036/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3;	0.540881	1	1	1	0.777778	0.644444	0.544118	0.297297	0.293103
R08036/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3;	0.540881	1	1	1	0.777778	0.644444	0.544118	0.297297	0.293103
R08036(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.540881	1	1	1	0.777778	0.644444	0.544118	0.297297	0.293103
R08036(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.540881	1	1	1	0.777778	0.644444	0.544118	0.297297	0.293103
R00989/2.3.1D3/2.3.1.113;	4-asa/2.3.1D3;	0.495413	1	0.875	0.714286	0.538462	0.490566	0.5	0.3125	0.333333
R00989(r)/2.3.1D3(rev)/2.3.1.113;	4-asa/2.3.1D3(rev);	0.495413	1	0.875	0.714286	0.538462	0.490566	0.5	0.3125	0.333333
R02387/2.3.1F1/2.3.1.5;	4-asa/2.3.1D3;	0.464151	1	0.875	0.555556	0.533333	0.538462	0.362069	0.265306	0.323529
R02387/2.3.1F1/2.3.1.5;	4-asa/2.3.1D3;	0.464151	1	0.875	0.555556	0.533333	0.538462	0.362069	0.265306	0.323529
R04050/2.3.1D3/2.3.1.114;	4-asa/2.3.1D3;	0.460123	1	0.875	0.769231	0.636364	0.490196	0.414286	0.231884	0.265306
R04050/2.3.1D3/2.3.1.114;	4-asa/2.3.1D3;	0.460123	1	0.875	0.769231	0.636364	0.490196	0.414286	0.231884	0.265306
R04050(r)/2.3.1D3(rev)/2.3.1.114;	4-asa/2.3.1D3(rev);	0.460123	1	0.875	0.769231	0.636364	0.490196	0.414286	0.231884	0.265306
R04050(r)/2.3.1D3(rev)/2.3.1.114;	4-asa/2.3.1D3(rev);	0.460123	1	0.875	0.769231	0.636364	0.490196	0.414286	0.231884	0.265306
R02387(r)/2.3.1F1(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.421245	1	0.875	0.68	0.586207	0.463415	0.295082	0.192308	0.216216
R02387(r)/2.3.1F1(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.421245	1	0.875	0.68	0.586207	0.463415	0.295082	0.192308	0.216216
R00989/2.3.1F1/2.3.1.113;	4-asa/2.3.1D3;	0.411932	1	0.875	0.483871	0.409091	0.421053	0.361111	0.313433	0.283019
R00989/2.3.1F1/2.3.1.113;	4-asa/2.3.1D3;	0.389333	1	0.777778	0.444444	0.36	0.380952	0.378378	0.275362	0.283019
R00989(r)/2.3.1F1(rev)/2.3.1.113;	4-asa/2.3.1D3(rev);	0.376731	1	0.875	0.586207	0.44186	0.372881	0.306667	0.239437	0.214286
R02453(r)/2.3.1F1(rev)/2.3.1.144;	4-asa/2.3.1D3(rev);	0.369565	1	0.875	0.6	0.466667	0.42623	0.329412	0.227273	0.181818
R08036/2.3.1F1/2.3.1.5;	4-asa/2.3.1D3;	0.369272	1	0.875	0.517241	0.4	0.392857	0.329114	0.21519	0.25
R08036/2.3.1F1/2.3.1.5;	4-asa/2.3.1D3;	0.369272	1	0.875	0.517241	0.444444	0.392857	0.313253	0.21519	0.25
R10473(r)/2.3.1F1(rev)/2.3.1.224;	4-asa/2.3.1D3(rev);	0.363946	0.714286	0.578947	0.4	0.424242	0.428571	0.383333	0.178571	0.225
R10473(r)/2.3.1F1(rev)/2.3.1.224;	4-asa/2.3.1D3(rev);	0.363946	0.714286	0.578947	0.4	0.424242	0.428571	0.383333	0.178571	0.225
R02453/2.3.1F1/2.3.1.144;	4-asa/2.3.1D3;	0.362981	1	0.875	0.5	0.404255	0.42623	0.329412	0.241379	0.197368
R00989(r)/2.3.1F1(rev)/2.3.1.113;	4-asa/2.3.1D3(rev);	0.360313	1	0.777778	0.529412	0.387755	0.338462	0.324675	0.222222	0.214286
R02387/2.3.1D4/2.3.1.5;	4-asa/2.3.1D3;	0.349398	0.666667	0.6	0.416667	0.384615	0.333333	0.264151	0.265306	0.323529
R02387/2.3.1D4/2.3.1.5;	4-asa/2.3.1D3;	0.349398	0.666667	0.6	0.416667	0.384615	0.333333	0.264151	0.265306	0.323529
R02453(r)/2.3.1F1(rev)/2.3.1.144;	4-asa/2.3.1D3(rev);	0.349315	1	0.777778	0.542857	0.411765	0.367647	0.329545	0.213483	0.181818
R04050/2.3.1F1/2.3.1.114;	4-asa/2.3.1D3;	0.342618	1	0.875	0.483871	0.380952	0.368421	0.269231	0.180556	0.215686
R04050/2.3.1F1/2.3.1.114;	4-asa/2.3.1D3;	0.342618	1	0.875	0.517241	0.380952	0.355932	0.269231	0.180556	0.215686
R02453/2.3.1F1/2.3.1.144;	4-asa/2.3.1D3;	0.340136	1	0.777778	0.459459	0.358491	0.367647	0.329545	0.213483	0.197368
R08036/2.3.1D4/2.3.1.5;	4-asa/2.3.1D3;	0.338078	0.666667	0.6	0.416667	0.384615	0.3	0.262295	0.254237	0.340909
R08036/2.3.1D4/2.3.1.5;	4-asa/2.3.1D3;	0.338078	0.666667	0.6	0.416667	0.384615	0.3	0.262295	0.254237	0.340909
R02387/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3(rev);	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R02387/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3(rev);	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R10473/2.3.1F1/2.3.1.224;	4-asa/2.3.1D3;	0.332226	0.714286	0.578947	0.354839	0.382353	0.395349	0.360656	0.157895	0.166667
R10473/2.3.1F1/2.3.1.224;	4-asa/2.3.1D3;	0.332226	0.714286	0.578947	0.354839	0.382353	0.395349	0.360656	0.157895	0.166667
