reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02387/2.3.1D3/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.646552	1	1	1	0.913043	0.675676	0.58	0.4	0.361111
R02387/2.3.1D3/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.646552	1	1	1	0.913043	0.675676	0.58	0.4	0.361111
R02387(r)/2.3.1D3(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.646552	1	1	1	0.913043	0.675676	0.58	0.4	0.361111
R02387(r)/2.3.1D3(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.646552	1	1	1	0.913043	0.675676	0.58	0.4	0.361111
R00989/2.3.1D3/2.3.1.113;	5-asa (mesalazine)/2.3.1D3;	0.506135	1	0.875	0.714286	0.578947	0.509091	0.5	0.344828	0.309091
R00989(r)/2.3.1D3(rev)/2.3.1.113;	5-asa (mesalazine)/2.3.1D3(rev);	0.506135	1	0.875	0.714286	0.578947	0.509091	0.5	0.344828	0.309091
R00989(r)/2.3.1D3(rev)/2.3.1.113;	5-asa (mesalazine)/2.3.1D3(rev);	0.487879	1	0.875	0.714286	0.538462	0.45614	0.476923	0.344828	0.309091
R00989/2.3.1D3/2.3.1.113;	5-asa (mesalazine)/2.3.1D3;	0.487879	1	0.875	0.714286	0.538462	0.45614	0.476923	0.344828	0.309091
R08036/2.3.1D3/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.464286	1	1	1	0.777778	0.5	0.418919	0.267606	0.19697
R08036/2.3.1D3/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.464286	1	1	1	0.777778	0.5	0.418919	0.267606	0.19697
R08036(r)/2.3.1D3(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.464286	1	1	1	0.777778	0.5	0.418919	0.267606	0.19697
R08036(r)/2.3.1D3(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.464286	1	1	1	0.777778	0.5	0.418919	0.267606	0.19697
R04050(r)/2.3.1D3(rev)/2.3.1.114;	5-asa (mesalazine)/2.3.1D3(rev);	0.457317	1	0.875	0.769231	0.636364	0.454545	0.414286	0.253968	0.245283
R04050/2.3.1D3/2.3.1.114;	5-asa (mesalazine)/2.3.1D3;	0.457317	1	0.875	0.769231	0.636364	0.454545	0.414286	0.253968	0.245283
R04050(r)/2.3.1D3(rev)/2.3.1.114;	5-asa (mesalazine)/2.3.1D3(rev);	0.457317	1	0.875	0.769231	0.636364	0.454545	0.414286	0.253968	0.245283
R04050/2.3.1D3/2.3.1.114;	5-asa (mesalazine)/2.3.1D3;	0.457317	1	0.875	0.769231	0.636364	0.454545	0.414286	0.253968	0.245283
R02387/2.3.1F1/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.449814	1	0.875	0.555556	0.533333	0.422222	0.362069	0.302326	0.289474
R02387/2.3.1F1/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.449814	1	0.875	0.555556	0.533333	0.422222	0.362069	0.302326	0.289474
R02387(r)/2.3.1F1(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.407942	1	0.875	0.68	0.586207	0.361702	0.295082	0.217391	0.195122
R02387(r)/2.3.1F1(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.407942	1	0.875	0.68	0.586207	0.361702	0.295082	0.217391	0.195122
R00989/2.3.1F1/2.3.1.113;	5-asa (mesalazine)/2.3.1D3;	0.383598	1	0.777778	0.444444	0.36	0.358209	0.36	0.301587	0.263158
R00989/2.3.1F1/2.3.1.113;	5-asa (mesalazine)/2.3.1D3;	0.370879	1	0.875	0.483871	0.347826	0.307692	0.324324	0.301587	0.263158
R10473(r)/2.3.1F1(rev)/2.3.1.224;	5-asa (mesalazine)/2.3.1D3(rev);	0.361486	0.714286	0.578947	0.4	0.424242	0.391304	0.383333	0.2	0.204545
R10473(r)/2.3.1F1(rev)/2.3.1.224;	5-asa (mesalazine)/2.3.1D3(rev);	0.361486	0.714286	0.578947	0.4	0.424242	0.391304	0.383333	0.2	0.204545
R00989(r)/2.3.1F1(rev)/2.3.1.113;	5-asa (mesalazine)/2.3.1D3(rev);	0.354922	1	0.777778	0.529412	0.387755	0.318841	0.307692	0.242424	0.2
R02387/2.3.1D4/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.346614	0.666667	0.6	0.416667	0.384615	0.3	0.264151	0.302326	0.289474
R02387/2.3.1D4/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.346614	0.666667	0.6	0.416667	0.384615	0.3	0.264151	0.302326	0.289474
R02453(r)/2.3.1F1(rev)/2.3.1.144;	5-asa (mesalazine)/2.3.1D3(rev);	0.345154	1	0.875	0.6	0.434783	0.338235	0.298851	0.228916	0.17284
R02453(r)/2.3.1F1(rev)/2.3.1.144;	5-asa (mesalazine)/2.3.1D3(rev);	0.344671	1	0.777778	0.542857	0.411765	0.347222	0.314607	0.228916	0.17284
R02453/2.3.1F1/2.3.1.144;	5-asa (mesalazine)/2.3.1D3;	0.341981	1	0.875	0.5	0.375	0.338235	0.298851	0.243902	0.202532
R02453/2.3.1F1/2.3.1.144;	5-asa (mesalazine)/2.3.1D3;	0.341629	1	0.777778	0.459459	0.358491	0.347222	0.314607	0.243902	0.202532
R00989(r)/2.3.1F1(rev)/2.3.1.113;	5-asa (mesalazine)/2.3.1D3(rev);	0.341398	1	0.875	0.586207	0.377778	0.268657	0.272727	0.242424	0.2
