reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08226(r)/1.3.1A2/1.3.1.2;	5-fu/1.3.1A1;	1	1	1	1	1	1	1	1	1
R00977/1.3.1A1/1.3.1.1;	5-fu/1.3.1A1;	0.946429	1	0.916667	0.9	0.90625	0.952381	0.927273	0.962963	0.982456
R00978/1.3.1A2/1.3.1.2;	5-fu/1.3.1A1;	0.946429	1	0.916667	0.9	0.90625	0.952381	0.927273	0.962963	0.982456
R11026/1.3.1A1/1.3.1.1;	5-fu/1.3.1A1;	0.898305	1	0.846154	0.818182	0.828571	0.909091	0.864407	0.928571	0.965517
R01415/1.3.1A2/1.3.1.2;	5-fu/1.3.1A1;	0.898305	1	0.846154	0.818182	0.828571	0.909091	0.864407	0.928571	0.965517
R01414/1.3.1A1/1.3.1.1;	5-fu/1.3.1A1;	0.898305	1	0.846154	0.818182	0.828571	0.909091	0.864407	0.928571	0.965517
R10418/1.3.1A2/1.3.1.103;	5-fu/1.3.1A1;	0.771626	1	0.642857	0.541667	0.571429	0.690476	0.745455	0.87037	0.982456
R01689/1.3.1A1/1.3.1.31;	5-fu/1.3.1A1;	0.771626	1	0.642857	0.565217	0.588235	0.659091	0.745455	0.87037	0.982456
R04429/1.3.1A1/1.3.1.9;	5-fu/1.3.1A1;	0.758503	1	0.642857	0.541667	0.555556	0.644444	0.732143	0.87037	0.982456
R04430/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	5-fu/1.3.1A1;	0.758503	1	0.642857	0.541667	0.555556	0.644444	0.732143	0.87037	0.982456
R01403/1.3.1A1/1.3.1.9;	5-fu/1.3.1A1;	0.758503	1	0.642857	0.541667	0.555556	0.644444	0.732143	0.87037	0.982456
R01404/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39;	5-fu/1.3.1A1;	0.758503	1	0.642857	0.541667	0.555556	0.644444	0.732143	0.87037	0.982456
R00402/1.3.1A1/1.3.1.6;	5-fu/1.3.1A1;	0.745819	1	0.642857	0.52	0.555556	0.630435	0.694915	0.87037	0.982456
R02463/1.3.1A2/1.3.1.27;	5-fu/1.3.1A1;	0.738411	1	0.692308	0.590909	0.571429	0.630435	0.694915	0.810345	0.918033
R03900/1.3.1A2/1.3.1.16;	5-fu/1.3.1A1;	0.734219	0.777778	0.533333	0.490196	0.555556	0.648352	0.694915	0.87037	0.982456
R04956/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	5-fu/1.3.1A1;	0.728758	1	0.642857	0.52	0.526316	0.617021	0.694915	0.824561	0.965517
R04955/1.3.1A1/1.3.1.9;	5-fu/1.3.1A1;	0.728758	1	0.642857	0.52	0.526316	0.617021	0.694915	0.824561	0.965517
R01866/1.3.1A2/1.3.1.15;	5-fu/1.3.1A1;	0.727811	1	0.714286	0.64	0.641026	0.67619	0.657143	0.767442	0.861538
R01869/1.3.1A1/1.3.1.14;	5-fu/1.3.1A1;	0.727811	1	0.714286	0.64	0.641026	0.67619	0.657143	0.767442	0.861538
R00919/1.3.1A2/1.3.1.84;	5-fu/1.3.1A1;	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R10161/1.3.1A1/1.3.1.95;	5-fu/1.3.1A1;	0.726384	1	0.692308	0.565217	0.555556	0.630435	0.694915	0.79661	0.888889
R04959/1.3.1A2/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	5-fu/1.3.1A1;	0.710191	1	0.642857	0.52	0.526316	0.604167	0.672131	0.79661	0.918033
R04958/1.3.1A1/1.3.1.9;	5-fu/1.3.1A1;	0.710191	1	0.642857	0.52	0.526316	0.604167	0.672131	0.79661	0.918033
