reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08260(r)/3.2.1A2(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	1	1	1	1	1	1	1	1	1
R08260(r)/3.2.1A1(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	1	1	1	1	1	1	1	1	1
R08260(r)/3.2.1A2(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	0.735007	1	1	1	0.933333	0.847826	0.776119	0.670886	0.563107
R08260(r)/3.2.1A1(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	0.735007	1	1	1	0.933333	0.847826	0.776119	0.670886	0.563107
R08260(r)/3.2.1A1(rev)/3.2.1.31;	SN38-G/3.2.1A1;	0.685637	1	1	0.947368	0.870968	0.808511	0.75	0.609756	0.504673
R08260(r)/3.2.1A2(rev)/3.2.1.31;	SN38-G/3.2.1A1;	0.685637	1	1	0.947368	0.870968	0.808511	0.75	0.609756	0.504673
R08127(r)/3.2.1A2(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	0.622746	1	1	0.948718	0.903226	0.853933	0.719697	0.53125	0.334928
R08127(r)/3.2.1A1(rev)/3.2.1.31;	SN38-G/3.2.1A1(rev);	0.622746	1	1	0.948718	0.903226	0.853933	0.719697	0.53125	0.334928
R08127/3.2.1A2/3.2.1.31;	SN38-G/3.2.1A1;	0.616022	1	1	0.948718	0.903226	0.853933	0.719697	0.521739	0.322275
R08127/3.2.1A1/3.2.1.31;	SN38-G/3.2.1A1;	0.616022	1	1	0.948718	0.903226	0.853933	0.719697	0.521739	0.322275
R04006/3.2.1A1/3.2.1.126;	SN38-G/3.2.1A1;	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006/3.2.1A2/3.2.1.126;	SN38-G/3.2.1A1;	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006/3.2.1A2/3.2.1.126;	SN38-G/3.2.1A1;	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006(r)/3.2.1A1(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006/3.2.1A1/3.2.1.126;	SN38-G/3.2.1A1;	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006(r)/3.2.1A2(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006(r)/3.2.1A1(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R04006(r)/3.2.1A2(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.611281	1	1	0.945946	0.896552	0.813953	0.688	0.503497	0.316384
R09039/3.2.1A1/;	SN38-G/3.2.1A1;	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039/3.2.1A2/;	SN38-G/3.2.1A1;	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039/3.2.1A1/;	SN38-G/3.2.1A1;	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039/3.2.1A2/;	SN38-G/3.2.1A1;	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039(r)/3.2.1A1(rev)/;	SN38-G/3.2.1A1(rev);	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039(r)/3.2.1A2(rev)/;	SN38-G/3.2.1A1(rev);	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039(r)/3.2.1A1(rev)/;	SN38-G/3.2.1A1(rev);	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R09039(r)/3.2.1A2(rev)/;	SN38-G/3.2.1A1(rev);	0.59488	1	1	0.945946	0.896552	0.813953	0.666667	0.469799	0.297143
R04998/3.2.1A2/3.2.1.21;	SN38-G/3.2.1A1;	0.594675	1	1	0.897436	0.84127	0.75	0.658915	0.5	0.322034
R04998/3.2.1A1/3.2.1.21;	SN38-G/3.2.1A1;	0.594675	1	1	0.897436	0.84127	0.75	0.658915	0.5	0.322034
R04998(r)/3.2.1A1(rev)/3.2.1.21;	SN38-G/3.2.1A1(rev);	0.594675	1	1	0.897436	0.84127	0.75	0.658915	0.5	0.322034
R04998(r)/3.2.1A2(rev)/3.2.1.21;	SN38-G/3.2.1A1(rev);	0.594675	1	1	0.897436	0.84127	0.75	0.658915	0.5	0.322034
R02595(r)/3.2.1A1(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.584286	1	1	0.897436	0.8125	0.771739	0.676923	0.490196	0.302083
R02595(r)/3.2.1A2(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.584286	1	1	0.897436	0.8125	0.771739	0.676923	0.490196	0.302083
R02595(r)/3.2.1A1(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.577525	1	1	0.897436	0.8125	0.752688	0.651515	0.480519	0.308901
R02595(r)/3.2.1A2(rev)/3.2.1.126;	SN38-G/3.2.1A1(rev);	0.577525	1	1	0.897436	0.8125	0.752688	0.651515	0.480519	0.308901
R09533(r)/3.2.1A2(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.575646	1	1	0.948718	0.848485	0.785714	0.668919	0.489362	0.315574
R09533(r)/3.2.1A2(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.575646	1	1	0.948718	0.848485	0.785714	0.668919	0.489362	0.315574
R09533(r)/3.2.1A1(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.575646	1	1	0.948718	0.848485	0.785714	0.668919	0.489362	0.315574
R09533(r)/3.2.1A1(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.575646	1	1	0.948718	0.848485	0.785714	0.668919	0.489362	0.315574
R02595/3.2.1A1/3.2.1.126;	SN38-G/3.2.1A1;	0.575284	1	1	0.897436	0.8125	0.771739	0.664122	0.480519	0.28866
R02595/3.2.1A2/3.2.1.126;	SN38-G/3.2.1A1;	0.575284	1	1	0.897436	0.8125	0.771739	0.664122	0.480519	0.28866
R02595/3.2.1A2/3.2.1.126;	SN38-G/3.2.1A1;	0.57305	1	1	0.897436	0.8125	0.752688	0.651515	0.480519	0.295337
R02595/3.2.1A1/3.2.1.126;	SN38-G/3.2.1A1;	0.57305	1	1	0.897436	0.8125	0.752688	0.651515	0.480519	0.295337
R09533(r)/3.2.1A1(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.571779	1	1	0.948718	0.848485	0.785714	0.657718	0.481481	0.315574
R09533(r)/3.2.1A2(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.571779	1	1	0.948718	0.848485	0.785714	0.657718	0.481481	0.315574
R09533(r)/3.2.1A2(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.571779	1	1	0.948718	0.848485	0.785714	0.657718	0.481481	0.315574
R09533(r)/3.2.1A1(rev)/3.2.1.167;	SN38-G/3.2.1A1(rev);	0.571779	1	1	0.948718	0.848485	0.785714	0.657718	0.481481	0.315574
R09533/3.2.1A1/3.2.1.167;	SN38-G/3.2.1A1;	0.566015	1	1	0.948718	0.848485	0.785714	0.657718	0.473684	0.304878
R09533/3.2.1A2/3.2.1.167;	SN38-G/3.2.1A1;	0.566015	1	1	0.948718	0.848485	0.785714	0.657718	0.473684	0.304878
R09533/3.2.1A1/3.2.1.167;	SN38-G/3.2.1A1;	0.566015	1	1	0.948718	0.848485	0.785714	0.657718	0.473684	0.304878
R09533/3.2.1A2/3.2.1.167;	SN38-G/3.2.1A1;	0.566015	1	1	0.948718	0.848485	0.785714	0.657718	0.473684	0.304878
