reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016/1.7.1B2/;	balsalazide/1.7.1A2;	0.597254	0.666667	0.692308	0.711111	0.712329	0.629032	0.601093	0.556701	0.530806
R08016/1.7.1B2/;	balsalazide/1.7.1A2;	0.597254	0.666667	0.692308	0.711111	0.712329	0.629032	0.601093	0.556701	0.530806
R08016(r)/1.7.1B2(rev)/;	balsalazide/1.7.1A2(rev);	0.597254	0.666667	0.692308	0.711111	0.712329	0.629032	0.601093	0.556701	0.530806
R08016(r)/1.7.1B2(rev)/;	balsalazide/1.7.1A2(rev);	0.597254	0.666667	0.692308	0.711111	0.712329	0.629032	0.601093	0.556701	0.530806
R08019(r)/1.7.1B2(rev)/;	balsalazide/1.7.1A2(rev);	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08018/1.7.1B1/;	balsalazide/1.7.1A2;	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08018/1.7.1B1/;	balsalazide/1.7.1A2;	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08019/1.7.1B2/;	balsalazide/1.7.1A2;	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08019/1.7.1B2/;	balsalazide/1.7.1A2;	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08018(r)/1.7.1B1(rev)/;	balsalazide/1.7.1A2(rev);	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08018(r)/1.7.1B1(rev)/;	balsalazide/1.7.1A2(rev);	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08019(r)/1.7.1B2(rev)/;	balsalazide/1.7.1A2(rev);	0.584546	0.666667	0.692308	0.711111	0.712329	0.619048	0.588235	0.542714	0.511416
R08043(r)/1.7.1B1(rev)/;	balsalazide/1.7.1A2(rev);	0.575556	0.666667	0.692308	0.755556	0.743243	0.598425	0.558511	0.522167	0.511416
R08043/1.7.1B1/;	balsalazide/1.7.1A2;	0.575556	0.666667	0.692308	0.755556	0.743243	0.598425	0.558511	0.522167	0.511416
R08043/1.7.1B1/;	balsalazide/1.7.1A2;	0.566851	0.666667	0.692308	0.680851	0.697368	0.585938	0.558511	0.522167	0.511416
R08043(r)/1.7.1B1(rev)/;	balsalazide/1.7.1A2(rev);	0.566851	0.666667	0.692308	0.680851	0.697368	0.585938	0.558511	0.522167	0.511416
R00143/1.7.1B1(rev)/1.7.1.10,1.7.99.1;	balsalazide/1.7.1A2(rev);	0.551546	0.555556	0.461538	0.5	0.550725	0.527273	0.503067	0.562874	0.625698
R00143(r)/1.7.1B1/1.7.1.10,1.7.99.1;	balsalazide/1.7.1A2;	0.551546	0.555556	0.461538	0.5	0.550725	0.527273	0.503067	0.562874	0.625698
R00794(r)/1.7.1B3/1.7.1.1,1.7.1.2;	balsalazide/1.7.1A2;	0.543147	0.454545	0.4	0.458333	0.550725	0.527273	0.503067	0.562874	0.625698
R00794/1.7.1B3(rev)/1.7.1.1,1.7.1.2;	balsalazide/1.7.1A2(rev);	0.543147	0.454545	0.4	0.458333	0.550725	0.527273	0.503067	0.562874	0.625698
R00796(r)/1.7.1B4/1.7.1.2,1.7.1.3;	balsalazide/1.7.1A2;	0.543147	0.454545	0.4	0.458333	0.550725	0.527273	0.503067	0.562874	0.625698
R00796/1.7.1B4(rev)/1.7.1.2,1.7.1.3;	balsalazide/1.7.1A2(rev);	0.543147	0.454545	0.4	0.458333	0.550725	0.527273	0.503067	0.562874	0.625698
R04046(r)/1.7.1B1/1.7.1.12;	balsalazide/1.7.1A2;	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046(r)/1.7.1B1/1.7.1.12;	balsalazide/1.7.1A2;	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046/1.7.1B1(rev)/1.7.1.12;	balsalazide/1.7.1A2(rev);	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046(r)/1.7.1B1/1.7.1.12;	balsalazide/1.7.1A2;	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046/1.7.1B1(rev)/1.7.1.12;	balsalazide/1.7.1A2(rev);	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046/1.7.1B1(rev)/1.7.1.12;	balsalazide/1.7.1A2(rev);	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046/1.7.1B1(rev)/1.7.1.12;	balsalazide/1.7.1A2(rev);	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046(r)/1.7.1B1/1.7.1.12;	balsalazide/1.7.1A2;	0.52027	0.777778	0.785714	0.653846	0.641975	0.634921	0.57732	0.468354	0.38
R04046(r)/1.7.1B1/1.7.1.12;	balsalazide/1.7.1A2;	0.514423	0.777778	0.785714	0.653846	0.641975	0.648	0.569231	0.443983	0.38
R04046/1.7.1B1(rev)/1.7.1.12;	balsalazide/1.7.1A2(rev);	0.514423	0.777778	0.785714	0.653846	0.641975	0.648	0.569231	0.443983	0.38
