reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02296/2.4.2A1/2.4.2.2;	capecitabine/2.4.2A1;	0.671667	1	1	0.914894	0.784615	0.727273	0.65	0.550847	0.477064
R10837/2.4.2A1/2.4.2.57;	capecitabine/2.4.2A1;	0.619048	1	1	0.914894	0.784615	0.712871	0.609375	0.5	0.376812
R08222/2.4.2A1/2.4.2.4;	capecitabine/2.4.2A1;	0.549383	1	1	0.836735	0.705882	0.626168	0.518797	0.395349	0.316667
R08229(r)/2.4.2A1/2.4.2.3;	capecitabine/2.4.2A1;	0.523529	1	1	0.836735	0.685714	0.614679	0.496403	0.364286	0.290076
R01876/2.4.2A1/2.4.2.2,2.4.2.3;	capecitabine/2.4.2A1;	0.503748	1	1	0.836735	0.657143	0.583333	0.455882	0.355556	0.267717
R08230(r)/2.4.2A1/2.4.2.4;	capecitabine/2.4.2A1;	0.482861	1	1	0.795918	0.652174	0.564815	0.42029	0.328467	0.265625
R10838/2.4.2A1/2.4.2.57;	capecitabine/2.4.2A1;	0.467967	1	1	0.836735	0.657143	0.572727	0.430556	0.326531	0.217949
R02484/2.4.2A1/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	capecitabine/2.4.2A1;	0.463526	1	1	0.795918	0.623188	0.53271	0.377778	0.325758	0.241935
R01570/2.4.2A1/2.4.2.2,2.4.2.4;	capecitabine/2.4.2A1;	0.448326	1	1	0.795918	0.628571	0.522523	0.361111	0.309353	0.227273
R00966/2.4.2B1/2.4.2.9;	capecitabine/2.4.2A1;	0.408696	0.8	0.69697	0.552239	0.560976	0.488372	0.416107	0.307692	0.201183
R02646/2.4.2A1/2.4.2.16;	capecitabine/2.4.2A1;	0.392246	1	1	0.84	0.618421	0.515873	0.367816	0.253807	0.160377
R01863/2.4.2A1/2.4.2.1,2.4.2.15;	capecitabine/2.4.2A1;	0.349537	1	0.846154	0.740741	0.52381	0.394161	0.295455	0.230769	0.160428
R01561/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.343318	1	0.846154	0.740741	0.52381	0.404412	0.302857	0.217391	0.136126
R09668/2.4.2A1/2.4.2.44;	capecitabine/2.4.2A1;	0.341243	1	0.846154	0.740741	0.52381	0.388489	0.292135	0.223404	0.151515
R01402/2.4.2A1/2.4.2.28;	capecitabine/2.4.2A1;	0.335208	1	0.846154	0.740741	0.52381	0.398551	0.299435	0.210526	0.128713
R02147/2.4.2A1/2.4.2.1,2.4.2.15;	capecitabine/2.4.2A1;	0.333702	1	0.846154	0.740741	0.511628	0.382979	0.281081	0.214286	0.150754
R04346/2.4.2B1/2.4.2.20;	capecitabine/2.4.2A1;	0.326316	0.8	0.69697	0.529412	0.471264	0.371429	0.310559	0.228916	0.127778
R10836/2.4.2A1/2.4.2.57;	capecitabine/2.4.2A1;	0.324266	1	0.846154	0.740741	0.52381	0.398551	0.289617	0.204082	0.118182
R02748/2.4.2A1/2.4.2.1,2.4.2.4;	capecitabine/2.4.2A1;	0.321555	1	0.846154	0.703704	0.493976	0.352941	0.248555	0.20904	0.142857
R02557/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.315358	1	0.846154	0.703704	0.493976	0.362963	0.255814	0.195531	0.11828
R01969/2.4.2A1/2.4.2.1,2.4.2.4;	capecitabine/2.4.2A1;	0.307087	1	0.846154	0.703704	0.482353	0.342857	0.236264	0.193717	0.134715
R01132/2.4.2B1/2.4.2.8;	capecitabine/2.4.2A1;	0.294411	0.8	0.6	0.5	0.458333	0.341772	0.275132	0.206897	0.131004
R00190/2.4.2B1/2.4.2.7,2.4.2.8;	capecitabine/2.4.2A1;	0.289264	0.8	0.6	0.5	0.458333	0.350318	0.281915	0.195122	0.111588
R02294/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.288832	1	0.642857	0.571429	0.4375	0.349593	0.246835	0.163522	0.089172
R04378/2.4.2B1/2.4.2.7;	capecitabine/2.4.2A1;	0.286188	0.8	0.6	0.472222	0.44086	0.322148	0.280488	0.193182	0.0969388
R02294/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.285531	1	0.642857	0.592593	0.423077	0.344	0.240741	0.163522	0.089172
R01229/2.4.2B1/2.4.2.22,2.4.2.7,2.4.2.8;	capecitabine/2.4.2A1;	0.282838	0.8	0.6	0.5	0.44898	0.333333	0.262626	0.193548	0.124481
R01561/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.28046	1	0.769231	0.692308	0.439024	0.340741	0.254438	0.159574	0.075
R02296(r)/2.4.2A1(rev)/2.4.2.2;	capecitabine/2.4.2A1;	0.277707	1	0.846154	0.698113	0.468354	0.357143	0.229814	0.0958084	0.0387097
R01402/2.4.2A1/2.4.2.28;	capecitabine/2.4.2A1;	0.27385	1	0.769231	0.692308	0.439024	0.335766	0.251462	0.154639	0.07109
R10837(r)/2.4.2A1(rev)/2.4.2.57;	capecitabine/2.4.2A1;	0.272947	1	0.846154	0.698113	0.468354	0.362205	0.240964	0.0955056	0.0497238
R10836/2.4.2A1/2.4.2.57;	capecitabine/2.4.2A1;	0.26114	1	0.714286	0.62069	0.438202	0.340278	0.235602	0.145631	0.0649351
R01870/2.4.2B1/2.4.2.10;	capecitabine/2.4.2A1;	0.252505	0.8	0.513514	0.428571	0.40404	0.333333	0.246073	0.15	0.0688073
R02557/2.4.2A1/2.4.2.1;	capecitabine/2.4.2A1;	0.252232	1	0.714286	0.586207	0.409091	0.304965	0.206704	0.138298	0.0612245
R01271/2.4.2B1/2.4.2.12;	capecitabine/2.4.2A1;	0.237732	0.8	0.459459	0.378378	0.380435	0.298611	0.22807	0.144444	0.0703518
R01073/2.4.2B1/2.4.2.18;	capecitabine/2.4.2A1;	0.236324	0.8	0.459459	0.373333	0.357895	0.283784	0.230769	0.149425	0.0714286
R01271/2.4.2B1/2.4.2.12;	capecitabine/2.4.2A1;	0.235038	0.8	0.459459	0.388889	0.366667	0.294521	0.222857	0.144444	0.0703518
R01073/2.4.2B1/2.4.2.18;	capecitabine/2.4.2A1;	0.234973	0.8	0.459459	0.373333	0.34375	0.283784	0.230769	0.149425	0.0714286
R00190/2.4.2B1/2.4.2.7,2.4.2.8;	capecitabine/2.4.2A1;	0.23289	0.8	0.513514	0.421053	0.386139	0.300613	0.229592	0.139535	0.0614754
R08369(r)/2.4.1A1(rev)/2.4.1.118;	capecitabine/2.4.2A1;	0.232143	0.8	0.567568	0.473684	0.407407	0.303371	0.223176	0.139194	0.0814332
R08369(r)/2.4.1E1(rev)/2.4.1.118;	capecitabine/2.4.2A1;	0.232143	0.8	0.567568	0.473684	0.407407	0.303371	0.223176	0.139194	0.0814332
