reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016(r)/1.7.1B2(rev)/;	clonazepam/1.7.1A2(rev);	0.647349	0.866667	0.95	0.942857	0.866667	0.764706	0.660377	0.557292	0.517544
R08016(r)/1.7.1B2(rev)/;	clonazepam/1.7.1A2(rev);	0.647349	0.866667	0.95	0.942857	0.866667	0.764706	0.660377	0.557292	0.517544
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.644951	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.604651	0.517361
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.644951	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.604651	0.517361
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.644951	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.604651	0.517361
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.644951	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.604651	0.517361
R08019(r)/1.7.1B2(rev)/;	clonazepam/1.7.1A2(rev);	0.638452	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.543147	0.506383
R08019(r)/1.7.1B2(rev)/;	clonazepam/1.7.1A2(rev);	0.638452	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.543147	0.506383
R08018(r)/1.7.1B1(rev)/;	clonazepam/1.7.1A2(rev);	0.638452	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.543147	0.506383
R08018(r)/1.7.1B1(rev)/;	clonazepam/1.7.1A2(rev);	0.638452	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.543147	0.506383
R08043(r)/1.7.1B1(rev)/;	clonazepam/1.7.1A2(rev);	0.636145	0.866667	0.95	0.891892	0.8125	0.757282	0.660377	0.545455	0.512821
R08043(r)/1.7.1B1(rev)/;	clonazepam/1.7.1A2(rev);	0.636145	0.866667	0.95	0.891892	0.84127	0.77451	0.660377	0.537688	0.506383
R00143/1.7.1B1(rev)/1.7.1.10,1.7.99.1;	clonazepam/1.7.1A2(rev);	0.602241	0.733333	0.65	0.628571	0.678571	0.659091	0.61194	0.573171	0.554455
R00794/1.7.1B3(rev)/1.7.1.1,1.7.1.2;	clonazepam/1.7.1A2(rev);	0.598894	0.666667	0.608696	0.605263	0.678571	0.659091	0.61194	0.573171	0.554455
R00796/1.7.1B4(rev)/1.7.1.2,1.7.1.3;	clonazepam/1.7.1A2(rev);	0.598894	0.666667	0.608696	0.605263	0.678571	0.659091	0.61194	0.573171	0.554455
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.55704	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.493506	0.418831
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.55704	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.493506	0.418831
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.553846	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.487069	0.414239
R04046/1.7.1B1(rev)/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.553846	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.487069	0.414239
R09288(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.446627	0.583333	0.606061	0.603448	0.56701	0.52	0.459821	0.383459	0.363636
R09288(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.446627	0.583333	0.606061	0.603448	0.56701	0.52	0.459821	0.383459	0.363636
R08047(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.432129	0.583333	0.606061	0.583333	0.533981	0.496894	0.441667	0.377622	0.35503
R08047(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.430979	0.583333	0.606061	0.583333	0.533981	0.50625	0.441667	0.372822	0.351032
R08017(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.417054	0.583333	0.606061	0.603448	0.555556	0.496933	0.426295	0.348534	0.335211
R08017(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.417054	0.583333	0.606061	0.603448	0.555556	0.496933	0.426295	0.348534	0.335211
R08042(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.416731	0.583333	0.606061	0.583333	0.533981	0.484848	0.427419	0.355263	0.338983
R08042(r)/1.7.1A1(rev)/;	clonazepam/1.7.1A2(rev);	0.415635	0.583333	0.606061	0.583333	0.533981	0.493902	0.427419	0.35082	0.335211
R05711/1.7.1A2(rev)/1.7.1.6;	clonazepam/1.7.1A2(rev);	0.414008	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.391608	0.337209
R05711/1.7.1A2(rev)/1.7.1.6;	clonazepam/1.7.1A2(rev);	0.414008	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.391608	0.337209
R05711/1.7.1A2(rev)/1.7.1.6;	clonazepam/1.7.1A2(rev);	0.414008	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.391608	0.337209
R04228(r)/1.7.1A1(rev)/1.7.1.9;	clonazepam/1.7.1A2(rev);	0.390577	0.583333	0.606061	0.583333	0.533981	0.458333	0.382812	0.322581	0.31768
R04228(r)/1.7.1A1(rev)/1.7.1.9;	clonazepam/1.7.1A2(rev);	0.388467	0.583333	0.606061	0.583333	0.504762	0.432749	0.372093	0.335505	0.325
R04228(r)/1.7.1A1(rev)/1.7.1.9;	clonazepam/1.7.1A2(rev);	0.384266	0.583333	0.606061	0.583333	0.504762	0.424419	0.361538	0.331169	0.325
R04228(r)/1.7.1A1(rev)/1.7.1.9;	clonazepam/1.7.1A2(rev);	0.384266	0.583333	0.606061	0.583333	0.504762	0.424419	0.361538	0.331169	0.325
R01134/1.7.1E1/1.7.1.7;	clonazepam/1.7.1A2(rev);	0.352146	0.545455	0.580645	0.45	0.392157	0.358025	0.353448	0.323024	0.312849
R09235(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.335427	0.4375	0.454545	0.432099	0.40146	0.37799	0.348684	0.29972	0.275701
R09230(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.335006	0.4375	0.454545	0.432099	0.40146	0.381643	0.348684	0.296399	0.275701
R09235(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.334589	0.4375	0.454545	0.443038	0.413534	0.380952	0.348534	0.296089	0.269767
R09230(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.334169	0.4375	0.454545	0.443038	0.413534	0.384615	0.348534	0.292818	0.269767
R09232(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.329238	0.4375	0.454545	0.443038	0.413534	0.377358	0.339683	0.283422	0.271071
R09231(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.328834	0.4375	0.454545	0.432099	0.40146	0.370892	0.339744	0.286863	0.273973
R09232(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.328422	0.4375	0.454545	0.443038	0.413534	0.377358	0.339683	0.283422	0.268182
R04046(r)/1.7.1B1/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.327783	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.296992	0.241477
R04046(r)/1.7.1B1/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.327783	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.296992	0.241477
R04046(r)/1.7.1B1/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.327783	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.296992	0.241477
R04046(r)/1.7.1B1/1.7.1.12;	clonazepam/1.7.1A2(rev);	0.327783	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.296992	0.241477
R09231(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.327206	0.4375	0.454545	0.432099	0.40146	0.377358	0.339744	0.283422	0.268182
R08046(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.325666	0.4375	0.454545	0.443038	0.407407	0.373272	0.333333	0.28382	0.266219
R08046(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.325666	0.4375	0.454545	0.443038	0.407407	0.373272	0.333333	0.28382	0.266219
R08045(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.325272	0.4375	0.454545	0.443038	0.407407	0.376744	0.333333	0.28084	0.266219
R08045(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.325272	0.4375	0.454545	0.443038	0.407407	0.376744	0.333333	0.28084	0.266219
R08044(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.324879	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.284211	0.269058
R08044(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.324879	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.284211	0.269058
R08044(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.324879	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.284211	0.269058
R08044(r)/1.7.1D1/;	clonazepam/1.7.1A2(rev);	0.324879	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.284211	0.269058
R08016/1.7.1B2/;	clonazepam/1.7.1A2(rev);	0.303415	0.866667	0.695652	0.545455	0.435897	0.343284	0.294118	0.245833	0.205575
R08016/1.7.1B2/;	clonazepam/1.7.1A2(rev);	0.303415	0.866667	0.695652	0.545455	0.435897	0.343284	0.294118	0.245833	0.205575
R08043/1.7.1B1/;	clonazepam/1.7.1A2(rev);	0.302013	0.866667	0.695652	0.521739	0.414634	0.350746	0.294118	0.243902	0.208191
R08043/1.7.1B1/;	clonazepam/1.7.1A2(rev);	0.302013	0.866667	0.695652	0.555556	0.432099	0.350746	0.294118	0.238866	0.204082
R08019/1.7.1B2/;	clonazepam/1.7.1A2(rev);	0.301633	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.240816	0.204082
R08018/1.7.1B1/;	clonazepam/1.7.1A2(rev);	0.301633	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.240816	0.204082
R08018/1.7.1B1/;	clonazepam/1.7.1A2(rev);	0.301633	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.240816	0.204082
