reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R10134(r)/3.2.1A2(rev)/3.1.1.93;	diclofenac glucuronide/3.2.1A1(rev);	0.789809	1	1	1	0.961538	0.864865	0.815217	0.747253	0.515464
R10134(r)/3.2.1A1(rev)/3.1.1.93;	diclofenac glucuronide/3.2.1A1(rev);	0.789809	1	1	1	0.961538	0.864865	0.815217	0.747253	0.515464
R10134(r)/3.2.1A2(rev)/3.1.1.93;	diclofenac glucuronide/3.2.1A1(rev);	0.789809	1	1	1	0.961538	0.864865	0.815217	0.747253	0.515464
R10134(r)/3.2.1A1(rev)/3.1.1.93;	diclofenac glucuronide/3.2.1A1(rev);	0.789809	1	1	1	0.961538	0.864865	0.815217	0.747253	0.515464
R10134/3.1.1A1/3.1.1.93;	diclofenac glucuronide/3.1.1A1;	0.669584	1	1	0.92	0.8	0.774194	0.7	0.621359	0.45045
R10134/3.1.1A1/3.1.1.93;	diclofenac glucuronide/3.1.1A1;	0.669584	1	1	0.92	0.8	0.774194	0.7	0.621359	0.45045
R01498(r)/3.2.1A1(rev)/3.2.1.45,3.2.1.62;	diclofenac glucuronide/3.2.1A1(rev);	0.600791	1	0.888889	0.783784	0.741379	0.666667	0.645833	0.535354	0.333333
R01498(r)/3.2.1A2(rev)/3.2.1.45,3.2.1.62;	diclofenac glucuronide/3.2.1A1(rev);	0.600791	1	0.888889	0.783784	0.741379	0.666667	0.645833	0.535354	0.333333
R03617(r)/3.2.1A1(rev)/3.2.1.46,3.2.1.62;	diclofenac glucuronide/3.2.1A1(rev);	0.600791	1	0.888889	0.783784	0.741379	0.666667	0.645833	0.535354	0.333333
R03617(r)/3.2.1A2(rev)/3.2.1.46,3.2.1.62;	diclofenac glucuronide/3.2.1A1(rev);	0.600791	1	0.888889	0.783784	0.741379	0.666667	0.645833	0.535354	0.333333
R01104(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.595789	1	0.888889	0.783784	0.732143	0.666667	0.626374	0.516129	0.322581
R01104(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.595789	1	0.888889	0.783784	0.732143	0.666667	0.626374	0.516129	0.322581
R02926(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.579365	1	0.888889	0.783784	0.767857	0.658228	0.585859	0.49505	0.313725
R02926(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.579365	1	0.888889	0.783784	0.767857	0.658228	0.585859	0.49505	0.313725
R10530(r)/3.2.1A2(rev)/3.2.1.186;	diclofenac glucuronide/3.2.1A1(rev);	0.574803	1	0.888889	0.783784	0.796296	0.693333	0.591837	0.480769	0.290909
R10530(r)/3.2.1A1(rev)/3.2.1.186;	diclofenac glucuronide/3.2.1A1(rev);	0.574803	1	0.888889	0.783784	0.796296	0.693333	0.591837	0.480769	0.290909
R02558(r)/3.2.1A1(rev)/3.2.1.118,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.564516	1	0.8	0.674419	0.6875	0.632184	0.588785	0.513514	0.342105
R02558(r)/3.2.1A2(rev)/3.2.1.118,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.564516	1	0.8	0.674419	0.6875	0.632184	0.588785	0.513514	0.342105
R02558(r)/3.2.1A1(rev)/3.2.1.118,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.564516	1	0.8	0.674419	0.6875	0.632184	0.588785	0.513514	0.342105
