reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08222(r)/2.4.2A1(rev)/2.4.2.4;	doxifluridine/2.4.2A1(rev);	1	1	1	1	1	1	1	1	1
R08229/2.4.2A1(rev)/2.4.2.3;	doxifluridine/2.4.2A1(rev);	0.931183	1	1	1	0.962963	0.973684	0.93617	0.873563	0.84507
R08230/2.4.2A1(rev)/2.4.2.4;	doxifluridine/2.4.2A1(rev);	0.863043	1	1	0.953488	0.924528	0.906667	0.827957	0.811765	0.746479
R01570(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.4;	doxifluridine/2.4.2A1(rev);	0.74898	1	1	0.866667	0.854545	0.833333	0.683168	0.673913	0.56962
R01876(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.3;	doxifluridine/2.4.2A1(rev);	0.702913	1	0.769231	0.72	0.630769	0.696629	0.673077	0.684783	0.732394
R02484(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	doxifluridine/2.4.2A1(rev);	0.641176	1	0.769231	0.68	0.59375	0.636364	0.572816	0.633333	0.633803
R10838(r)/2.4.2A1(rev)/2.4.2.57;	doxifluridine/2.4.2A1(rev);	0.639576	1	0.769231	0.72	0.630769	0.681319	0.625	0.605769	0.52
R02646(r)/2.4.2A1(rev)/2.4.2.16;	doxifluridine/2.4.2A1(rev);	0.548431	1	0.916667	0.803922	0.684932	0.622807	0.555556	0.433121	0.342105
R02296(r)/2.4.2A1(rev)/2.4.2.2;	doxifluridine/2.4.2A1(rev);	0.546737	1	0.769231	0.72	0.606061	0.589474	0.5	0.448598	0.382022
R01870/2.4.2B1/2.4.2.10;	doxifluridine/2.4.2A1;	0.541838	0.8	0.636364	0.536232	0.632911	0.606838	0.597015	0.507463	0.363636
R10837(r)/2.4.2A1(rev)/2.4.2.57;	doxifluridine/2.4.2A1(rev);	0.501618	1	0.769231	0.72	0.606061	0.57732	0.467742	0.403361	0.288136
R01870(r)/2.4.2B1(rev)/2.4.2.10;	doxifluridine/2.4.2A1(rev);	0.486772	0.8	0.636364	0.536232	0.592593	0.553719	0.528571	0.422535	0.3
R00966(r)/2.4.2B1(rev)/2.4.2.9;	doxifluridine/2.4.2A1(rev);	0.482353	0.8	0.542857	0.470588	0.493671	0.508772	0.520325	0.454545	0.375
R08222/2.4.2A1/2.4.2.4;	doxifluridine/2.4.2A1;	0.460898	1	0.769231	0.72	0.58209	0.555556	0.459016	0.321739	0.153846
R01863(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.15;	doxifluridine/2.4.2A1(rev);	0.444444	1	0.916667	0.730769	0.594595	0.513274	0.406897	0.306667	0.243056
R02294/2.4.2A1/2.4.2.1;	doxifluridine/2.4.2A1;	0.444079	1	0.833333	0.68	0.567164	0.505155	0.362205	0.308333	0.266667
R01876/2.4.2A1/2.4.2.2,2.4.2.3;	doxifluridine/2.4.2A1;	0.442434	1	0.769231	0.72	0.558824	0.556701	0.438017	0.291667	0.138889
R08229(r)/2.4.2A1/2.4.2.3;	doxifluridine/2.4.2A1;	0.437599	1	0.769231	0.72	0.565217	0.544554	0.4375	0.293651	0.13913
R09668(r)/2.4.2A1(rev)/2.4.2.44;	doxifluridine/2.4.2A1(rev);	0.431849	1	0.916667	0.730769	0.594595	0.504348	0.401361	0.294872	0.225806
R02147(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.15;	doxifluridine/2.4.2A1(rev);	0.422368	1	0.916667	0.730769	0.578947	0.495726	0.392157	0.280488	0.224359
R01863/2.4.2A1/2.4.2.1,2.4.2.15;	doxifluridine/2.4.2A1;	0.416894	1	0.916667	0.730769	0.573333	0.486957	0.378378	0.272727	0.209459
R02484/2.4.2A1/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	doxifluridine/2.4.2A1;	0.409091	1	0.769231	0.68	0.522388	0.5	0.384615	0.267241	0.115385
R02748(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.4;	doxifluridine/2.4.2A1(rev);	0.408769	1	0.916667	0.692308	0.561644	0.464286	0.342657	0.282759	0.214286
R10838/2.4.2A1/2.4.2.57;	doxifluridine/2.4.2A1;	0.408194	1	0.769231	0.72	0.558824	0.545455	0.410853	0.265152	0.109489
R01561(r)/2.4.2A1(rev)/2.4.2.1;	doxifluridine/2.4.2A1(rev);	0.407307	1	0.916667	0.730769	0.552632	0.461538	0.36	0.281046	0.201342
R08230(r)/2.4.2A1/2.4.2.4;	doxifluridine/2.4.2A1;	0.406149	1	0.769231	0.68	0.529412	0.49	0.387097	0.272727	0.117117
R09668/2.4.2A1/2.4.2.44;	doxifluridine/2.4.2A1;	0.405298	1	0.916667	0.730769	0.573333	0.478632	0.373333	0.2625	0.194969
R02296/2.4.2A1/2.4.2.2;	doxifluridine/2.4.2A1;	0.4032	1	0.769231	0.72	0.536232	0.480392	0.359375	0.25	0.138889
R02294/2.4.2A1/2.4.2.1;	doxifluridine/2.4.2A1;	0.398089	1	0.833333	0.708333	0.507463	0.436893	0.330827	0.266129	0.198198
R02147/2.4.2A1/2.4.2.1,2.4.2.15;	doxifluridine/2.4.2A1;	0.396641	1	0.916667	0.730769	0.558442	0.470588	0.365385	0.25	0.19375
R01402(r)/2.4.2A1(rev)/2.4.2.28;	doxifluridine/2.4.2A1(rev);	0.396053	1	0.916667	0.730769	0.552632	0.453782	0.355263	0.27044	0.1875
R04378/2.4.2B1/2.4.2.7;	doxifluridine/2.4.2A1;	0.391421	0.8	0.636364	0.5	0.530864	0.439024	0.409091	0.29078	0.195946
R01969(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.4;	doxifluridine/2.4.2A1(rev);	0.38874	1	0.916667	0.692308	0.546667	0.448276	0.331126	0.257862	0.198675
R01570/2.4.2A1/2.4.2.2,2.4.2.4;	doxifluridine/2.4.2A1;	0.388179	1	0.769231	0.68	0.507246	0.475248	0.354331	0.252033	0.107143
R02646/2.4.2A1/2.4.2.16;	doxifluridine/2.4.2A1;	0.386076	1	0.769231	0.72549	0.569444	0.526786	0.38961	0.251429	0.142857
R02748/2.4.2A1/2.4.2.1,2.4.2.4;	doxifluridine/2.4.2A1;	0.383333	1	0.916667	0.692308	0.540541	0.438596	0.324138	0.248322	0.180556
R01561/2.4.2A1/2.4.2.1;	doxifluridine/2.4.2A1;	0.381142	1	0.916667	0.730769	0.532468	0.436975	0.333333	0.248408	0.169935
R10836(r)/2.4.2A1(rev)/2.4.2.57;	doxifluridine/2.4.2A1(rev);	0.381013	1	0.916667	0.730769	0.552632	0.453782	0.341772	0.260606	0.168539
R02557(r)/2.4.2A1(rev)/2.4.2.1;	doxifluridine/2.4.2A1(rev);	0.373793	1	0.916667	0.692308	0.52	0.413793	0.297297	0.256757	0.180556
R10837/2.4.2A1/2.4.2.57;	doxifluridine/2.4.2A1;	0.372781	1	0.769231	0.72	0.536232	0.471154	0.338235	0.227941	0.109489
R01402/2.4.2A1/2.4.2.28;	doxifluridine/2.4.2A1;	0.370801	1	0.916667	0.730769	0.532468	0.429752	0.329032	0.239264	0.158537
R04378(r)/2.4.2B1(rev)/2.4.2.7;	doxifluridine/2.4.2A1(rev);	0.367589	0.8	0.636364	0.5	0.512195	0.416	0.377778	0.255172	0.172185
R01969/2.4.2A1/2.4.2.1,2.4.2.4;	doxifluridine/2.4.2A1;	0.364954	1	0.916667	0.692308	0.526316	0.423729	0.313725	0.226994	0.167742
R10836/2.4.2A1/2.4.2.57;	doxifluridine/2.4.2A1;	0.356965	1	0.916667	0.730769	0.532468	0.429752	0.31677	0.230769	0.142857
R04346(r)/2.4.2B1(rev)/2.4.2.20;	doxifluridine/2.4.2A1(rev);	0.35302	0.8	0.542857	0.449275	0.439024	0.398374	0.355072	0.266187	0.18705
R01271/2.4.2B1/2.4.2.12;	doxifluridine/2.4.2A1;	0.352547	0.8	0.575758	0.441176	0.481013	0.415254	0.328571	0.262411	0.190476
R00966/2.4.2B1/2.4.2.9;	doxifluridine/2.4.2A1;	0.351206	0.8	0.542857	0.470588	0.475	0.457627	0.395522	0.248227	0.1
R02557/2.4.2A1/2.4.2.1;	doxifluridine/2.4.2A1;	0.349593	1	0.916667	0.692308	0.5	0.389831	0.28	0.223684	0.148649
R01132/2.4.2B1/2.4.2.8;	doxifluridine/2.4.2A1;	0.34289	0.8	0.636364	0.485714	0.494253	0.411765	0.347826	0.24	0.163158
R01073/2.4.2B1/2.4.2.18;	doxifluridine/2.4.2A1;	0.338667	0.8	0.575758	0.434783	0.45122	0.382114	0.323741	0.255474	0.170068
