reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R04006(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R04006/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.6843	1	1	0.945946	0.928571	0.922078	0.814815	0.572581	0.350649
R09039/3.2.1A2/;	ezetimib glucuronide/3.2.1A1;	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039/3.2.1A1/;	ezetimib glucuronide/3.2.1A1;	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039/3.2.1A2/;	ezetimib glucuronide/3.2.1A1;	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039/3.2.1A1/;	ezetimib glucuronide/3.2.1A1;	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039(r)/3.2.1A2(rev)/;	ezetimib glucuronide/3.2.1A1(rev);	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039(r)/3.2.1A1(rev)/;	ezetimib glucuronide/3.2.1A1(rev);	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039(r)/3.2.1A2(rev)/;	ezetimib glucuronide/3.2.1A1(rev);	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R09039(r)/3.2.1A1(rev)/;	ezetimib glucuronide/3.2.1A1(rev);	0.681973	1	1	0.945946	0.928571	0.922078	0.785714	0.554688	0.364865
R08127/3.2.1A1/3.2.1.31;	ezetimib glucuronide/3.2.1A1;	0.671733	1	1	0.948718	0.933333	0.9625	0.827586	0.5625	0.343915
R08127(r)/3.2.1A1(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.671733	1	1	0.948718	0.933333	0.9625	0.827586	0.5625	0.343915
R08127(r)/3.2.1A2(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.671733	1	1	0.948718	0.933333	0.9625	0.827586	0.5625	0.343915
R08127/3.2.1A2/3.2.1.31;	ezetimib glucuronide/3.2.1A1;	0.671733	1	1	0.948718	0.933333	0.9625	0.827586	0.5625	0.343915
R08260(r)/3.2.1A2(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.651196	1	1	1	0.965517	0.883721	0.784	0.574194	0.35
R08260(r)/3.2.1A1(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.651196	1	1	1	0.965517	0.883721	0.784	0.574194	0.35
R04998/3.2.1A2/3.2.1.21;	ezetimib glucuronide/3.2.1A1;	0.633712	1	1	0.897436	0.83871	0.821429	0.730435	0.530769	0.33121
R04998(r)/3.2.1A2(rev)/3.2.1.21;	ezetimib glucuronide/3.2.1A1(rev);	0.633712	1	1	0.897436	0.83871	0.821429	0.730435	0.530769	0.33121
R04998(r)/3.2.1A1(rev)/3.2.1.21;	ezetimib glucuronide/3.2.1A1(rev);	0.633712	1	1	0.897436	0.83871	0.821429	0.730435	0.530769	0.33121
R04998/3.2.1A1/3.2.1.21;	ezetimib glucuronide/3.2.1A1;	0.633712	1	1	0.897436	0.83871	0.821429	0.730435	0.530769	0.33121
R02595(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.633648	1	1	0.897436	0.83871	0.845238	0.765217	0.529412	0.323529
R02595(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.633648	1	1	0.897436	0.83871	0.845238	0.765217	0.529412	0.323529
R02595/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.631083	1	1	0.897436	0.83871	0.845238	0.765217	0.529412	0.315789
R02595/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.631083	1	1	0.897436	0.83871	0.845238	0.765217	0.529412	0.315789
R02595(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.628527	1	1	0.897436	0.83871	0.845238	0.765217	0.518248	0.315789
R02595(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.628527	1	1	0.897436	0.83871	0.845238	0.765217	0.518248	0.315789
R02595/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.628527	1	1	0.897436	0.83871	0.845238	0.765217	0.518248	0.315789
R02595/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.628527	1	1	0.897436	0.83871	0.845238	0.765217	0.518248	0.315789
R04998(r)/3.2.1A2(rev)/3.2.1.21;	ezetimib glucuronide/3.2.1A1(rev);	0.615385	1	1	0.897436	0.83871	0.8	0.700855	0.507576	0.314465
R04998/3.2.1A1/3.2.1.21;	ezetimib glucuronide/3.2.1A1;	0.615385	1	1	0.897436	0.83871	0.8	0.700855	0.507576	0.314465
R04998/3.2.1A2/3.2.1.21;	ezetimib glucuronide/3.2.1A1;	0.615385	1	1	0.897436	0.83871	0.8	0.700855	0.507576	0.314465
R04998(r)/3.2.1A1(rev)/3.2.1.21;	ezetimib glucuronide/3.2.1A1(rev);	0.615385	1	1	0.897436	0.83871	0.8	0.700855	0.507576	0.314465
R09533(r)/3.2.1A1(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533(r)/3.2.1A2(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533(r)/3.2.1A2(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533(r)/3.2.1A1(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533/3.2.1A1/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533/3.2.1A2/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533/3.2.1A1/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533/3.2.1A2/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.610372	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.315556
R09533/3.2.1A1/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533(r)/3.2.1A1(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533(r)/3.2.1A2(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533/3.2.1A1/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533/3.2.1A2/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533/3.2.1A2/3.2.1.167;	ezetimib glucuronide/3.2.1A1;	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533(r)/3.2.1A2(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R09533(r)/3.2.1A1(rev)/3.2.1.167;	ezetimib glucuronide/3.2.1A1(rev);	0.608234	1	1	0.948718	0.875	0.855556	0.757576	0.511628	0.309735
R08260/3.2.1A1/3.2.1.31;	ezetimib glucuronide/3.2.1A1;	0.608219	1	1	1	0.965517	0.862069	0.728682	0.515528	0.302632
R08260/3.2.1A2/3.2.1.31;	ezetimib glucuronide/3.2.1A1;	0.608219	1	1	1	0.965517	0.862069	0.728682	0.515528	0.302632
R08260(r)/3.2.1A1(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.608219	1	1	1	0.965517	0.862069	0.728682	0.515528	0.302632
R08260(r)/3.2.1A2(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.608219	1	1	1	0.965517	0.862069	0.728682	0.515528	0.302632
R08260(r)/3.2.1A1(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.584345	1	1	1	0.965517	0.840909	0.70229	0.487805	0.274678
R08260(r)/3.2.1A2(rev)/3.2.1.31;	ezetimib glucuronide/3.2.1A1(rev);	0.584345	1	1	1	0.965517	0.840909	0.70229	0.487805	0.274678
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A1(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604(r)/3.2.1A2(rev)/3.2.1.126;	ezetimib glucuronide/3.2.1A1(rev);	0.579023	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.294118
R03604/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A1/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R03604/3.2.1A2/3.2.1.126;	ezetimib glucuronide/3.2.1A1;	0.576758	1	1	0.853659	0.764706	0.763441	0.698413	0.476821	0.287234
R05133(r)/3.2.1A2(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133(r)/3.2.1A1(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133(r)/3.2.1A2(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133(r)/3.2.1A1(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133/3.2.1A2/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133/3.2.1A1/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133/3.2.1A2/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133/3.2.1A1/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133(r)/3.2.1A1(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05133(r)/3.2.1A2(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.574018	1	1	0.945946	0.896552	0.736264	0.627907	0.451389	0.289017
R05134(r)/3.2.1A2(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134/3.2.1A2/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134/3.2.1A1/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134/3.2.1A2/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134/3.2.1A1/3.2.1.86;	ezetimib glucuronide/3.2.1A1;	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134(r)/3.2.1A1(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134(r)/3.2.1A2(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
R05134(r)/3.2.1A1(rev)/3.2.1.86;	ezetimib glucuronide/3.2.1A1(rev);	0.560761	1	1	0.897436	0.8125	0.731183	0.632812	0.455782	0.274725
