reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.636461	0.764706	0.730769	0.75	0.818182	0.769231	0.70303	0.59009	0.513605
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.636461	0.764706	0.730769	0.75	0.818182	0.769231	0.70303	0.59009	0.513605
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.636461	0.764706	0.730769	0.75	0.818182	0.769231	0.70303	0.59009	0.513605
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.636461	0.764706	0.730769	0.75	0.818182	0.769231	0.70303	0.59009	0.513605
R08016(r)/1.7.1B2(rev)/;	flunitrazepam/1.7.1A2(rev);	0.631769	0.866667	0.95	0.942857	0.866667	0.764706	0.644172	0.535	0.5
R08016(r)/1.7.1B2(rev)/;	flunitrazepam/1.7.1A2(rev);	0.631769	0.866667	0.95	0.942857	0.866667	0.764706	0.644172	0.535	0.5
R08019(r)/1.7.1B2(rev)/;	flunitrazepam/1.7.1A2(rev);	0.623377	0.866667	0.95	0.942857	0.866667	0.76699	0.638554	0.521951	0.489712
R08019(r)/1.7.1B2(rev)/;	flunitrazepam/1.7.1A2(rev);	0.623377	0.866667	0.95	0.942857	0.866667	0.76699	0.638554	0.521951	0.489712
R08018(r)/1.7.1B1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.623377	0.866667	0.95	0.942857	0.866667	0.76699	0.638554	0.521951	0.489712
R08018(r)/1.7.1B1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.623377	0.866667	0.95	0.942857	0.866667	0.76699	0.638554	0.521951	0.489712
R08043(r)/1.7.1B1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.621176	0.866667	0.95	0.891892	0.8125	0.757282	0.644172	0.524272	0.495868
R08043(r)/1.7.1B1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.621176	0.866667	0.95	0.891892	0.84127	0.77451	0.644172	0.516908	0.489712
R00143/1.7.1B1(rev)/1.7.1.10,1.7.99.1;	flunitrazepam/1.7.1A2(rev);	0.585831	0.733333	0.65	0.628571	0.678571	0.659091	0.594203	0.546512	0.533333
R00796/1.7.1B4(rev)/1.7.1.2,1.7.1.3;	flunitrazepam/1.7.1A2(rev);	0.582773	0.666667	0.608696	0.605263	0.678571	0.659091	0.594203	0.546512	0.533333
R00794/1.7.1B3(rev)/1.7.1.1,1.7.1.2;	flunitrazepam/1.7.1A2(rev);	0.582773	0.666667	0.608696	0.605263	0.678571	0.659091	0.594203	0.546512	0.533333
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.550505	0.764706	0.730769	0.75	0.764706	0.703704	0.614943	0.483193	0.412698
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.550505	0.764706	0.730769	0.75	0.764706	0.703704	0.614943	0.483193	0.412698
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.547379	0.764706	0.730769	0.75	0.764706	0.703704	0.614943	0.476987	0.408228
R04046/1.7.1B1(rev)/1.7.1.12;	flunitrazepam/1.7.1A2(rev);	0.547379	0.764706	0.730769	0.75	0.764706	0.703704	0.614943	0.476987	0.408228
R09288(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.439127	0.583333	0.606061	0.603448	0.56701	0.52	0.451754	0.372263	0.35474
R09288(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.439127	0.583333	0.606061	0.603448	0.56701	0.52	0.451754	0.372263	0.35474
R08047(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.425296	0.583333	0.606061	0.583333	0.533981	0.496894	0.434426	0.367347	0.346821
R05711/1.7.1A2(rev)/1.7.1.6;	flunitrazepam/1.7.1A2(rev);	0.425136	0.461538	0.461538	0.463768	0.463636	0.46988	0.477551	0.41958	0.344828
R05711/1.7.1A2(rev)/1.7.1.6;	flunitrazepam/1.7.1A2(rev);	0.425136	0.461538	0.461538	0.463768	0.463636	0.46988	0.477551	0.41958	0.344828
R05711/1.7.1A2(rev)/1.7.1.6;	flunitrazepam/1.7.1A2(rev);	0.425136	0.461538	0.461538	0.463768	0.463636	0.46988	0.477551	0.41958	0.344828
R08047(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.424171	0.583333	0.606061	0.583333	0.533981	0.50625	0.434426	0.362712	0.342939
R08017(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.410687	0.583333	0.606061	0.603448	0.555556	0.496933	0.419608	0.339683	0.327824
R08017(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.410687	0.583333	0.606061	0.603448	0.555556	0.496933	0.419608	0.339683	0.327824
R08042(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.410374	0.583333	0.606061	0.583333	0.533981	0.484848	0.420635	0.346154	0.331492
R08042(r)/1.7.1A1(rev)/;	flunitrazepam/1.7.1A2(rev);	0.409299	0.583333	0.606061	0.583333	0.533981	0.493902	0.420635	0.341853	0.327824
R04228(r)/1.7.1A1(rev)/1.7.1.9;	flunitrazepam/1.7.1A2(rev);	0.384731	0.583333	0.606061	0.583333	0.533981	0.458333	0.376923	0.314465	0.310811
R04228(r)/1.7.1A1(rev)/1.7.1.9;	flunitrazepam/1.7.1A2(rev);	0.382661	0.583333	0.606061	0.583333	0.504762	0.432749	0.366412	0.326984	0.317935
R04228(r)/1.7.1A1(rev)/1.7.1.9;	flunitrazepam/1.7.1A2(rev);	0.37854	0.583333	0.606061	0.583333	0.504762	0.424419	0.356061	0.322785	0.317935
R04228(r)/1.7.1A1(rev)/1.7.1.9;	flunitrazepam/1.7.1A2(rev);	0.37854	0.583333	0.606061	0.583333	0.504762	0.424419	0.356061	0.322785	0.317935
R01134/1.7.1E1/1.7.1.7;	flunitrazepam/1.7.1A2(rev);	0.346635	0.545455	0.580645	0.45	0.392157	0.358025	0.347458	0.314381	0.306011
R09235(r)/1.7.1D1/;	flunitrazepam/1.7.1A2(rev);	0.331266	0.4375	0.454545	0.432099	0.40146	0.37799	0.344156	0.293151	0.270642
