reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R10134(r)/3.2.1A1(rev)/3.1.1.93;	indomethacin glucuronide/3.2.1A1(rev);	0.728489	1	1	1	0.961538	0.891892	0.822917	0.633028	0.409449
R10134(r)/3.2.1A2(rev)/3.1.1.93;	indomethacin glucuronide/3.2.1A1(rev);	0.728489	1	1	1	0.961538	0.891892	0.822917	0.633028	0.409449
R10134(r)/3.2.1A2(rev)/3.1.1.93;	indomethacin glucuronide/3.2.1A1(rev);	0.728489	1	1	1	0.961538	0.891892	0.822917	0.633028	0.409449
R10134(r)/3.2.1A1(rev)/3.1.1.93;	indomethacin glucuronide/3.2.1A1(rev);	0.728489	1	1	1	0.961538	0.891892	0.822917	0.633028	0.409449
R10134/3.1.1A1/3.1.1.93;	indomethacin glucuronide/3.1.1A1;	0.583794	1	1	0.92	0.85	0.757576	0.644231	0.503876	0.339869
R10134/3.1.1A1/3.1.1.93;	indomethacin glucuronide/3.1.1A1;	0.583794	1	1	0.92	0.85	0.757576	0.644231	0.503876	0.339869
R03617(r)/3.2.1A2(rev)/3.2.1.46,3.2.1.62;	indomethacin glucuronide/3.2.1A1(rev);	0.536155	1	0.888889	0.783784	0.741379	0.650602	0.596154	0.449153	0.255474
R03617(r)/3.2.1A1(rev)/3.2.1.46,3.2.1.62;	indomethacin glucuronide/3.2.1A1(rev);	0.536155	1	0.888889	0.783784	0.741379	0.650602	0.596154	0.449153	0.255474
R01498(r)/3.2.1A1(rev)/3.2.1.45,3.2.1.62;	indomethacin glucuronide/3.2.1A1(rev);	0.536155	1	0.888889	0.783784	0.741379	0.650602	0.596154	0.449153	0.255474
R01498(r)/3.2.1A2(rev)/3.2.1.45,3.2.1.62;	indomethacin glucuronide/3.2.1A1(rev);	0.536155	1	0.888889	0.783784	0.741379	0.650602	0.596154	0.449153	0.255474
