reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R10134(r)/3.2.1A2(rev)/3.1.1.93;	ketoprofen glucuronide/3.2.1A1(rev);	0.785263	1	1	0.945946	0.892857	0.876712	0.833333	0.75	0.515464
R10134(r)/3.2.1A1(rev)/3.1.1.93;	ketoprofen glucuronide/3.2.1A1(rev);	0.785263	1	1	0.945946	0.892857	0.876712	0.833333	0.75	0.515464
R10134(r)/3.2.1A2(rev)/3.1.1.93;	ketoprofen glucuronide/3.2.1A1(rev);	0.785263	1	1	0.945946	0.892857	0.876712	0.833333	0.75	0.515464
R10134(r)/3.2.1A1(rev)/3.1.1.93;	ketoprofen glucuronide/3.2.1A1(rev);	0.785263	1	1	0.945946	0.892857	0.876712	0.833333	0.75	0.515464
R10134/3.1.1A1/3.1.1.93;	ketoprofen glucuronide/3.1.1A1;	0.633401	1	0.875	0.793103	0.733333	0.738462	0.688172	0.605505	0.418033
R10134/3.1.1A1/3.1.1.93;	ketoprofen glucuronide/3.1.1A1;	0.633401	1	0.875	0.793103	0.733333	0.738462	0.688172	0.605505	0.418033
R10530(r)/3.2.1A2(rev)/3.2.1.186;	ketoprofen glucuronide/3.2.1A1(rev);	0.613226	1	0.888889	0.837838	0.803571	0.726027	0.638298	0.514563	0.339623
R10530(r)/3.2.1A1(rev)/3.2.1.186;	ketoprofen glucuronide/3.2.1A1(rev);	0.613226	1	0.888889	0.837838	0.803571	0.726027	0.638298	0.514563	0.339623
R03617(r)/3.2.1A1(rev)/3.2.1.46,3.2.1.62;	ketoprofen glucuronide/3.2.1A1(rev);	0.604331	1	0.888889	0.74359	0.721311	0.675	0.659574	0.54	0.346154
R03617(r)/3.2.1A2(rev)/3.2.1.46,3.2.1.62;	ketoprofen glucuronide/3.2.1A1(rev);	0.604331	1	0.888889	0.74359	0.721311	0.675	0.659574	0.54	0.346154
R01498(r)/3.2.1A2(rev)/3.2.1.45,3.2.1.62;	ketoprofen glucuronide/3.2.1A1(rev);	0.604331	1	0.888889	0.74359	0.721311	0.675	0.659574	0.54	0.346154
R01498(r)/3.2.1A1(rev)/3.2.1.45,3.2.1.62;	ketoprofen glucuronide/3.2.1A1(rev);	0.604331	1	0.888889	0.74359	0.721311	0.675	0.659574	0.54	0.346154
R01104(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.599581	1	0.888889	0.74359	0.711864	0.675676	0.640449	0.521277	0.336957
R01104(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.599581	1	0.888889	0.74359	0.711864	0.675676	0.640449	0.521277	0.336957
R02926(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.583004	1	0.888889	0.74359	0.745763	0.666667	0.597938	0.5	0.326733
R02926(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.583004	1	0.888889	0.74359	0.745763	0.666667	0.597938	0.5	0.326733
R02558(r)/3.2.1A2(rev)/3.2.1.118,3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.567857	1	0.8	0.681818	0.647059	0.639535	0.615385	0.504425	0.353982
