reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016(r)/1.7.1B2(rev)/;	nitrazepam/1.7.1A2(rev);	0.652174	0.866667	0.95	0.942857	0.866667	0.764706	0.660377	0.563158	0.526786
R08016(r)/1.7.1B2(rev)/;	nitrazepam/1.7.1A2(rev);	0.652174	0.866667	0.95	0.942857	0.866667	0.764706	0.660377	0.563158	0.526786
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.64918	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.610329	0.524648
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.64918	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.610329	0.524648
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.64918	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.610329	0.524648
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.64918	0.764706	0.730769	0.75	0.818182	0.769231	0.720497	0.610329	0.524648
R08019(r)/1.7.1B2(rev)/;	nitrazepam/1.7.1A2(rev);	0.643118	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.548718	0.515152
R08019(r)/1.7.1B2(rev)/;	nitrazepam/1.7.1A2(rev);	0.643118	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.548718	0.515152
R08018(r)/1.7.1B1(rev)/;	nitrazepam/1.7.1A2(rev);	0.643118	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.548718	0.515152
R08018(r)/1.7.1B1(rev)/;	nitrazepam/1.7.1A2(rev);	0.643118	0.866667	0.95	0.942857	0.866667	0.76699	0.654321	0.548718	0.515152
R08043(r)/1.7.1B1(rev)/;	nitrazepam/1.7.1A2(rev);	0.640777	0.866667	0.95	0.891892	0.8125	0.757282	0.660377	0.55102	0.521739
R08043(r)/1.7.1B1(rev)/;	nitrazepam/1.7.1A2(rev);	0.640777	0.866667	0.95	0.891892	0.84127	0.77451	0.660377	0.543147	0.515152
R00143/1.7.1B1(rev)/1.7.1.10,1.7.99.1;	nitrazepam/1.7.1A2(rev);	0.607345	0.733333	0.65	0.628571	0.678571	0.659091	0.61194	0.580247	0.565657
R00794/1.7.1B3(rev)/1.7.1.1,1.7.1.2;	nitrazepam/1.7.1A2(rev);	0.603905	0.666667	0.608696	0.605263	0.678571	0.659091	0.61194	0.580247	0.565657
R00796/1.7.1B4(rev)/1.7.1.2,1.7.1.3;	nitrazepam/1.7.1A2(rev);	0.603905	0.666667	0.608696	0.605263	0.678571	0.659091	0.61194	0.580247	0.565657
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.560496	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.497817	0.424342
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.560496	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.497817	0.424342
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.557276	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.491304	0.419672
R04046/1.7.1B1(rev)/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.557276	0.764706	0.730769	0.75	0.764706	0.703704	0.619883	0.491304	0.419672
R09288(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.448927	0.583333	0.606061	0.603448	0.56701	0.52	0.459821	0.386364	0.368254
R09288(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.448927	0.583333	0.606061	0.603448	0.56701	0.52	0.459821	0.386364	0.368254
R08047(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.434221	0.583333	0.606061	0.583333	0.533981	0.496894	0.441667	0.380282	0.359281
R08047(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.433065	0.583333	0.606061	0.583333	0.533981	0.50625	0.441667	0.375439	0.355224
R08017(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.419003	0.583333	0.606061	0.603448	0.555556	0.496933	0.426295	0.35082	0.339031
R08017(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.419003	0.583333	0.606061	0.603448	0.555556	0.496933	0.426295	0.35082	0.339031
R08042(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.418677	0.583333	0.606061	0.583333	0.533981	0.484848	0.427419	0.357616	0.342857
R08042(r)/1.7.1A1(rev)/;	nitrazepam/1.7.1A2(rev);	0.417574	0.583333	0.606061	0.583333	0.533981	0.493902	0.427419	0.353135	0.339031
R05711/1.7.1A2(rev)/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.41595	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.394366	0.341176
R05711/1.7.1A2(rev)/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.41595	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.394366	0.341176
R05711/1.7.1A2(rev)/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.41595	0.461538	0.461538	0.463768	0.463636	0.46988	0.461224	0.394366	0.341176
R04228(r)/1.7.1A1(rev)/1.7.1.9;	nitrazepam/1.7.1A2(rev);	0.392366	0.583333	0.606061	0.583333	0.533981	0.458333	0.382812	0.324675	0.321229
R04228(r)/1.7.1A1(rev)/1.7.1.9;	nitrazepam/1.7.1A2(rev);	0.390244	0.583333	0.606061	0.583333	0.504762	0.432749	0.372093	0.337705	0.328652
R04228(r)/1.7.1A1(rev)/1.7.1.9;	nitrazepam/1.7.1A2(rev);	0.386018	0.583333	0.606061	0.583333	0.504762	0.424419	0.361538	0.333333	0.328652
R04228(r)/1.7.1A1(rev)/1.7.1.9;	nitrazepam/1.7.1A2(rev);	0.386018	0.583333	0.606061	0.583333	0.504762	0.424419	0.361538	0.333333	0.328652
R01134/1.7.1E1/1.7.1.7;	nitrazepam/1.7.1A2(rev);	0.353834	0.545455	0.580645	0.45	0.392157	0.358025	0.353448	0.32526	0.316384
R09235(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.336696	0.4375	0.454545	0.432099	0.40146	0.37799	0.348684	0.301408	0.278302
R09230(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.336272	0.4375	0.454545	0.432099	0.40146	0.381643	0.348684	0.29805	0.278302
R09235(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.335854	0.4375	0.454545	0.443038	0.413534	0.380952	0.348534	0.297753	0.2723
R09230(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.335431	0.4375	0.454545	0.443038	0.413534	0.384615	0.348534	0.294444	0.2723
R09232(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.330456	0.4375	0.454545	0.443038	0.413534	0.377358	0.339683	0.284946	0.273563
R09231(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.330049	0.4375	0.454545	0.432099	0.40146	0.370892	0.339744	0.28841	0.276498
R09232(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.329636	0.4375	0.454545	0.443038	0.413534	0.377358	0.339683	0.284946	0.270642
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.329515	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.299242	0.244253
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.329515	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.299242	0.244253
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.329515	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.299242	0.244253
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.329515	0.764706	0.607143	0.480769	0.445783	0.362963	0.331731	0.299242	0.244253
R09231(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.328413	0.4375	0.454545	0.432099	0.40146	0.377358	0.339744	0.284946	0.270642
R08046(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326853	0.4375	0.454545	0.443038	0.407407	0.373272	0.333333	0.285333	0.268623
R08046(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326853	0.4375	0.454545	0.443038	0.407407	0.373272	0.333333	0.285333	0.268623
R08045(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326456	0.4375	0.454545	0.443038	0.407407	0.376744	0.333333	0.282322	0.268623
R08045(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326456	0.4375	0.454545	0.443038	0.407407	0.376744	0.333333	0.282322	0.268623
R08044(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326061	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.285714	0.271493
R08044(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326061	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.285714	0.271493
R08044(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326061	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.285714	0.271493
R08044(r)/1.7.1D1/;	nitrazepam/1.7.1A2(rev);	0.326061	0.4375	0.454545	0.432099	0.395683	0.37037	0.333333	0.285714	0.271493
R08016/1.7.1B2/;	nitrazepam/1.7.1A2(rev);	0.305201	0.866667	0.695652	0.545455	0.435897	0.343284	0.294118	0.247899	0.208481
R08016/1.7.1B2/;	nitrazepam/1.7.1A2(rev);	0.305201	0.866667	0.695652	0.545455	0.435897	0.343284	0.294118	0.247899	0.208481
R08043/1.7.1B1/;	nitrazepam/1.7.1A2(rev);	0.303761	0.866667	0.695652	0.521739	0.414634	0.350746	0.294118	0.245902	0.211073
R08043/1.7.1B1/;	nitrazepam/1.7.1A2(rev);	0.303761	0.866667	0.695652	0.555556	0.432099	0.350746	0.294118	0.240816	0.206897
R08019/1.7.1B2/;	nitrazepam/1.7.1A2(rev);	0.303382	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.242798	0.206897
R08018/1.7.1B1/;	nitrazepam/1.7.1A2(rev);	0.303382	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.242798	0.206897
R08018/1.7.1B1/;	nitrazepam/1.7.1A2(rev);	0.303382	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.242798	0.206897
R08019/1.7.1B2/;	nitrazepam/1.7.1A2(rev);	0.303382	0.866667	0.695652	0.545455	0.435897	0.348148	0.294686	0.242798	0.206897
R00787/1.7.1C1/1.7.1.15,1.7.1.4;	nitrazepam/1.7.1A2(rev);	0.291451	0.466667	0.45	0.39726	0.307692	0.29703	0.279461	0.268571	0.265403
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.272344	0.764706	0.607143	0.480769	0.411765	0.323741	0.270642	0.220641	0.18306
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.272344	0.764706	0.607143	0.480769	0.411765	0.323741	0.270642	0.220641	0.18306
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.270202	0.764706	0.607143	0.480769	0.411765	0.323741	0.270642	0.216312	0.179837
R04046(r)/1.7.1B1/1.7.1.12;	nitrazepam/1.7.1A2(rev);	0.270202	0.764706	0.607143	0.480769	0.411765	0.323741	0.270642	0.216312	0.179837
R08047/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261702	0.583333	0.514286	0.41791	0.338983	0.292553	0.253623	0.225	0.188482
R08047/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261702	0.583333	0.514286	0.41791	0.338983	0.292553	0.253623	0.225	0.188482
R09288/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261584	0.583333	0.514286	0.430769	0.357143	0.295455	0.257692	0.211921	0.184066
R09288/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261584	0.583333	0.514286	0.430769	0.357143	0.295455	0.257692	0.211921	0.184066
R08047/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261178	0.583333	0.514286	0.41791	0.338983	0.28877	0.253623	0.225	0.188482
R08047/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.261178	0.583333	0.514286	0.41791	0.338983	0.28877	0.253623	0.225	0.188482
R08042/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.25551	0.583333	0.514286	0.41791	0.338983	0.289474	0.250883	0.213018	0.183879
R08017/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.255334	0.583333	0.514286	0.41791	0.338983	0.287958	0.250883	0.213018	0.183879
R08042/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.255158	0.583333	0.514286	0.41791	0.338983	0.286458	0.250883	0.213018	0.183879
R05711(r)/1.7.1A2/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.255024	0.461538	0.425	0.364865	0.308943	0.277487	0.274021	0.233645	0.178295
R05711(r)/1.7.1A2/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.255024	0.461538	0.425	0.364865	0.308943	0.277487	0.274021	0.233645	0.178295
R05711(r)/1.7.1A2/1.7.1.6;	nitrazepam/1.7.1A2(rev);	0.255024	0.461538	0.425	0.364865	0.308943	0.277487	0.274021	0.233645	0.178295
R08017/1.7.1A1/;	nitrazepam/1.7.1A2(rev);	0.254821	0.583333	0.514286	0.430769	0.350877	0.291005	0.251748	0.208211	0.180905
