reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016/1.7.1B2/;	olsalazine/1.7.1A2;	0.571109	0.666667	0.692308	0.711111	0.693333	0.578947	0.536082	0.52551	0.543689
R08016/1.7.1B2/;	olsalazine/1.7.1A2;	0.571109	0.666667	0.692308	0.711111	0.693333	0.578947	0.536082	0.52551	0.543689
R08016(r)/1.7.1B2(rev)/;	olsalazine/1.7.1A2(rev);	0.571109	0.666667	0.692308	0.711111	0.693333	0.578947	0.536082	0.52551	0.543689
R08016(r)/1.7.1B2(rev)/;	olsalazine/1.7.1A2(rev);	0.571109	0.666667	0.692308	0.711111	0.693333	0.578947	0.536082	0.52551	0.543689
R08043(r)/1.7.1B1(rev)/;	olsalazine/1.7.1A2(rev);	0.560789	0.666667	0.692308	0.755556	0.723684	0.562963	0.520408	0.507389	0.523364
R08043/1.7.1B1/;	olsalazine/1.7.1A2;	0.560789	0.666667	0.692308	0.755556	0.723684	0.562963	0.520408	0.507389	0.523364
R08018(r)/1.7.1B1(rev)/;	olsalazine/1.7.1A2(rev);	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08018(r)/1.7.1B1(rev)/;	olsalazine/1.7.1A2(rev);	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08019/1.7.1B2/;	olsalazine/1.7.1A2;	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08019/1.7.1B2/;	olsalazine/1.7.1A2;	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08018/1.7.1B1/;	olsalazine/1.7.1A2;	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08018/1.7.1B1/;	olsalazine/1.7.1A2;	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08019(r)/1.7.1B2(rev)/;	olsalazine/1.7.1A2(rev);	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08019(r)/1.7.1B2(rev)/;	olsalazine/1.7.1A2(rev);	0.559211	0.666667	0.692308	0.711111	0.693333	0.57037	0.525253	0.512438	0.523364
R08043(r)/1.7.1B1(rev)/;	olsalazine/1.7.1A2(rev);	0.550599	0.666667	0.692308	0.680851	0.679487	0.551471	0.51269	0.507389	0.523364
R08043/1.7.1B1/;	olsalazine/1.7.1A2;	0.550599	0.666667	0.692308	0.680851	0.679487	0.551471	0.51269	0.507389	0.523364
R00143/1.7.1B1(rev)/1.7.1.10,1.7.99.1;	olsalazine/1.7.1A2(rev);	0.546616	0.555556	0.461538	0.5	0.535211	0.491525	0.488095	0.573171	0.643678
R00143(r)/1.7.1B1/1.7.1.10,1.7.99.1;	olsalazine/1.7.1A2;	0.546616	0.555556	0.461538	0.5	0.535211	0.491525	0.488095	0.573171	0.643678
R00794/1.7.1B3(rev)/1.7.1.1,1.7.1.2;	olsalazine/1.7.1A2(rev);	0.538365	0.454545	0.4	0.458333	0.535211	0.491525	0.488095	0.573171	0.643678
R00794(r)/1.7.1B3/1.7.1.1,1.7.1.2;	olsalazine/1.7.1A2;	0.538365	0.454545	0.4	0.458333	0.535211	0.491525	0.488095	0.573171	0.643678
R00796/1.7.1B4(rev)/1.7.1.2,1.7.1.3;	olsalazine/1.7.1A2(rev);	0.538365	0.454545	0.4	0.458333	0.535211	0.491525	0.488095	0.573171	0.643678
R00796(r)/1.7.1B4/1.7.1.2,1.7.1.3;	olsalazine/1.7.1A2;	0.538365	0.454545	0.4	0.458333	0.535211	0.491525	0.488095	0.573171	0.643678
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.503802	0.777778	0.785714	0.653846	0.626506	0.585185	0.539604	0.455696	0.377104
R05711/1.7.1A2(rev)/1.7.1.6;	olsalazine/1.7.1A2(rev);	0.498807	0.666667	0.675676	0.666667	0.64486	0.539326	0.473684	0.426523	0.44
R05711/1.7.1A2(rev)/1.7.1.6;	olsalazine/1.7.1A2(rev);	0.498807	0.666667	0.675676	0.666667	0.64486	0.539326	0.473684	0.426523	0.44
R05711(r)/1.7.1A2/1.7.1.6;	olsalazine/1.7.1A2;	0.498807	0.666667	0.675676	0.666667	0.62963	0.539326	0.479245	0.426523	0.44
R05711(r)/1.7.1A2/1.7.1.6;	olsalazine/1.7.1A2;	0.498807	0.666667	0.675676	0.666667	0.62963	0.539326	0.479245	0.426523	0.44
R05711(r)/1.7.1A2/1.7.1.6;	olsalazine/1.7.1A2;	0.498807	0.666667	0.675676	0.666667	0.62963	0.539326	0.479245	0.426523	0.44
R05711/1.7.1A2(rev)/1.7.1.6;	olsalazine/1.7.1A2(rev);	0.498807	0.666667	0.675676	0.666667	0.64486	0.539326	0.473684	0.426523	0.44
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046/1.7.1B1(rev)/1.7.1.12;	olsalazine/1.7.1A2(rev);	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R04046(r)/1.7.1B1/1.7.1.12;	olsalazine/1.7.1A2;	0.498106	0.777778	0.785714	0.653846	0.626506	0.597015	0.53202	0.431535	0.377104
R09288/1.7.1A1/;	olsalazine/1.7.1A2;	0.421308	0.666667	0.657143	0.59375	0.477876	0.425414	0.393822	0.373134	0.379661
