reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016/1.7.1B2/;	prontosil/1.7.1A2;	0.599765	0.666667	0.692308	0.680851	0.684211	0.628099	0.592179	0.530928	0.586387
R08016/1.7.1B2/;	prontosil/1.7.1A2;	0.599765	0.666667	0.692308	0.680851	0.684211	0.628099	0.592179	0.530928	0.586387
R08043/1.7.1B1/;	prontosil/1.7.1A2;	0.593786	0.666667	0.692308	0.723404	0.736842	0.622951	0.583333	0.512438	0.562814
R08018/1.7.1B1/;	prontosil/1.7.1A2;	0.586682	0.666667	0.692308	0.680851	0.684211	0.617886	0.579235	0.517588	0.562814
R08018/1.7.1B1/;	prontosil/1.7.1A2;	0.586682	0.666667	0.692308	0.680851	0.684211	0.617886	0.579235	0.517588	0.562814
R08019/1.7.1B2/;	prontosil/1.7.1A2;	0.586682	0.666667	0.692308	0.680851	0.684211	0.617886	0.579235	0.517588	0.562814
R08019/1.7.1B2/;	prontosil/1.7.1A2;	0.586682	0.666667	0.692308	0.680851	0.684211	0.617886	0.579235	0.517588	0.562814
R00143(r)/1.7.1B1/1.7.1.10,1.7.99.1;	prontosil/1.7.1A2;	0.576043	0.555556	0.461538	0.478261	0.527778	0.552381	0.529032	0.580247	0.704403
R08043/1.7.1B1/;	prontosil/1.7.1A2;	0.573864	0.666667	0.692308	0.653061	0.65	0.596774	0.557377	0.512438	0.562814
R00794(r)/1.7.1B3/1.7.1.1,1.7.1.2;	prontosil/1.7.1A2;	0.566887	0.454545	0.4	0.44	0.527778	0.552381	0.529032	0.580247	0.704403
R00796(r)/1.7.1B4/1.7.1.2,1.7.1.3;	prontosil/1.7.1A2;	0.566887	0.454545	0.4	0.44	0.527778	0.552381	0.529032	0.580247	0.704403
R05711(r)/1.7.1A2/1.7.1.6;	prontosil/1.7.1A2;	0.536667	0.666667	0.675676	0.671642	0.623853	0.611111	0.54065	0.455882	0.473498
R05711(r)/1.7.1A2/1.7.1.6;	prontosil/1.7.1A2;	0.536667	0.666667	0.675676	0.671642	0.623853	0.611111	0.54065	0.455882	0.473498
R05711(r)/1.7.1A2/1.7.1.6;	prontosil/1.7.1A2;	0.536667	0.666667	0.675676	0.671642	0.623853	0.611111	0.54065	0.455882	0.473498
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.505859	0.777778	0.785714	0.62963	0.619048	0.634146	0.552083	0.411523	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.505859	0.777778	0.785714	0.62963	0.619048	0.634146	0.552083	0.411523	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.505859	0.777778	0.785714	0.62963	0.619048	0.634146	0.552083	0.411523	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.505859	0.777778	0.785714	0.62963	0.619048	0.634146	0.552083	0.411523	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.5	0.777778	0.785714	0.62963	0.581395	0.582677	0.552083	0.423237	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.5	0.777778	0.785714	0.62963	0.581395	0.582677	0.552083	0.423237	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.5	0.777778	0.785714	0.62963	0.581395	0.582677	0.552083	0.423237	0.397163
R04046(r)/1.7.1B1/1.7.1.12;	prontosil/1.7.1A2;	0.5	0.777778	0.785714	0.62963	0.581395	0.582677	0.552083	0.423237	0.397163
R09288/1.7.1A1/;	prontosil/1.7.1A2;	0.425849	0.666667	0.657143	0.575758	0.473684	0.432749	0.39759	0.365672	0.4
R09288/1.7.1A1/;	prontosil/1.7.1A2;	0.425849	0.666667	0.657143	0.575758	0.473684	0.432749	0.39759	0.365672	0.4
R08047/1.7.1A1/;	prontosil/1.7.1A2;	0.418495	0.666667	0.657143	0.58209	0.5	0.433333	0.400763	0.356401	0.369637
R08047/1.7.1A1/;	prontosil/1.7.1A2;	0.418495	0.666667	0.657143	0.58209	0.5	0.433333	0.400763	0.356401	0.369637
R08047/1.7.1A1/;	prontosil/1.7.1A2;	0.41784	0.666667	0.657143	0.58209	0.5	0.428571	0.400763	0.356401	0.369637
R08047/1.7.1A1/;	prontosil/1.7.1A2;	0.41784	0.666667	0.657143	0.58209	0.5	0.428571	0.400763	0.356401	0.369637
R08042/1.7.1A1/;	prontosil/1.7.1A2;	0.403933	0.666667	0.657143	0.58209	0.5	0.423913	0.388889	0.335505	0.351097
R08017/1.7.1A1/;	prontosil/1.7.1A2;	0.403628	0.666667	0.657143	0.58209	0.5	0.421622	0.388889	0.335505	0.351097
R08042/1.7.1A1/;	prontosil/1.7.1A2;	0.403323	0.666667	0.657143	0.58209	0.5	0.419355	0.388889	0.335505	0.351097
R08017/1.7.1A1/;	prontosil/1.7.1A2;	0.401057	0.666667	0.657143	0.575758	0.478261	0.42623	0.388278	0.333333	0.351097
R08042/1.7.1A1/;	prontosil/1.7.1A2;	0.400755	0.666667	0.657143	0.575758	0.478261	0.428571	0.388278	0.33119	0.351097
R08042/1.7.1A1/;	prontosil/1.7.1A2;	0.400151	0.666667	0.657143	0.575758	0.478261	0.423913	0.388278	0.33119	0.351097
R01134(r)/1.7.1E1(rev)/1.7.1.7;	prontosil/1.7.1A2;	0.359559	0.8	0.588235	0.462687	0.385965	0.324022	0.324111	0.32526	0.355556
R09235/1.7.1D1(rev)/;	prontosil/1.7.1A2;	0.329012	0.5	0.5	0.45977	0.386667	0.349558	0.318043	0.279778	0.286445
