reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R01570/2.4.2A1/2.4.2.2,2.4.2.4;	sorivudine/2.4.2C1;	0.180867	0.526316	0.357143	0.326531	0.271429	0.194444	0.156716	0.109489	0.0725806
R02484/2.4.2A1/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	sorivudine/2.4.2C1;	0.166154	0.526316	0.357143	0.326531	0.242857	0.192308	0.132812	0.0902256	0.0504202
R01876/2.4.2A1/2.4.2.2,2.4.2.3;	sorivudine/2.4.2C1;	0.159884	0.526316	0.357143	0.34	0.246575	0.18018	0.121429	0.0851064	0.047619
R08230(r)/2.4.2A1/2.4.2.4;	sorivudine/2.4.2C1;	0.158358	0.526316	0.357143	0.326531	0.236111	0.183486	0.123188	0.0857143	0.0472441
R08229(r)/2.4.2A1/2.4.2.3;	sorivudine/2.4.2C1;	0.152566	0.526316	0.357143	0.34	0.24	0.172414	0.113333	0.0805369	0.0447761
R08222/2.4.2A1/2.4.2.4;	sorivudine/2.4.2C1;	0.151297	0.526316	0.357143	0.34	0.22973	0.165217	0.110345	0.0791367	0.0403226
R10838/2.4.2A1/2.4.2.57;	sorivudine/2.4.2C1;	0.14885	0.526316	0.357143	0.34	0.246575	0.176991	0.114865	0.0784314	0.0387097
R02646/2.4.2A1/2.4.2.16;	sorivudine/2.4.2C1;	0.144144	0.526316	0.357143	0.352941	0.25641	0.179688	0.112994	0.079602	0.0533981
R01570(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.4;	sorivudine/2.4.2C1;	0.135766	0.526316	0.44	0.3	0.242857	0.149533	0.108696	0.0555556	0.00757576
R00966/2.4.2B1/2.4.2.9;	sorivudine/2.4.2C1;	0.13431	0.526316	0.277778	0.265625	0.211765	0.151515	0.111111	0.0740741	0.0357143
R09675(r)/2.4.2C1(rev)/2.4.2.52;	sorivudine/2.4.2C1;	0.131339	0.611111	0.466667	0.338462	0.256198	0.17734	0.129032	0.0826446	0.0479303
R02296/2.4.2A1/2.4.2.2;	sorivudine/2.4.2C1;	0.128713	0.526316	0.357143	0.34	0.22973	0.12931	0.0680272	0.0479452	0.0393701
R01870/2.4.2B1/2.4.2.10;	sorivudine/2.4.2C1;	0.127292	0.526316	0.314286	0.26087	0.2	0.135135	0.100559	0.0752688	0.0408163
R09675/2.4.2C1/2.4.2.52;	sorivudine/2.4.2C1;	0.127044	0.611111	0.4375	0.309859	0.246154	0.169014	0.118243	0.0813008	0.0477223
R09675(r)/2.4.2C1(rev)/2.4.2.52;	sorivudine/2.4.2C1;	0.127044	0.611111	0.4375	0.309859	0.246154	0.169014	0.118243	0.0813008	0.0477223
R02484(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	sorivudine/2.4.2C1;	0.124629	0.526316	0.407407	0.27451	0.208333	0.148148	0.0902256	0.0431655	0
R08230/2.4.2A1(rev)/2.4.2.4;	sorivudine/2.4.2C1;	0.124277	0.526316	0.44	0.3	0.225352	0.149533	0.0851064	0.0410959	0
R08222(r)/2.4.2A1(rev)/2.4.2.4;	sorivudine/2.4.2C1;	0.122682	0.526316	0.44	0.313725	0.219178	0.132743	0.0816327	0.0416667	0
R01876(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.3;	sorivudine/2.4.2C1;	0.120787	0.526316	0.407407	0.288462	0.213333	0.13913	0.0827586	0.0408163	0
R08229/2.4.2A1(rev)/2.4.2.3;	sorivudine/2.4.2C1;	0.120383	0.526316	0.44	0.313725	0.22973	0.140351	0.0784314	0.0387097	0
R10837/2.4.2A1/2.4.2.57;	sorivudine/2.4.2C1;	0.120053	0.526316	0.357143	0.34	0.22973	0.127119	0.0645161	0.0443038	0.0320513
R10838(r)/2.4.2A1(rev)/2.4.2.57;	sorivudine/2.4.2C1;	0.112713	0.526316	0.407407	0.288462	0.213333	0.136752	0.0784314	0.0377358	0
R00966(r)/2.4.2B1(rev)/2.4.2.9;	sorivudine/2.4.2C1;	0.102017	0.526316	0.314286	0.227273	0.183908	0.117647	0.0759494	0.0357143	0
R02296(r)/2.4.2A1(rev)/2.4.2.2;	sorivudine/2.4.2C1;	0.0961538	0.526316	0.407407	0.288462	0.213333	0.10084	0.0328947	0.00657895	0
R02646(r)/2.4.2A1(rev)/2.4.2.16;	sorivudine/2.4.2C1;	0.0943005	0.526316	0.407407	0.280702	0.2	0.107383	0.0725389	0.0276498	0
R01870(r)/2.4.2B1(rev)/2.4.2.10;	sorivudine/2.4.2C1;	0.0930962	0.526316	0.352941	0.225352	0.175258	0.105263	0.0648649	0.0309278	0
R10837(r)/2.4.2A1(rev)/2.4.2.57;	sorivudine/2.4.2C1;	0.0898588	0.526316	0.407407	0.288462	0.213333	0.0991736	0.03125	0.00609756	0
R04346/2.4.2B1/2.4.2.20;	sorivudine/2.4.2C1;	0.0789779	0.526316	0.277778	0.227273	0.157303	0.0704225	0.0429448	0.0116279	0
