reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R08016/1.7.1B2/;	sulfasalazine/1.7.1A2;	0.561674	0.666667	0.692308	0.711111	0.712329	0.616	0.53886	0.497585	0.506787
R08016/1.7.1B2/;	sulfasalazine/1.7.1A2;	0.561674	0.666667	0.692308	0.711111	0.712329	0.616	0.53886	0.497585	0.506787
R08043/1.7.1B1/;	sulfasalazine/1.7.1A2;	0.551724	0.666667	0.692308	0.755556	0.743243	0.598425	0.523077	0.481308	0.489083
R08018/1.7.1B1/;	sulfasalazine/1.7.1A2;	0.550162	0.666667	0.692308	0.711111	0.712329	0.606299	0.527919	0.485849	0.489083
R08018/1.7.1B1/;	sulfasalazine/1.7.1A2;	0.550162	0.666667	0.692308	0.711111	0.712329	0.606299	0.527919	0.485849	0.489083
R08019/1.7.1B2/;	sulfasalazine/1.7.1A2;	0.550162	0.666667	0.692308	0.711111	0.712329	0.606299	0.527919	0.485849	0.489083
R08019/1.7.1B2/;	sulfasalazine/1.7.1A2;	0.550162	0.666667	0.692308	0.711111	0.712329	0.606299	0.527919	0.485849	0.489083
R08043/1.7.1B1/;	sulfasalazine/1.7.1A2;	0.541756	0.666667	0.692308	0.680851	0.697368	0.585938	0.515306	0.481308	0.489083
R00143(r)/1.7.1B1/1.7.1.10,1.7.99.1;	sulfasalazine/1.7.1A2;	0.536341	0.555556	0.461538	0.5	0.550725	0.527273	0.491018	0.537143	0.592593
R00794(r)/1.7.1B3/1.7.1.1,1.7.1.2;	sulfasalazine/1.7.1A2;	0.528395	0.454545	0.4	0.458333	0.550725	0.527273	0.491018	0.537143	0.592593
R00796(r)/1.7.1B4/1.7.1.2,1.7.1.3;	sulfasalazine/1.7.1A2;	0.528395	0.454545	0.4	0.458333	0.550725	0.527273	0.491018	0.537143	0.592593
R05711(r)/1.7.1A2/1.7.1.6;	sulfasalazine/1.7.1A2;	0.492925	0.666667	0.675676	0.666667	0.641509	0.564706	0.481061	0.410345	0.419048
R05711(r)/1.7.1A2/1.7.1.6;	sulfasalazine/1.7.1A2;	0.492925	0.666667	0.675676	0.666667	0.641509	0.564706	0.481061	0.410345	0.419048
R05711(r)/1.7.1A2/1.7.1.6;	sulfasalazine/1.7.1A2;	0.492925	0.666667	0.675676	0.666667	0.641509	0.564706	0.481061	0.410345	0.419048
