reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02484(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	trifluridine/2.4.2A1(rev);	0.795276	1	1	1	0.961538	0.864198	0.747475	0.657407	0.658824
R01876(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.3;	trifluridine/2.4.2A1(rev);	0.737226	1	1	0.953488	0.892857	0.795455	0.666667	0.612069	0.608696
R10838(r)/2.4.2A1(rev)/2.4.2.57;	trifluridine/2.4.2A1(rev);	0.674457	1	1	0.953488	0.892857	0.777778	0.621849	0.554688	0.46281
R01570(r)/2.4.2A1(rev)/2.4.2.2,2.4.2.4;	trifluridine/2.4.2A1(rev);	0.670251	1	0.769231	0.708333	0.645161	0.648352	0.616071	0.617391	0.732558
R08230/2.4.2A1(rev)/2.4.2.4;	trifluridine/2.4.2A1(rev);	0.612457	1	0.769231	0.708333	0.619048	0.612903	0.547009	0.55	0.602151
R08229/2.4.2A1(rev)/2.4.2.3;	trifluridine/2.4.2A1(rev);	0.57189	1	0.769231	0.68	0.58209	0.57	0.496124	0.511628	0.56
R08222(r)/2.4.2A1(rev)/2.4.2.4;	trifluridine/2.4.2A1(rev);	0.532573	1	0.769231	0.68	0.575758	0.565657	0.460938	0.448819	0.45
R02296(r)/2.4.2A1(rev)/2.4.2.2;	trifluridine/2.4.2A1(rev);	0.5232	1	1	0.866667	0.65625	0.533981	0.423077	0.395522	0.383178
R00966(r)/2.4.2B1(rev)/2.4.2.9;	trifluridine/2.4.2A1(rev);	0.516807	0.8	0.69697	0.606557	0.685714	0.584071	0.546875	0.434483	0.319444
R01870/2.4.2B1/2.4.2.10;	trifluridine/2.4.2A1;	0.489281	0.8	0.636364	0.529412	0.564706	0.536585	0.517483	0.452229	0.341463
R10837(r)/2.4.2A1(rev)/2.4.2.57;	trifluridine/2.4.2A1(rev);	0.483728	1	1	0.866667	0.65625	0.52381	0.398551	0.363014	0.301471
R02646(r)/2.4.2A1(rev)/2.4.2.16;	trifluridine/2.4.2A1(rev);	0.443914	1	0.846154	0.698113	0.556962	0.454545	0.407186	0.352632	0.323699
R02484/2.4.2A1/2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4;	trifluridine/2.4.2A1;	0.425837	1	0.769231	0.708333	0.514286	0.510417	0.434783	0.300752	0.165289
R02294/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.423135	1	0.833333	0.708333	0.535211	0.455446	0.333333	0.297872	0.295082
R01570/2.4.2A1/2.4.2.2,2.4.2.4;	trifluridine/2.4.2A1;	0.422427	1	0.769231	0.708333	0.521127	0.5	0.434426	0.304348	0.164062
R08230(r)/2.4.2A1/2.4.2.4;	trifluridine/2.4.2A1;	0.405159	1	0.769231	0.708333	0.5	0.485149	0.4	0.285714	0.155039
R02748/2.4.2A1/2.4.2.1,2.4.2.4;	trifluridine/2.4.2A1;	0.40213	1	0.916667	0.72	0.552632	0.447368	0.363636	0.277108	0.21875
R01876/2.4.2A1/2.4.2.2,2.4.2.3;	trifluridine/2.4.2A1;	0.4003	1	0.769231	0.68	0.486486	0.475728	0.393701	0.283688	0.15625
R02748(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.4;	trifluridine/2.4.2A1(rev);	0.392718	1	0.846154	0.653846	0.5	0.401639	0.335526	0.297619	0.258065
R01969/2.4.2A1/2.4.2.1,2.4.2.4;	trifluridine/2.4.2A1;	0.383544	1	0.916667	0.72	0.538462	0.432203	0.350993	0.255556	0.204678
R08229(r)/2.4.2A1/2.4.2.3;	trifluridine/2.4.2A1;	0.381429	1	0.769231	0.68	0.473684	0.453704	0.364964	0.268456	0.147059
R01863/2.4.2A1/2.4.2.1,2.4.2.15;	trifluridine/2.4.2A1;	0.379874	1	0.916667	0.692308	0.525	0.421488	0.335484	0.261364	0.207101
R01969(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.4;	trifluridine/2.4.2A1(rev);	0.375	1	0.846154	0.653846	0.487179	0.388889	0.325	0.274725	0.240964
R04346(r)/2.4.2B1(rev)/2.4.2.20;	trifluridine/2.4.2A1(rev);	0.372624	0.8	0.69697	0.555556	0.573333	0.420635	0.356164	0.253012	0.1875
R10838/2.4.2A1/2.4.2.57;	trifluridine/2.4.2A1;	0.371866	1	0.769231	0.68	0.486486	0.466667	0.37037	0.261438	0.127389
R01863(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.15;	trifluridine/2.4.2A1(rev);	0.371464	1	0.846154	0.62963	0.475	0.379845	0.310976	0.280899	0.243902
R02557(r)/2.4.2A1(rev)/2.4.2.1;	trifluridine/2.4.2A1(rev);	0.371319	1	0.846154	0.653846	0.5	0.379032	0.309677	0.274854	0.226415
R02557/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.369311	1	0.916667	0.72	0.512821	0.398305	0.317568	0.254438	0.189024
R01870(r)/2.4.2B1(rev)/2.4.2.10;	trifluridine/2.4.2A1(rev);	0.365604	0.8	0.513514	0.405405	0.417582	0.382979	0.363636	0.329545	0.264368
R02296/2.4.2A1/2.4.2.2;	trifluridine/2.4.2A1;	0.365497	1	0.769231	0.68	0.466667	0.407407	0.320896	0.248276	0.15625
R02147/2.4.2A1/2.4.2.1,2.4.2.15;	trifluridine/2.4.2A1;	0.362874	1	0.916667	0.692308	0.512195	0.408	0.325153	0.242105	0.19337
R02294/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.359012	1	0.833333	0.666667	0.438356	0.37963	0.285714	0.244898	0.215385
R04378/2.4.2B1/2.4.2.7;	trifluridine/2.4.2A1;	0.356877	0.8	0.636364	0.470588	0.488372	0.379845	0.359712	0.276074	0.195266
R02147(r)/2.4.2A1(rev)/2.4.2.1,2.4.2.15;	trifluridine/2.4.2A1(rev);	0.355217	1	0.846154	0.62963	0.463415	0.368421	0.302326	0.260417	0.227273
R02646/2.4.2A1/2.4.2.16;	trifluridine/2.4.2A1;	0.353702	1	0.769231	0.686275	0.5	0.457627	0.347826	0.243655	0.153465
R01561(r)/2.4.2A1(rev)/2.4.2.1;	trifluridine/2.4.2A1(rev);	0.351515	1	0.846154	0.62963	0.475	0.358779	0.287425	0.259669	0.214286
R08222/2.4.2A1/2.4.2.4;	trifluridine/2.4.2A1;	0.351156	1	0.769231	0.68	0.466667	0.448598	0.330882	0.210884	0.0902256
R01561/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.349323	1	0.916667	0.692308	0.487805	0.376	0.29375	0.240223	0.179191
R01271/2.4.2B1/2.4.2.12;	trifluridine/2.4.2A1;	0.340881	0.8	0.575758	0.454545	0.457831	0.377049	0.303448	0.259259	0.219512
R10837/2.4.2A1/2.4.2.57;	trifluridine/2.4.2A1;	0.340136	1	0.769231	0.68	0.466667	0.4	0.302817	0.229299	0.127389
R10836(r)/2.4.2A1(rev)/2.4.2.57;	trifluridine/2.4.2A1(rev);	0.33105	1	0.846154	0.62963	0.475	0.353383	0.274286	0.243523	0.182741
R01073/2.4.2B1/2.4.2.18;	trifluridine/2.4.2A1;	0.329574	0.8	0.575758	0.447761	0.430233	0.346457	0.298611	0.253165	0.208589
R09668/2.4.2A1/2.4.2.44;	trifluridine/2.4.2A1;	0.32937	1	0.916667	0.692308	0.506173	0.403226	0.290123	0.193717	0.137566
R10836/2.4.2A1/2.4.2.57;	trifluridine/2.4.2A1;	0.328704	1	0.916667	0.692308	0.487805	0.370079	0.279762	0.225131	0.153465
R00966/2.4.2B1/2.4.2.9;	trifluridine/2.4.2A1;	0.322981	0.8	0.542857	0.441176	0.418605	0.395161	0.357143	0.246914	0.117647
R09668(r)/2.4.2A1(rev)/2.4.2.44;	trifluridine/2.4.2A1(rev);	0.32093	1	0.846154	0.62963	0.45679	0.363636	0.269006	0.212435	0.162162
R01132/2.4.2B1/2.4.2.8;	trifluridine/2.4.2A1;	0.316184	0.8	0.636364	0.457143	0.456522	0.359155	0.309524	0.233503	0.165877
R04378(r)/2.4.2B1(rev)/2.4.2.7;	trifluridine/2.4.2A1(rev);	0.307873	0.8	0.6	0.428571	0.409091	0.314286	0.304636	0.236994	0.16092
R02557(r)/2.4.2A1(rev)/2.4.2.1;	trifluridine/2.4.2A1(rev);	0.30641	1	0.769231	0.632653	0.444444	0.352941	0.280822	0.19774	0.115607
R01229/2.4.2B1/2.4.2.22,2.4.2.7,2.4.2.8;	trifluridine/2.4.2A1;	0.304214	0.8	0.636364	0.457143	0.446809	0.349315	0.301136	0.218009	0.156951
R01570/2.4.2A1/2.4.2.2,2.4.2.4;	trifluridine/2.4.2A1(rev);	0.303867	1	0.846154	0.708333	0.529412	0.418182	0.27972	0.120482	0.0275862
R01402(r)/2.4.2A1(rev)/2.4.2.28;	trifluridine/2.4.2A1(rev);	0.302752	1	0.846154	0.62963	0.45679	0.343284	0.247126	0.193878	0.137566
R01402/2.4.2A1/2.4.2.28;	trifluridine/2.4.2A1;	0.301513	1	0.916667	0.692308	0.46988	0.359375	0.251497	0.175258	0.11399
R02557/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.298397	1	0.769231	0.592593	0.404762	0.341463	0.266234	0.19774	0.114286
R01561/2.4.2A1/2.4.2.1;	trifluridine/2.4.2A1;	0.296526	1	0.833333	0.607843	0.4	0.35	0.273333	0.19337	0.10989
