reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R04586/3.2.1A1/3.2.1.52;	1478/3.2.1A1;	0.592371	0.181818	0.264706	0.414894	0.552846	0.65	0.64574	0.664207	0.683735
R04586/3.2.1A2/3.2.1.52;	1478/3.2.1A1;	0.592371	0.181818	0.264706	0.414894	0.552846	0.65	0.64574	0.664207	0.683735
R04586(r)/3.2.1A1(rev)/3.2.1.52;	1478/3.2.1A1;	0.513149	0.181818	0.264706	0.414894	0.552846	0.639752	0.60262	0.549828	0.490667
R04586(r)/3.2.1A2(rev)/3.2.1.52;	1478/3.2.1A1;	0.513149	0.181818	0.264706	0.414894	0.552846	0.639752	0.60262	0.549828	0.490667
R04634(r)/3.2.1A1(rev)/3.2.1.18;	1478/3.2.1A1;	0.479926	0.181818	0.275362	0.444444	0.58209	0.601093	0.540741	0.502857	0.428571
R03492/3.2.1A1/3.2.1.52;	1478/3.2.1A1;	0.477154	0.181818	0.264706	0.414894	0.536585	0.5875	0.533632	0.498155	0.466667
R03492/3.2.1A2/3.2.1.52;	1478/3.2.1A1;	0.477154	0.181818	0.264706	0.414894	0.536585	0.5875	0.533632	0.498155	0.466667
R03802/3.2.1A1/3.2.1.74;	1478/3.2.1A1;	0.446075	0.181818	0.264706	0.4	0.512	0.54878	0.513158	0.464286	0.412463
R03802/3.2.1A2/3.2.1.74;	1478/3.2.1A1;	0.446075	0.181818	0.264706	0.4	0.512	0.54878	0.513158	0.464286	0.412463
R05141/3.2.1A1/3.2.1.74;	1478/3.2.1A1;	0.446075	0.181818	0.264706	0.4	0.512	0.54878	0.513158	0.464286	0.412463
R05141/3.2.1A2/3.2.1.74;	1478/3.2.1A1;	0.446075	0.181818	0.264706	0.4	0.512	0.54878	0.513158	0.464286	0.412463
R04018/3.2.1A1(rev)/3.2.1.18;	1478/3.2.1A1;	0.444877	0.181818	0.275362	0.444444	0.567164	0.557377	0.501901	0.455927	0.378446
R03491/3.2.1A1(rev)/3.2.1.18;	1478/3.2.1A1;	0.443662	0.181818	0.275362	0.444444	0.567164	0.557377	0.498113	0.458084	0.376214
R04650/3.2.1A1(rev)/3.2.1.18;	1478/3.2.1A1;	0.441252	0.181818	0.275362	0.444444	0.567164	0.557377	0.498113	0.453731	0.371084
R05117(r)/3.2.1A1(rev)/3.2.1.18;	1478/3.2.1A1;	0.441252	0.181818	0.275362	0.444444	0.567164	0.557377	0.498113	0.453731	0.371084
R04634/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.44077	0.181818	0.275362	0.444444	0.558824	0.542105	0.480427	0.445055	0.39738
R05166/3.2.1A1/3.2.1.140;	1478/3.2.1A1;	0.414765	0.181818	0.264706	0.414894	0.524194	0.54491	0.463415	0.416404	0.360294
R05166/3.2.1A2/3.2.1.140;	1478/3.2.1A1;	0.414765	0.181818	0.264706	0.414894	0.524194	0.54491	0.463415	0.416404	0.360294
