reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R03314(r)/1.5.1A1(rev)/;	44/1.5.3A1;	0.161905	0.333333	0.307692	0.225806	0.151515	0.0967742	0.08	0	0
R03314/1.5.1A1/;	44/1.5.3A1;	0.156398	0.333333	0.259259	0.225806	0.151515	0.0967742	0.08	0	0
R03249/1.5.1A1/;	44/1.5.3A1;	0.155963	0.357143	0.266667	0.212121	0.117647	0.0967742	0.08	0	0
R03249(r)/1.5.1A1(rev)/;	44/1.5.3A1;	0.155963	0.357143	0.266667	0.212121	0.117647	0.0967742	0.08	0	0
R04443/1.5.1A1(rev)/;	44/1.5.3A1;	0.150215	0.333333	0.333333	0.2	0.135135	0.0833333	0.0625	0	0
R04443(r)/1.5.1A1/;	44/1.5.3A1;	0.145299	0.333333	0.285714	0.2	0.135135	0.0833333	0.0625	0	0
R04446/1.5.1A1(rev)/;	44/1.5.3A1;	0.140496	0.357143	0.25	0.189189	0.105263	0.0833333	0.0625	0	0
R04446(r)/1.5.1A1/;	44/1.5.3A1;	0.140496	0.357143	0.25	0.189189	0.105263	0.0833333	0.0625	0	0
R05317(r)/1.5.3A1(rev)/1.3.3.10;	44/1.5.3A1;	0.128205	0.416667	0.241379	0.323529	0.222222	0.118644	0.0714286	0.037037	0.0229885
R05317(r)/1.5.3A1(rev)/1.3.3.10;	44/1.5.3A1;	0.128205	0.416667	0.241379	0.323529	0.222222	0.118644	0.0714286	0.037037	0.0229885
R07408(r)/1.5.1A1(rev)/2.6.1.82;	44/1.5.3A1;	0.124294	0.333333	0.230769	0.153846	0.08	0.0416667	0	0	0
R11175/1.5.3A1/;	44/1.5.3A1;	0.123919	0.416667	0.307692	0.242424	0.133333	0.0909091	0.0555556	0.0357143	0.0185185
R02894/1.5.3A1/1.4.3.3;	44/1.5.3A1;	0.122807	0.307692	0.172414	0.181818	0.108108	0.0810811	0.0740741	0	0
R05317/1.5.3A1/1.3.3.10;	44/1.5.3A1;	0.12037	0.416667	0.333333	0.363636	0.195652	0.118644	0.056338	0.0120482	0
R05317/1.5.3A1/1.3.3.10;	44/1.5.3A1;	0.12037	0.416667	0.333333	0.363636	0.195652	0.118644	0.056338	0.0120482	0
R02894(r)/1.5.3A1(rev)/1.4.3.3;	44/1.5.3A1;	0.117904	0.307692	0.133333	0.181818	0.108108	0.0810811	0.0740741	0	0
R11048,R11050/1.5.3A1/1.5.3.5,1.5.3.6;	44/1.5.3A1;	0.115903	0.416667	0.307692	0.242424	0.133333	0.0909091	0.0517241	0.03125	0.0151515
