reaction,EC_number_predicted
235,3.2.1.170;3.1.1.93;3.2.2.24;4.3.3.5
220,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
247,
222,
212,
230,2.3.1.148;6.2.1.1;6.1.2.2;2.1.3.12;1.2.1.95;6.3.1.20;6.3.4.10;2.3.2.14;2.3.3.9;2.1.2.13
243,
210,2.1.1.72;2.1.2.3;2.3.1.101;2.8.4.4;2.1.3.2
231,
228,
246,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
254,1.1.1.144;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.56;1.1.99.9;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
209,
226,3.1.3.90;3.1.4.50;3.2.1.42;2.4.1.17;4.6.1.13;3.6.1.20;3.1.1.17;3.1.6.9;5.1.3.14;3.1.5.1;4.2.3.1;3.1.7.2;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
240,
206,1.1.1.343;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;1.1.3.8;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
239,
232,1.1.1.381;1.2.1.3;2.3.1.85;1.17.1.10;1.3.1.20;1.2.4.1;1.8.1.4;1.2.5.1;1.1.3.39;1.2.3.13
217,4.2.1.98;1.14.13.197;4.2.3.141;3.1.7.12;4.2.99.20;3.2.1.186;3.7.1.21;2.3.1.85;4.3.3.3;1.1.1.286;4.3.1.9;4.1.1.56;3.3.1.1;1.2.1.31;1.4.1.18;5.5.1.6;2.5.1.119;3.5.5.4;1.3.8.6;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23
218,
221,
252,
225,
227,
208,
248,3.2.1.22;3.1.1.93;3.2.2.3;4.3.3.5
237,
253,
245,
251,
234,3.2.2.8;3.2.1.22;3.1.1.93;4.3.3.5
219,
215,
213,
224,
214,
242,
238,3.2.1.107;3.1.1.93;3.2.2.11;4.3.3.5
211,3.1.3.89;3.1.1.33;3.1.4.3;4.2.3.1;3.1.6.3;3.6.1.7;3.1.5.1;3.11.1.3;4.6.1.13;3.2.1.42;2.4.1.17;3.1.2.31;3.1.7.6;5.1.3.14;2.3.1.85;4.2.1.155;3.7.1.8
205,
216,
204,
223,
229,
250,
236,1.1.1.159;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
207,
233,
249,
244,
241,1.13.11.57;1.13.12.23;1.13.99.1;1.14.13.239
186,
170,
192,
200,
194,
165,
164,
199,
193,
195,
176,
173,
156,
177,
190,2.4.1.231;2.5.1.7;2.1.3.12;2.4.2.34;4.4.1.20;1.3.1.96
181,
191,1.1.1.69;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.5;1.1.3.39;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
172,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
182,2.3.1.197;2.1.2.3;6.2.1.11;2.3.2.1;2.3.3.14;1.2.1.95;2.1.3.12;6.1.2.2;6.3.4.10;6.3.1.20
167,1.1.1.315;1.2.1.49;1.17.1.9;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.2.5.1;1.2.3.1;1.1.3.39
203,
