EC,Weighted Score,Observed Freq,Reactions
2.3.1,855.1,361,R00209  R00212  R00230  R00234  R00238  ... (307 reactions)
6.2.1,80.9,72,R00229  R00235  R00236  R00389  R00390  ... (69 reactions)
3.1.1,70.0,,
3.1.2,60.0,49,R00227  R00383  R00407  R00499  R00547  ... (46 reactions)
1.2.1,36.9,31,R00210  R00228  R00265  R00468  R00705  ... (27 reactions)
6.1.1,26.2,,
2.3.3,23.0,23,R00271  R00351  R00352  R00472  R00931  ... (22 reactions)
2.3.2,20.1,1,R08172
3.5.1,12.1,,
1.2.7,10.3,10,R01196  R01197  R01199  R07160  R07161
3.7.1,7.0,,
3.2.1,3.7,1,R07902
1.2.4,3.1,3,R00209  R01933  R08549
1.8.1,3.1,3,R00209  R01933  R08549
2.1.3,3.1,,
1.1.1,3.0,3,R02081  R02082  R05351
4.1.3,2.4,2,R04150  R05063
2.3.-,2.0,2,R05672  R05918
2.8.3,2.0,2,R07881  R08097
2.5.1,2.0,2,R07093  R07094
4.4.1,2.0,2,R02530  R10278
2.1.1,2.0,1,R10243
1.-.-,1.8,,
1.2.3,1.1,1,R00211
2.6.1,1.0,1,R02772
6.1.2,0.9,,
3.5.3,0.9,,
6.3.1,0.7,,
6.3.4,0.6,,
2.1.2,0.4,,
2.2.1,0.4,,
6.3.2,0.4,,
3.4.11,0.2,,
