RPAIR,Score,EC,KO
RP12697,1.000,2.4.1.17 3.2.1.31,K00699 K01195
RP09208,0.710,2.4.1.170,K13263
RP02612,0.708,2.4.1.170,K13263
RP11816,0.703,2.4.1.170,K13263
RP11247,0.702,2.4.1.170,K13263
RP11936,0.692,2.4.1.170,K13263
RP15389,0.672,2.4.1.-,K15787
RP02213,0.671,2.4.1.-,K15787
RP09360,0.662,2.4.1.234,K13269
RP09359,0.662,2.4.1.91,K10757
RP02008,0.661,2.4.1.91,K10757
RP09067,0.657,2.4.1.115,K12930
RP09068,0.652,2.4.1.115,K12930
RP11617,0.646,2.4.1.-,K12938
RP09072,0.640,2.4.1.115,K12930
RP09326,0.639,3.2.1.31,K01195
RP09568,0.631,,K12711
RP09566,0.630,,K12717
RP16215,0.627,2.4.1.300,K17192
RP16161,0.624,2.4.1.300,K17192
RP11752,0.621,2.4.1.-,K12938
RP02149,0.618,2.4.1.17,K00699
RP16217,0.616,2.4.1.300,K17192
RP11758,0.615,2.4.1.298 2.4.1.299,K12338 K17194
RP09078,0.614,2.4.1.298 2.4.1.299,K12338 K17194
RP09331,0.611,2.4.1.17,K00699
RP02756,0.609,2.4.1.17,K00699
RP11896,0.608,2.4.1.298 2.4.1.299,K12338 K17194
RP12148,0.606,2.4.1.238 2.4.1.249,K12939
RP09332,0.602,2.4.1.17,K00699
RP09092,0.579,2.4.1.298,K12338
RP12699,0.559,2.4.1.17,K00699
RP13802,0.554,2.4.1.-,K15776
RP00476,0.547,2.4.1.111,K12356
RP11825,0.547,2.4.1.170,K13263
RP13880,0.546,2.4.1.-,K13235
RP00723,0.542,2.4.1.111,K12356
RP04606,0.541,3.2.1.21,K01188 K05349 K05350
RP14601,0.540,2.4.1.-,K15964
RP11822,0.538,2.4.1.170,K13263
RP11671,0.536,2.4.1.-,K13078
RP04731,0.529,3.2.1.86,K01223
RP12153,0.524,2.4.1.238,K12939
RP04728,0.522,3.2.1.86,K01222
RP13825,0.513,2.4.1.-,K15775
RP00700,0.512,2.4.1.111,K12356
RP13813,0.512,2.4.1.-,K15774
RP14598,0.511,,K15931
RP13882,0.508,2.4.1.-,K13235
RP12155,0.500,2.4.1.238,K12939
RP11906,0.495,2.4.1.-,K15929
RP09572,0.451,,K12726 K12727
