EC,Weighted Score,Observed Freq,Reactions
1.3.1,175.5,25,R01451  R01456  R01835  R02208  R02219  ... (25 reactions)
1.3.99,46.8,8,R01834  R02215  R02219  R02642  R02643
1.3.8,31.5,,
5.3.3,17.3,8,R03353  R04260  R04565  R04671  R04804
1.3.3,14.6,,
2.3.1,12.2,,
1.14.11,11.1,,
1.3.5,7.5,,
1.3.-,6.5,1,R05619
1.14.21,5.0,5,R03310  R07215  R07486  R07491  R07505
1.1.1,1.9,,
1.1.-,1.9,,
1.17.99,1.7,,
5.5.1,1.0,1,R09225
1.3.7,1.0,,
1.14.14,1.0,,
1.14.12,1.0,,
1.14.99,0.9,,
1.14.-,0.9,,
5.2.1,0.9,,
1.3.98,0.9,,
2.5.1,0.2,,
