RPAIR,Score,EC,KO
RP04447,0.871,1.3.1.3,K00251
RP04445,0.867,1.3.1.3,K00251
RP00460,0.866,1.3.1.3,K00251
RP00706,0.866,1.3.1.3,K00251
RP09445,0.865,,K12920
RP02257,0.864,1.3.1.3,K00251
RP02256,0.864,1.3.1.22,K12343 K12344 K12345
RP00383,0.857,1.3.1.3 1.3.99.6,K00251
RP02043,0.857,1.3.1.22,K12343 K12344 K12345
RP14144,0.856,1.3.1.22,K12343 K12344 K12345
RP11984,0.850,1.3.1.22,K09591
RP12001,0.849,1.3.1.22,K09591
RP01793,0.847,1.3.1.3,K00251
RP01792,0.847,1.3.1.22 1.3.99.5,K12343 K12344 K12345 K16051
RP11980,0.847,1.14.21.6,K00227
RP11979,0.847,1.14.21.6,K00227
RP11982,0.847,1.14.21.6,K00227
RP02931,0.846,1.14.21.6,K00227
RP15616,0.843,5.3.3.1,K01822
RP00422,0.838,1.1.1.145 5.3.3.1,K00070 K01822
RP00472,0.836,1.1.1.145 5.3.3.1,K00070 K01822
RP13719,0.836,1.1.1.181,K12408
RP02576,0.836,1.3.1.3,K00251
RP13718,0.835,1.1.1.181,K12408
RP03893,0.835,1.1.1.181,K12408
RP13728,0.835,1.1.1.181,K12408
RP14036,0.835,1.1.1.181,K12408
RP00776,0.832,1.1.1.145 5.3.3.1,K00070 K01822
RP00386,0.829,1.1.1.145 5.3.3.1,K00070 K01822
RP00661,0.829,1.1.1.145 5.3.3.1,K00070 K01822
RP00731,0.829,1.1.1.145 5.3.3.1,K00070 K01822
RP00795,0.829,1.1.1.145 5.3.3.1,K00070 K01822
RP00494,0.825,1.1.1.145 5.3.3.1,K00070 K01822
RP01523,0.824,1.1.1.145 1.1.3.6 5.3.3.1,K03333 K16045
RP15487,0.772,1.3.99.4,K05898
RP11377,0.764,1.14.13.72,K14423
RP11846,0.750,1.3.1.70,K00222
RP05246,0.731,1.3.1.70,K00222
RP05322,0.726,1.14.13.70,K05917
RP05247,0.706,1.14.13.70,K05917
RP11981,0.691,1.3.1.21,K00213
RP11763,0.691,1.3.1.21,K00213
RP00371,0.691,1.3.1.21,K00213 K14938
RP15485,0.687,1.14.13.142,K15982 K15983
RP09212,0.677,,K12919
RP09247,0.674,,K12919
RP12008,0.641,1.1.1.170,K07748
RP09441,0.623,,K12918
RP04467,0.622,1.14.99.9,K00512
RP03406,0.619,1.14.99.9,K00512
RP09261,0.616,1.14.11.12,K05282
RP09440,0.614,1.14.11.12,K05282
RP02044,0.609,1.14.99.9,K00512
RP04435,0.581,5.3.3.5,K01824
RP11499,0.581,,K09829
RP02970,0.580,5.3.3.5,K01824
RP04468,0.577,1.14.99.9,K00512
RP11847,0.556,5.3.3.5,K01824
RP11277,0.531,,K14939
RP11858,0.529,2.1.1.196,K02191
RP09369,0.503,1.14.13.79,K04123
RP14864,0.495,4.1.99.16,K10187
RP15858,0.494,1.14.13.79,K04123
RP03397,0.489,5.5.1.9,K08246
RP04750,0.487,1.3.1.54,K05895
RP11854,0.484,1.3.1.54,K05895
RP12125,0.461,3.7.1.12,K02189 K13541
RP04376,0.446,4.2.1.96,K01724
RP11654,0.443,1.14.11.31,K14976
RP09453,0.433,1.14.99.37,K14039
RP14977,0.423,1.14.13.119,K15805
RP11856,0.417,2.1.1.132,K02191 K03399
RP11338,0.417,1.14.11.31,K14976
RP15674,0.332,,K16037
RP04781,0.315,5.4.1.2,K06042
RP14366,0.312,4.2.3.34,K14045
RP11877,0.312,,K12928
RP11878,0.312,,K12928
RP14367,0.306,4.2.3.35,K14046
RP14360,0.306,4.2.3.44,K14042
RP04749,0.305,2.1.1.132,K00595
RP11855,0.302,2.1.1.195,K02188
RP14369,0.302,4.2.3.28,K14036
RP11852,0.301,2.1.1.271,K05936
