RPAIR,Score,EC,KO
RP02149,0.689,2.4.1.17,K00699
RP02756,0.676,2.4.1.17,K00699
RP11825,0.656,2.4.1.170,K13263
RP09331,0.616,2.4.1.17,K00699
RP09332,0.606,2.4.1.17,K00699
RP11816,0.600,2.4.1.170,K13263
RP11247,0.599,2.4.1.170,K13263
RP11822,0.583,2.4.1.170,K13263
RP00723,0.571,2.4.1.111,K12356
RP09208,0.561,2.4.1.170,K13263
RP02612,0.560,2.4.1.170,K13263
RP12697,0.559,2.4.1.17 3.2.1.31,K00699 K01195
RP11671,0.558,2.4.1.-,K13078
RP13880,0.556,2.4.1.-,K13235
RP04728,0.549,3.2.1.86,K01222
RP09067,0.545,2.4.1.115,K12930
RP09092,0.543,2.4.1.298,K12338
RP16215,0.542,2.4.1.300,K17192
RP12699,0.541,2.4.1.17,K00699
RP11758,0.539,2.4.1.298 2.4.1.299,K12338 K17194
RP11936,0.538,2.4.1.170,K13263
RP15389,0.526,2.4.1.-,K15787
RP13882,0.523,2.4.1.-,K13235
RP09360,0.519,2.4.1.234,K13269
RP09359,0.519,2.4.1.91,K10757
RP00476,0.514,2.4.1.111,K12356
RP09326,0.514,3.2.1.31,K01195
RP11617,0.511,2.4.1.-,K12938
RP13802,0.511,2.4.1.-,K15776
RP04606,0.502,3.2.1.21,K01188 K05349 K05350
RP09068,0.496,2.4.1.115,K12930
RP09078,0.492,2.4.1.298 2.4.1.299,K12338 K17194
RP16161,0.491,2.4.1.300,K17192
RP04731,0.486,3.2.1.86,K01223
RP02213,0.481,2.4.1.-,K15787
RP11752,0.480,2.4.1.-,K12938
RP09566,0.477,,K12717
RP09568,0.475,,K12711
RP02008,0.474,2.4.1.91,K10757
RP13825,0.473,2.4.1.-,K15775
RP13813,0.472,2.4.1.-,K15774
RP12148,0.463,2.4.1.238 2.4.1.249,K12939
RP09072,0.455,2.4.1.115,K12930
RP11896,0.454,2.4.1.298 2.4.1.299,K12338 K17194
RP16217,0.451,2.4.1.300,K17192
RP14598,0.446,,K15931
RP11906,0.441,2.4.1.-,K15929
RP00700,0.440,2.4.1.111,K12356
RP12155,0.422,2.4.1.238,K12939
RP12153,0.409,2.4.1.238,K12939
RP14601,0.324,2.4.1.-,K15964
RP01540,0.307,3.2.1.31,K01195 K14756
RP13408,0.307,2.4.1.17,K00699
RP14751,0.304,2.4.1.17,K00699
RP09572,0.301,,K12726 K12727
RP15081,0.297,2.4.1.254,K12937
RP09308,0.296,2.4.1.85 3.2.1.21,K01188 K05349 K05350 K13030
RP11915,0.293,2.4.1.254,K12937
RP11506,0.290,2.4.1.236,K13080
RP09413,0.290,2.4.1.236,K13080
RP11892,0.280,2.4.1.297,K12933
RP16203,0.279,2.4.2.51,K17193
RP02308,0.261,3.2.1.118 3.2.1.21,K01188 K05349 K05350 K13032
RP10196,0.261,2.4.1.17,K00699
RP11796,0.261,2.4.1.236,K13080
RP09311,0.258,2.4.1.236,K13080
RP02661,0.252,3.2.1.117 3.2.1.21,K01188 K05349 K05350 K13031
RP11748,0.249,2.4.1.297,K12933
RP16205,0.246,2.4.2.51,K17193
RP11978,0.240,2.4.1.202,K13227 K13228
RP11958,0.235,2.1.1.212,K13259
RP06028,0.232,3.2.1.21,K01188 K05349 K05350
RP04319,0.225,2.4.1.17,K00699
RP12311,0.225,3.2.1.67,K01213
RP11895,0.223,2.4.1.297,K12933
RP00448,0.222,3.2.1.22,K01189 K07406 K07407
RP09294,0.221,3.2.1.105,K12693
RP16207,0.220,2.4.2.51,K17193
RP01890,0.216,3.2.1.15 3.2.1.67,K01184 K01213
RP01357,0.211,3.2.1.22,K01189 K07406 K07407
RP02413,0.210,2.4.1.157,K03429
RP02415,0.210,2.4.1.46,K03715
RP02608,0.210,3.2.1.22,K01189 K07406 K07407
RP11963,0.209,2.4.1.226,K00747 K03419 K13499 K13500
RP03248,0.207,3.2.1.26,K01193
