RPAIR,Score,EC,KO
RP02251,0.801,3.5.4.5,K01489 K10989
RP01815,0.764,3.5.4.5,K01489
RP01677,0.751,3.5.4.12,K01493
RP13195,0.703,3.5.4.5,K01489
RP02125,0.591,3.5.4.13,K01494
RP00197,0.573,3.5.4.13 6.3.4.2,K01494 K01937
RP11109,0.479,3.5.4.30,K09887
RP16144,0.421,3.5.4.35,K16930
RP02305,0.379,3.5.4.4,K01488
RP01594,0.376,3.5.4.4,K01488
RP00573,0.375,6.3.5.2,K01951
RP01207,0.370,3.5.4.1,K01485
RP03973,0.366,3.5.4.17 3.5.4.6,K01490
RP01490,0.345,3.5.4.1,K01485
RP13247,0.343,6.3.5.2,K01951
RP01321,0.339,1.1.1.205,K00088
RP01323,0.321,1.7.1.7,K00364
RP13056,0.319,1.1.1.205,K00088
RP16141,0.286,3.5.4.34,K15440
RP16138,0.286,3.5.4.33,K11991
RP01325,0.277,6.3.4.4,K01939
RP03069,0.276,3.5.4.26,K01498 K11752
RP14672,0.265,,K14655
RP01682,0.263,3.5.4.3,K01487
RP01384,0.250,3.5.4.2,K01486
RP03713,0.248,1.2.3.1,K00157
