RPAIR,Score,EC,KO
RP02584,0.433,2.4.1.17,K00699
RP02176,0.421,2.4.1.17,K00699
RP11155,0.415,2.4.1.120 2.4.1.126 2.4.1.299,K13068 K17194
RP16160,0.391,2.4.1.300,K17192
RP11631,0.341,2.4.1.263 3.2.1.175,K14595 K15748
RP12081,0.249,2.4.1.-,K10211
RP03283,0.242,6.1.1.20,K01889 K01890
RP03271,0.222,6.1.1.14,K01878 K01879 K01880 K14164
RP02709,0.216,6.1.1.7,K01872
RP12926,0.214,6.1.1.11,K01875
RP03287,0.214,6.1.1.11,K01875
RP03273,0.213,6.1.1.21,K01892
RP03263,0.212,6.1.1.22,K01893
RP03289,0.211,6.1.1.3,K01868
RP03279,0.210,6.1.1.6,K04566 K04567 K04568
RP03261,0.208,6.1.1.23,K09759
RP05171,0.208,6.1.1.12 6.1.1.23,K01876 K09759
RP13892,0.208,6.1.1.26,K11627
RP13536,0.205,6.1.1.27,K07587
RP02599,0.202,6.1.1.1,K01866
RP03291,0.198,6.1.1.2,K01867
RP03285,0.181,6.1.1.15,K01881 K14163
RP09130,0.180,3.1.1.1 3.1.1.84,K01044
RP03265,0.163,6.1.1.16,K01883 K01884
RP03269,0.162,6.1.1.18,K01886
RP03281,0.162,6.1.1.10,K01874
RP04408,0.162,6.1.1.10,K01874
RP03259,0.161,6.1.1.19,K01887
RP05173,0.161,6.1.1.17 6.1.1.24,K01885 K09698 K14163
RP03267,0.161,6.1.1.24,K09698
RP03293,0.159,6.1.1.9,K01873
RP03275,0.159,6.1.1.5,K01870
RP03870,0.148,2.1.1.11,K03428
RP09524,0.137,2.1.1.-,K15942
RP09529,0.134,2.1.1.-,K15942
