RPAIR,Score,EC,KO
RP12693,1.000,2.4.1.17,K00699
RP12695,0.989,2.4.1.17,K00699
RP04319,0.727,2.4.1.17,K00699
RP02259,0.715,2.4.1.17,K00699
RP03988,0.682,2.4.1.17,K00699
RP02244,0.682,2.4.1.17,K00699
RP09131,0.578,3.2.1.125,K12695
RP09519,0.551,,K15937
RP12311,0.536,3.2.1.67,K01213
RP15081,0.513,2.4.1.254,K12937
RP11915,0.506,2.4.1.254,K12937
RP11963,0.496,2.4.1.226,K00747 K03419 K13499 K13500
RP09521,0.480,,K15937 K15938 K15939
RP01357,0.478,3.2.1.22,K01189 K07406 K07407
RP09494,0.477,2.4.1.-,K15960
RP11150,0.470,3.2.1.15,K01184
RP09294,0.466,3.2.1.105,K12693
RP01890,0.465,3.2.1.15 3.2.1.67,K01184 K01213
RP15890,0.461,2.4.1.284,K13550
RP01590,0.459,2.4.1.25 2.4.1.8,K00691 K00705 K01196
RP02961,0.459,3.2.1.20,K01187 K12047 K12316 K12317 K15922
RP01684,0.459,3.2.1.108 3.2.1.23,K01190 K01229 K12111 K12112 K12309
RP12670,0.459,3.2.1.21,K01188 K05349 K05350
RP00439,0.459,2.4.1.22,K00704 K07966 K07967
RP00324,0.459,2.4.1.20,K00702
RP04416,0.458,3.2.1.23,K01190
RP00453,0.455,2.4.1.245 2.4.1.64 3.2.1.28,K01194 K05342 K13057
RP09520,0.454,,K15938
RP09413,0.453,2.4.1.236,K13080
RP09514,0.453,,K15938
RP11796,0.452,2.4.1.236,K13080
RP11506,0.451,2.4.1.236,K13080
RP09311,0.445,2.4.1.236,K13080
RP16203,0.444,2.4.2.51,K17193
RP00146,0.443,3.2.1.122 3.2.1.93,K01226 K01232
RP02451,0.443,2.4.1.15,K00697 K16055
RP04765,0.441,2.4.1.208,K13677
RP01135,0.439,3.2.1.122,K01232
RP02887,0.439,3.2.1.85,K01220
RP11892,0.439,2.4.1.297,K12933
RP16205,0.437,2.4.2.51,K17193
RP12501,0.434,2.4.1.66,K13646
RP11748,0.433,2.4.1.297,K12933
RP16207,0.428,2.4.2.51,K17193
RP14599,0.427,,K15934
RP00075,0.427,2.4.1.125 2.4.1.13 2.4.1.4 2.4.1.5 2.4.1.7 3.2.1.10 3.2.1.20 3.2.1.48,K00689 K00690 K00695 K01182 K01187 K01203 K05341 K12047 K12316 K12317 K15922
RP01110,0.427,3.2.1.20 3.2.1.26 3.2.1.48,K01187 K01193 K01203 K12047 K12316 K12317 K15922
RP09495,0.424,2.4.1.-,K15961
RP11895,0.424,2.4.1.297,K12933
RP02187,0.423,3.2.1.26,K01193
RP01310,0.422,3.2.1.23,K01190 K12308
RP14106,0.416,2.4.1.246,K13058
RP01092,0.416,2.4.1.14,K00696
RP12727,0.409,3.2.1.26,K01193
RP14578,0.406,2.4.1.-,K15948
RP00138,0.405,2.4.1.67 2.4.1.82 3.2.1.22,K01189 K06611 K06617 K07406 K07407
RP09517,0.404,2.4.1.-,K15939
RP14222,0.404,2.4.1.283,K13550
RP02924,0.401,3.2.1.52,K01207
RP05611,0.398,,K15989 K15990
RP00725,0.393,3.2.1.22,K01189 K07406 K07407
RP00666,0.393,2.4.1.274 3.2.1.23,K01190 K07553 K12309
RP09523,0.392,2.4.1.-,K15939
RP09518,0.390,,K15938 K15939
RP05645,0.390,2.4.1.-,K14375
RP03248,0.390,3.2.1.26,K01193
RP05653,0.390,2.4.1.-,K14375
RP05647,0.390,2.4.1.-,K14375
RP05618,0.389,,K16009
RP05655,0.389,2.4.1.-,K14375
RP05643,0.383,2.4.1.-,K14375
RP05640,0.383,2.4.1.-,K14375
RP05651,0.383,2.4.1.-,K14375
RP05649,0.382,2.4.1.-,K14375
RP00404,0.381,3.2.1.3 3.2.1.33,K01178 K01196 K12047
RP11978,0.381,2.4.1.202,K13227 K13228
RP11646,0.376,2.4.1.276,K14596
RP09496,0.375,,K15960 K15962
RP13374,0.371,3.2.1.165,K15855
RP14600,0.369,,K15935
RP01760,0.366,3.2.1.10 3.2.1.3,K01178 K01182 K01203 K12047
RP05111,0.364,2.4.1.-,K14367
RP05621,0.356,,K16010
RP05623,0.356,2.4.1.277,K16004 K16005
RP00377,0.352,4.2.2.2 4.2.2.9,K01728
RP14603,0.349,2.4.1.-,K15965
RP05646,0.348,2.4.1.-,K14375
RP09460,0.347,2.4.1.-,K14375
RP05648,0.344,2.4.1.-,K14375
RP09461,0.344,2.4.1.-,K14375
RP05624,0.341,2.4.1.277,K16004 K16005
RP05642,0.339,2.4.1.-,K14375
RP09458,0.339,2.4.1.-,K14375
RP05644,0.336,2.4.1.-,K14375
RP09459,0.336,2.4.1.-,K14375
RP00205,0.326,2.4.1.10 3.2.1.10 3.2.1.20 3.2.1.48,K00692 K01182 K01187 K01203 K12047 K12316 K12317 K15922
RP14230,0.324,2.4.2.49,K13554
RP14234,0.320,2.4.1.285,K13556
RP05114,0.319,2.4.1.278,K14368 K15997
RP03641,0.314,3.2.1.18,K01186 K12357
RP05661,0.308,,K15998
RP05615,0.305,2.4.1.-,K15994
