RPAIR,Score,EC,KO
RP14291,0.221,2.5.1.-,K13605
RP03870,0.214,2.1.1.11,K03428
RP14293,0.199,2.5.1.-,K13605
RP09491,0.196,2.1.1.-,K15971
RP11909,0.193,,K15953
RP14585,0.190,,K15957
RP09529,0.188,2.1.1.-,K15942
RP12396,0.187,3.1.1.14,K08099
RP00846,0.187,2.5.1.62,K04040
RP14302,0.184,2.5.1.62 3.1.1.14,K04040 K08099
RP09524,0.184,2.1.1.-,K15942
RP14296,0.152,,K04040 K10960
RP14300,0.145,,K04040 K10960
RP12249,0.098,,K10718 K15824
RP04137,0.097,3.1.1.-,K15889
RP12252,0.080,3.1.1.59,K01063
RP12338,0.080,3.1.1.59,K01063
RP11782,0.080,2.1.1.-,K10718
RP00132,0.078,2.5.1.- 2.5.1.48,K01739 K10764
RP13518,0.077,3.1.1.22,K07518
