RPAIR,Score,EC,KO
RP01207,0.246,3.5.4.1,K01485
RP01490,0.236,3.5.4.1,K01485
RP01777,0.222,1.14.14.8,K16901
RP01876,0.220,1.14.13.9,K00486
RP03713,0.220,1.2.3.1,K00157
RP01384,0.209,3.5.4.2,K01486
RP03182,0.200,1.14.13.7,K03380
RP13113,0.199,1.14.14.1,K07409 K07424
RP01117,0.198,1.14.13.- 1.14.13.7,K03380 K16242 K16243 K16244 K16245 K16246 K16249
RP03175,0.198,1.14.13.-,K16242 K16243 K16244 K16245 K16246 K16249
RP02138,0.197,1.14.16.-,K03393
RP03185,0.196,,K15760 K15761 K15762 K15763 K15764 K15765
RP00543,0.196,1.14.12.1,K00529 K05599 K05600 K05710 K11311 K16319 K16320
RP15830,0.195,1.14.13.-,K16242 K16243 K16244 K16245 K16246 K16249
RP03176,0.195,1.14.13.-,K15760 K15761 K15762 K15763 K15764 K15765
RP09563,0.194,,K12714
RP03217,0.193,1.14.13.-,K16242 K16243 K16244 K16245 K16246 K16249
RP05049,0.192,1.14.13.20,K10676
RP04868,0.186,2.5.1.-,K15239
RP05085,0.186,1.14.13.-,K10437
RP09312,0.186,1.14.13.127,K05712
RP09575,0.186,1.14.13.127,K05712
RP04849,0.185,1.14.13.7,K03380
RP02305,0.185,3.5.4.4,K01488
RP02171,0.185,1.14.13.- 1.14.18.1,K00505
RP13883,0.182,1.14.13.11,K00487
RP01594,0.181,3.5.4.4,K01488
RP02251,0.181,3.5.4.5,K01489 K10989
RP00553,0.180,1.14.13.63,K10438
RP11165,0.180,1.3.7.9,K04107 K04108 K04109
RP02071,0.180,1.14.13.11,K00487
RP03973,0.178,3.5.4.17 3.5.4.6,K01490
RP02416,0.177,1.14.14.9,K00483 K00484 K16901
RP09275,0.177,1.14.13.89,K13260
RP03153,0.177,1.11.1.8,K00431
RP00123,0.177,1.10.3.1 1.14.16.2 1.14.18.1,K00422 K00501 K00505
RP04870,0.176,2.5.1.-,K15239
RP01761,0.176,1.14.16.1,K00500
RP01415,0.176,1.14.13.12,K07824
RP00474,0.176,1.14.13.2 1.14.13.33,K00481
RP01677,0.175,3.5.4.12,K01493
RP14178,0.175,1.14.13.-,K15506
