RPAIR,Score,EC,KO
RP00416,0.894,2.4.2.2 2.4.2.3 3.2.2.3,K00756 K00757 K01240
RP13156,0.867,2.4.2.3,K00757
RP13154,0.826,2.4.2.4,K00758
RP00166,0.810,2.4.2.1 2.4.2.2 2.4.2.23 2.4.2.4,K00756 K00758 K03783 K03784
RP13152,0.786,2.4.2.4,K00758
RP00522,0.786,2.4.2.2 2.4.2.4 2.4.2.6,K00756 K00758 K08728
RP00454,0.769,2.4.2.2 3.2.2.8,K00756 K10213
RP01202,0.740,2.4.2.9,K00761 K02825
RP13157,0.722,2.4.2.10,K13421
RP00631,0.656,2.4.2.1 3.2.2.1 3.2.2.3,K01239 K01240 K03783 K03784
RP01810,0.633,2.4.2.10,K00762 K13421
RP13153,0.631,1.14.14.1,K07411
RP02111,0.624,2.4.2.1 3.2.2.3,K01240 K03783 K03784
RP00504,0.572,2.4.2.- 2.4.2.1 3.2.2.1,K01239 K03783 K03784 K03815
RP00175,0.572,2.4.2.1 2.4.2.15 3.2.2.1 3.2.2.2 3.2.2.8,K01239 K03783 K03784 K10213
RP00185,0.563,2.4.2.1 2.4.2.15 3.2.2.1 3.2.2.8,K01239 K03783 K03784 K10213
RP00627,0.548,2.4.2.12,K03462
RP11966,0.532,2.4.2.1,K03783 K03784
RP02466,0.532,2.4.2.1 2.4.2.4,K03783 K03784
RP00596,0.527,2.4.2.1 3.2.2.1 3.2.2.7 3.2.2.8,K01239 K03783 K03784 K10213
RP00331,0.525,2.4.2.21 6.3.4.21,K00763 K00768
RP01880,0.524,2.4.2.1 2.4.2.4,K03783 K03784
RP13546,0.516,3.2.2.26,K11783
RP01995,0.515,2.4.2.22 2.4.2.8,K00760 K00769 K03816 K15780
RP00470,0.513,2.4.2.8,K00760 K15780
RP01369,0.506,2.4.2.22 2.4.2.7 2.4.2.8,K00759 K00760 K00769 K03816 K15780
RP00082,0.505,3.2.2.5 3.2.2.6 3.5.1.-,K01242 K11121
RP00318,0.495,2.4.2.28 3.2.2.16 3.2.2.9,K00772 K01243 K01244
RP16127,0.494,2.4.2.1,K03783 K03784
RP04020,0.490,2.4.2.7,K00759
RP02306,0.489,2.4.2.1,K03783 K03784
RP04157,0.487,3.2.2.9,K01243
RP00861,0.473,2.4.2.7 2.4.2.8 3.2.2.4,K00759 K00760 K01241
RP03626,0.469,3.2.2.5 3.2.2.6,K01242
RP11113,0.468,2.4.1.-,K13493
RP13151,0.466,2.4.2.8,K00760
RP02963,0.465,2.4.2.19,K00767
RP13031,0.465,2.4.2.8,K00760
RP14754,0.462,2.4.1.17,K00699
RP15164,0.440,2.4.2.52 2.7.8.37,K05780 K05966 K06164 K06165 K06166 K13927 K13930
RP13245,0.407,2.4.2.8,K00760
RP03411,0.391,2.4.2.29,K00773 K15407
RP01276,0.361,2.4.2.17,K00765 K02502
