EC,Weighted Score,Observed Freq,Reactions
1.1.1,685.6,49,R00842  R00844  R01034  R01039  R01921  ... (38 reactions)
1.1.99,29.2,1,R01045
1.1.3,24.8,1,R00846
2.3.1,14.1,12,R04534  R04536  R04543  R04566  R04953
1.14.13,10.2,,
1.1.5,9.9,3,R00848  R00849  R08657
1.1.-,7.8,,
1.1.2,7.3,,
1.14.11,3.9,,
5.3.3,3.8,,
1.14.-,3.0,,
1.1.98,2.0,,
1.4.3,2.0,,
1.-.-,1.9,,
1.6.5,1.1,,
1.6.99,1.1,,
1.2.1,1.1,,
4.2.1,1.0,,
1.14.15,1.0,,
1.1.9,1.0,,
1.3.1,1.0,,
1.14.12,0.9,,
5.1.3,0.9,,
1.6.1,0.7,,
1.6.3,0.7,,
6.4.1,0.5,,
5.4.99,0.4,,
1.11.1,0.4,,
4.1.1,0.3,,
