RPAIR,Score,EC,KO
RP05353,0.104,4.2.3.119,K07384
RP05354,0.097,4.2.3.120,K07384
RP11141,0.096,4.2.3.24,K14178
RP01904,0.094,4.2.3.10,K15097
RP15066,0.089,4.2.3.67,K15809
RP02120,0.088,4.2.3.13,K14183
RP15038,0.085,4.2.3.50,K15798
RP01947,0.085,4.2.3.8,K12929
RP12981,0.081,4.2.3.58,K14185
RP09032,0.074,4.2.3.21,K14182
RP01906,0.074,5.5.1.8,K15098
RP12984,0.072,4.1.99.16 4.2.3.22,K10187
RP14389,0.071,4.2.3.39,K14176
RP14980,0.069,4.2.3.61,K15804
RP02118,0.069,4.2.3.9,K14180
RP02116,0.069,4.2.3.7,K12250
RP11146,0.068,4.2.3.37,K10156
RP02117,0.068,4.2.3.6,K12249
RP13638,0.067,4.2.3.73,K14181
RP15068,0.066,4.2.3.70,K15807
RP09176,0.065,4.2.3.17,K12921
RP15048,0.063,4.2.3.76,K15806
RP15046,0.062,4.2.3.69,K15799
RP14374,0.057,4.2.3.43,K14047
RP12978,0.052,4.2.3.57,K14184 K15808
RP05467,0.051,4.2.3.20,K15096
RP01909,0.051,4.2.3.16,K15088
RP05585,0.048,4.2.3.108,K07385
RP15063,0.048,4.2.3.55,K15794
RP12980,0.047,4.2.3.- 4.2.3.104,K14184
RP15287,0.047,4.2.3.38,K14177
RP11144,0.045,4.2.3.22,K10187 K15803
RP15054,0.045,4.2.3.40,K15795
RP15053,0.044,4.2.3.59,K15796
RP12985,0.042,4.2.3.56,K14186
RP05493,0.042,5.5.1.12,K12927 K14041 K14042
RP01949,0.042,5.5.1.13,K04120
RP11107,0.042,5.5.1.14,K12928 K14043
RP15483,0.039,3.1.7.10,K16086
RP15195,0.037,4.2.1.124,K15823
RP01619,0.036,1.14.99.1,K00509 K11987
RP15747,0.036,4.2.3.130,K16188
RP15064,0.034,4.2.3.60,K15802
RP15207,0.033,5.4.99.31,K15821
RP15556,0.033,5.4.99.52,K16204
RP15558,0.032,5.4.99.54,K16204
