EC,Weighted Score,Observed Freq,Reactions
1.1.1,470.9,12,R00286 R00421 R00501 R00880 R01158 ... (12 reactions)
2.6.1,82.7,,
1.4.3,44.5,,
1.1.3,31.2,4,R02132 R05695 R05821 R08212
1.1.99,21.7,,
1.14.13,21.4,2,R08725 R08726
1.5.3,11.8,,
4.2.1,9.9,,
1.14.14,9.7,1,R07107
1.14.11,8.8,,
1.1.-,8.0,,
5.3.3,8.0,,
1.1.2,8.0,,
1.4.1,7.9,,
1.14.15,7.8,,
1.1.5,5.4,,
1.5.1,4.8,,
1.23.1,4.0,,
1.13.12,3.4,,
1.14.-,3.0,,
1.13.11,3.0,2,R01305 R08864
1.5.99,2.9,,
1.8.3,2.9,,
1.4.9,2.9,,
1.1.98,2.0,,
1.4.2,1.9,,
1.-.-,1.3,,
1.11.1,1.2,,
2.3.1,1.2,,
1.4.99,1.2,,
1.3.1,1.0,,
1.13.-,1.0,1,R06889
1.14.19,1.0,,
2.-.-,1.0,,
1.10.1,1.0,,
1.14.99,1.0,,
1.7.3,1.0,,
1.1.9,1.0,,
1.2.4,0.9,,
4.3.1,0.4,,
1.6.5,0.3,,
1.6.99,0.3,,
5.4.99,0.3,,
1.17.5,0.2,,
1.6.1,0.2,,
1.6.3,0.2,,
4.1.1,0.2,,
1.2.1,0.2,,
2.2.1,0.2,,
1.4.7,0.2,,
