Reaction Name,E-zyme1,E-zyme2
1,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2|6.1.1;5.1.3|4.2.2;6.5.1|5.1.3;2.4.99|6.5.1;6.1.1|3.1.1;4.2.1|2.4.99;3.1.3|4.2.1;3.6.1|3.1.3;2.7.8|3.6.1;3.1.1|2.7.8;4.3.3,2.4.1|1.-.-|2.4.2|2.5.1;2.4.1|5.3.1|2.5.1;2.4.1|2.6.1|4.1.99;2.4.1|5.3.1|2.3.1;2.4.1|5.3.1|2.4.2|2.5.1;2.4.1|5.3.1;2.4.1|5.3.1;2.1.1|5.3.1|2.4.1;2.1.1|1.1.1|2.4.1;3.2.1|1.1.1|2.4.1;3.2.1|5.3.1|2.4.1;2.4.1|5.3.1;2.4.1|5.3.1|2.4.2;3.2.1|5.3.99|2.4.1;3.2.1|5.3.1|2.4.1;3.2.1|5.3.1|2.4.1;3.2.1|4.2.1|2.4.1;2.1.1|4.1.99|2.4.1;2.4.1|5.3.3|2.4.2;2.4.1|4.2.3|2.4.2;3.2.1|4.2.3|2.4.1;2.4.1|4.2.3;2.4.1|4.2.3|2.4.2;2.4.1|3.6.1;3.2.1|2.4.2;2.4.1|2.4.2;3.2.1|2.4.1;3.2.1|2.4.1;2.4.1|2.4.99;3.2.1|2.4.99;3.2.1|2.7.8;2.4.1;2.4.2|4.2.3;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1
10,,2.5.1|5.5.1;2.5.1|1.14.13;4.1.99|4.1.1;2.5.1|1.14.13;1.14.13;1.21.3;1.21.3;1.14.-;4.2.3;4.1.99;4.3.3;2.6.99;4.2.1;4.2.1;4.3.1;1.17.7;4.2.1;4.2.3;4.2.1;4.2.3;4.2.3;4.2.3;4.2.3;1.11.1;4.2.3;4.1.1;4.2.3;4.2.3;1.14.-;1.14.-;5.4.99
100,1.1.1|1.3.1;1.1.99|1.3.99;1.1.3|1.5.1;2.3.1|1.3.8;1.14.13|5.3.3;1.1.5|1.3.3;1.1.-|1.14.11;1.1.2|2.3.1;5.3.3|1.1.1;1.14.11|1.3.5;1.14.-|5.2.1;1.1.98|5.3.2;1.4.3|5.3.1;1.-.-|1.3.7;1.6.5|1.4.3;1.6.99|1.5.99;1.2.1|1.14.21;5.1.3;4.2.1|1.5.3;1.14.15|1.10.3;1.1.9|1.6.5;1.3.1|1.3.-;1.6.3|2.5.1;1.6.1|1.1.3;1.14.12|1.5.-;6.4.1|1.6.99;5.4.99|4.1.1;1.11.1|1.4.1;4.1.1|1.11.1;1.1.-;5.3.99;1.17.99;1.12.98;1.6.3;1.3.2;1.10.9;1.6.1;1.14.99;1.14.13;1.14.14;5.1.1;3.1.3;1.14.12;1.14.-;5.5.1;1.7.1;1.8.5;1.3.98,1.1.1|1.14.13|1.-.-;1.1.1|4.2.1|4.2.3|1.-.-;1.1.1|4.2.1|4.1.99;1.14.13|5.3.3|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|1.3.1|5.3.3;1.10.3|1.3.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.1|4.1.3|4.2.3;1.1.1|4.2.1|4.2.3;1.1.3|2.1.1|4.2.3;1.1.1|4.2.1|4.2.3;1.1.3|4.2.1|4.2.3;1.1.1|1.3.1|4.2.3;5.3.1|1.3.-|4.2.3;4.3.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.-|1.14.14;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3|4.1.99;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.1.1;1.1.1|4.2.3;1.1.1|2.1.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.21|4.2.3;1.1.1|4.2.3;4.2.1|1.14.-|4.2.3;1.1.1|4.2.3;1.1.5|4.2.3;4.2.1|4.2.3;1.3.1|4.2.3;1.1.1|4.1.99|1.14.20;5.3.99|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;1.1.1|1.14.14|1.3.1;1.1.1|4.2.3|4.2.99;5.1.3|1.14.14|1.14.-;4.2.1|4.2.3|1.3.-;1.14.11|4.2.3;1.1.1|4.2.3|1.3.1;1.1.1|4.2.3|4.2.1;1.1.3|4.2.3|1.1.1;1.3.2|1.3.1|2.5.1;1.1.1|2.5.1|4.2.3;1.1.1|4.2.3|1.10.99;5.1.3|1.10.99;2.1.1|4.2.3;1.1.3|1.10.99;5.1.3|1.1.1;5.1.3|5.4.99;1.14.13|1.1.1;1.14.13|4.2.3;1.1.1|4.2.1;1.1.1|4.2.3;1.1.1|2.5.1;1.1.1|2.5.1;2.1.3|4.2.3;1.1.1|4.2.3;1.1.1|5.3.99;5.3.3|4.2.3;1.1.1|4.2.3;5.1.3|2.2.1;1.3.3|5.3.99;1.1.1|4.2.3;1.1.1|1.3.1;1.1.1|1.3.1;1.1.1|4.2.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.14.-;1.14.-;4.2.1
101,1.1.1|1.3.1;1.1.99|1.3.99;1.1.3|1.5.1;2.3.1|1.3.8;1.14.13|5.3.3;1.1.5|1.3.3;1.1.-|1.14.11;1.1.2|2.3.1;5.3.3|1.1.1;1.14.11|1.3.5;1.14.-|5.2.1;1.1.98|5.3.2;1.4.3|5.3.1;1.-.-|1.3.7;1.6.5|1.4.3;1.6.99|1.5.99;1.2.1|1.14.21;5.1.3;4.2.1|1.5.3;1.14.15|1.10.3;1.1.9|1.6.5;1.3.1|1.3.-;1.6.1|2.5.1;1.6.3|1.1.3;1.14.12|1.6.99;6.4.1|1.5.-;5.4.99|4.1.1;1.11.1|1.4.1;4.1.1|1.11.1;1.1.-;5.3.99;1.17.99;1.12.98;1.3.2;1.10.9;1.6.3;1.6.1;1.14.99;1.14.13;1.14.14;5.1.1;3.1.3;1.14.12;1.14.-;5.5.1;1.7.1;1.8.5;1.3.98,1.1.1|4.2.3|1.-.-;1.1.1|4.2.3|1.-.-;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.3.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.3.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3|4.1.99;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;2.3.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|1.3.1;5.3.1|2.5.1;1.1.1|4.2.3;4.2.1|2.5.1;1.1.1|2.5.1;1.1.1|4.2.3;4.1.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;1.1.1|4.2.3;3.1.3|4.2.3;1.1.1|4.2.3;1.1.1|4.2.2;1.1.1|4.2.3;1.1.1|4.2.3;4.2.1|4.2.3;1.1.1|4.2.3;4.2.1;1.1.1
102,2.6.1|2.5.1;1.4.3|1.5.3|1.3.1;1.4.1|1.4.3|1.3.99;1.4.9|4.4.1|1.14.11;1.4.99|2.4.1|5.3.3;1.4.7|4.2.1|1.3.-;1.4.2|1.5.1|4.4.1;4.3.1|1.5.99|1.3.8;1.13.12|2.3.1|4.2.1;4.1.1|4.1.99|2.4.1;1.14.11|4.1.3|2.3.1;2.-.-|1.14.15|1.14.21;2.4.2|3.1.1|4.1.99;1.4.5|3.5.99|1.1.-;3.2.1|1.1.1;3.3.1|1.3.3;2.1.2|1.5.3;3.5.1|1.3.5;2.4.2|2.1.2;3.3.2|3.3.1;1.14.14|3.5.99;1.14.11|1.3.7;4.3.3|4.1.3;1.21.4|1.4.3;3.5.-|3.5.1;4.5.1|3.2.1;1.3.1|2.4.2;3.5.3|1.3.98;4.3.1|1.5.1;1.1.1|5.5.1;3.3.2;1.14.14;1.5.99,2.6.1|2.5.1|4.1.3|1.4.1;4.1.3|4.1.1|2.6.1;4.1.3|2.6.1;4.2.3|2.6.1;4.1.3|1.5.1;4.1.2|4.4.1;4.1.2|1.4.3;4.1.2|1.4.3;4.1.3|1.4.1;4.1.3|1.5.1;4.1.3|1.4.1;4.1.3|4.4.1;4.1.3|4.4.1;4.1.3|2.6.1;2.5.1|2.6.1;2.5.1|1.4.3;4.1.2|1.4.3;4.1.2|2.6.1;4.1.2|1.4.1;2.5.1|1.4.99;2.5.1|1.4.1;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1;1.4.3;4.3.1
103,1.13.12;2.1.1;1.14.13;1.14.14;1.11.1;1.14.99,1.14.12
104,2.5.1|3.1.4;1.5.3|6.5.1;4.4.1|4.6.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1;2.1.1|4.2.1|2.5.1;4.1.99|2.5.1;4.1.2|2.5.1|4.2.3;2.1.1|2.5.1;2.1.1|2.5.1;4.2.1|2.5.1|4.2.3;2.5.1|4.2.3;4.2.3;2.5.1;2.5.1;2.5.1;4.2.3;4.1.2;2.5.1
105,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.1.1|4.1.99|1.-.-|2.-.-;2.1.1|1.14.13|1.10.99|2.5.1;2.1.1|1.14.13|2.3.1;2.1.1|1.14.13;2.1.1|4.1.99;2.1.1|1.14.13;2.1.1|1.14.14;2.4.1|1.10.99;3.2.1|4.2.1;1.14.14;1.14.14;1.10.99;1.14.14;4.2.1;1.14.13;1.14.13;2.6.1;1.1.4;5.3.1;2.6.1;4.2.1;1.1.4;4.2.1;3.3.2;3.3.2;1.1.4;4.2.1;5.3.99;3.3.2;3.3.2;3.3.2;1.14.14;3.3.2;1.14.14;3.3.2;4.3.3
106,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;4.2.1;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.2.1;1.14.12;4.1.3;1.3.1;1.3.5;1.14.18;1.3.1;4.1.3;1.14.12;1.14.12;1.14.12;1.14.12;1.14.12;4.1.3;4.2.99;1.10.3;1.3.1;1.14.12;1.14.13;5.3.3;1.3.7;1.3.1
107,,3.5.4|4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.2.3;4.3.3;4.2.3
