reaction,left_comp,right_comp,left_smiles,right_smiles
R06161,"Bis-D-fructose 2',1:2,1'-dianhydride // H2O",Inulobiose,C1[C@@]2([C@H]([C@@H]([C@H](O2)CO)O)O)OC[C@@]3(O1)[C@H]([C@@H]([C@H](O3)CO)O)O.O,CC1=CC(=C(C=C1S(=O)(=O)Cl)C(=O)OC)O
R03997,"2,4-Dichlorophenol // Oxygen // NADPH // H//","3,5-Dichlorocatechol // NADP// // H2O",C1=CC(=C(C=C1Cl)Cl)O.O=O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+],C1=C(C=C(C(=C1O)O)Cl)Cl.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
R11162,Dibenzothiophene-5-oxide // Reduced FMN // Oxygen,"Dibenzothiophene-5,5-dioxide // FMN // H2O",C1=CC=C2C(=C1)C3=CC=CC=C3S2=O.CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O.O=O,C1=CC=C2C(=C1)C3=CC=CC=C3S2(=O)=O.CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O.O
R10554,N-Acetyl-D-glucosaminyldiphosphoundecaprenol,"N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
R05362,"2-Hydroxy-6-oxoocta-2,4,7-trienoate // H2O","2-Hydroxy-2,4-pentadienoate // Acrylic acid",C=CC(=O)/C=C/C=C(/C(=O)O)\O.O,C=C/C=C(\C(=O)O)/O.C=CC(=O)O
R03488,CMP-N-acetylneuraminate // Lactosylceramide,CMP // GM3,CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O.*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O.*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
R12467,4-Nitrobenzoyl-CoA // Malonyl-CoA // 4 (S)-Methylmalonyl-CoA // 4 NADPH // 4 H//,Demethylluteothin // 5 CO2 // 6 CoA // 4 NADP// // 3 H2O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(C=C4)[N+](=O)[O-])O.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O.C[C@@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+],CC1=C(OC(=O)C(=C1O)C)CC/C(=C/C(=C/C2=CC=C(C=C2)[N+](=O)[O-])/C)/C.C(=O)=O.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
R01573,ATP // D-Arabinose,ADP // D-Arabinose 5-phosphate,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.C1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N.C([C@H]([C@H]([C@@H](C=O)O)O)O)OP(=O)(O)O
R12881,Bergaptol // Geranyl diphosphate,Bergamottin // Diphosphate,C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O.CC(=CCC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)C,CC(=CCC/C(=C/COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/C)C.OP(=O)(O)OP(=O)(O)O
R11770,"2,4,6/3,5-Pentahydroxycyclohexanone // NAD//",3-Dehydro-scyllo-inosose // NADH // H//,[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,[C@H]1(C([C@@H](C(=O)C(C1=O)O)O)O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]
