MetaCyc Rxn	Euclidean distance to query
R04182	0.0541869643514842
R05109	0.05715092412973472
R03490	0.05767895079261305
R04656	0.06076897892040208
R12037	0.06281485944818382
2.4.1.53-RXN	0.06436247288743874
RXN-18274	0.06439902865644702
RXN-18020	0.06508004851739818
R12963	0.06664064502293493
R04654	0.06814049619695157
2.4.1.92-RXN	0.06881060887475147
R04586	0.06976084169196912
RXN-18271	0.07045998608482483
R04331	0.07082637784870573
RXN-13275	0.07115078539237826
R04216	0.07144101470031702
RXN-8976	0.07180379395828558
RXN-18307	0.07227226839001255
R04494	0.07274158893531081
2.4.1.79-RXN	0.07314003131834963
RXN-18294	0.07344816558650517
NACGLCTRANS-RXN_f	0.07428222346503843
NACGLCTRANS-RXN_r	0.07428222346503843
R12636	0.07433495295623717
RXN-11029	0.07458300280527555
3.2.1.17-RXN	0.07589980784184618
RXN-18044	0.07749502499115954
RXN-13597	0.07759170817275
UDPMANACATRANS-RXN	0.07799933120175973
RXN-18045	0.07806891340173631
R04581	0.07814892705241358
RXN-12366	0.07915968383702532
RXN-13274	0.07935994505300925
R04610	0.07952035481497001
R04632	0.08043251793972148
R05111	0.08062459955880918
GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN	0.08093682212018168
RXN-15971	0.08109230816735835
RXN-18067	0.08129550608540738
R13159	0.08129735608251178
R13160	0.08142831874381468
R12806	0.08148719173243164
RXN-18278	0.08150264531255247
2.4.1.142-RXN	0.08165543985586766
R05629	0.08196000619029475
RXN-18058	0.08306590975922074
RXN-18066	0.08359145573314289
R03486	0.08396025592198854
RXN-18065	0.08399840542431945
RXN-14560	0.08429724285054899
RXN-13277	0.08481700625723898
R04082	0.08506683084026018
RXN-18060	0.08588114999875586
RXN-11075	0.08590366294989385
RXN-13315	0.08695233461090547
RXN-9385	0.08703084924142408
RXN-18295	0.08793466374733024
RXN-18017	0.08800642592341017
2.4.1.141-RXN	0.0881709704921728
RXN-15635	0.08870195456004101
RXN-2882	0.08906632156207342
R01008	0.08913726532323543
R08966	0.08930575536757665
2.4.1.206-RXN	0.0893543816335686
RXN-11072	0.08953016753666017
RXN-18273	0.08964864082679694
R09734	0.08971819885554234
TEICHOICSYN5-RXN	0.08979529180958981
R13158	0.0900367408894654
R04648	0.09010190108391758
R12474	0.09019721407419244
TEICHOICSYN2-RXN	0.09104301693951912
RXN-9995	0.09119498930062647
R10901	0.09128642865223814
2.1.1.86-RXN_f	0.0924325537677211
2.1.1.86-RXN_r	0.0924325537677211
2.3.1.101-RXN_f	0.09250279018771519
2.3.1.101-RXN_r	0.09250279018771519
RXN-14563	0.09297409103866038
6.3.2.7-RXN	0.09308637022235759
RXN-2884	0.09314078465854563
UDP-NACMURALGLDAPLIG-RXN	0.0932994578197554
R13153	0.09355819942245827
RXN-5463	0.09357201179625683
R11029	0.09360383196744039
R04016	0.09518661611373212
RXN-14400	0.09559084516555177
RXN-21325	0.09576936515758318
RXN-18773	0.09591394749779099
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	0.09608355555433162
RXN0-3521	0.09617482720295627
FTRMBARK-RXN_f	0.09641001754758466
FTRMBARK-RXN_r	0.09641001754758466
RXN-11789	0.0965557004010242
RXN-18260	0.09687156835527931
2.4.1.153-RXN	0.09689906489831639
RXN-16569	0.09689906489831639
RXN-18298	0.09723342458328775
R04596	0.0972576318378484
R06487	0.09761083596292405
MTDMBARK-RXN_f	0.09811282551399582
MTDMBARK-RXN_r	0.09811282551399582
RXN-18270	0.09817430666560724
RXN0-7344	0.09824145251431199
RXN-8474	0.09833093926356234
RXN-20983	0.09841797989320647
RXN-13821	0.09843003865337148
RXN-18772	0.09856943140392889
RXN-18036	0.0986357256672842
R12207	0.09874791849506016
R06497	0.09917256071865257
RXN-21213	0.09930472404057385
RXN-14562	0.09935818468526385
RXN-21331	0.09957004835899794
R05112	0.09985524225434367
RXN-16251	0.10018645391453768
RXN-21214	0.1002496155724365
RXN-16571	0.1013502300429609
RXN-14837	0.10143136940027585
RXN0-7343	0.10150017973994685
RXN-20710	0.10166541417537317
RXN-15278	0.10183544970347612
RXN-8475	0.10201826793702751
RXN-12230	0.10234867412305841
RXN18C3-12	0.1023601523783823
RXN-13799	0.10246171707651346
RXN0-5225	0.10248458765731114
RXN-21328	0.1026180342509763
RXN-13813	0.10266544720942737
RXN-13316	0.10301601497212858
RXN-13314	0.10301601497212858
RXN0-5123	0.10303984184373187
2.4.1.228-RXN	0.10311883188274505
R08218	0.10317112765858112
RXN-12265	0.10332798680124365
RXN-21323	0.10333408750336796
R09774	0.1033595598961355
RXN-11805	0.1033727270933888
RXN-5467	0.10367135747129057
RXN-5466	0.10367135747129057
R12384	0.10371392774369403
RXN-8081	0.10373726870027526
R07636	0.10394370183754369
RXN-14561	0.10400191874343938
RXN-6261	0.10436503938463909
RXN-20785	0.10446718156427376
RXN-11806	0.10481767361615885
R08819	0.1050425085802347
2.4.1.150-RXN	0.10558296245526595
RXN-18771	0.105803421298577
RXN-19360	0.10600636244394075
RXN-12320	0.10666678464715218
R06074	0.10713647809983257
R11555	0.10716678198007631
RXN-19361	0.10815788737235599
R08765	0.10877183819860148
LIPIDADISACCHARIDESYNTH-RXN	0.10888442900431171
RXN-18042	0.10898414068287456
R02389	0.10936548549226337
RXN-8476	0.10962659782661854
2.4.1.83-RXN	0.10975889374058528
RXN-16602	0.10975889374058528
R11925	0.10987200371855974
RXN18C3-11	0.10998411322149128
R05327	0.11004568759160745
R04617	0.11012761315120319
RXN-19356	0.11044735673774156
R10263	0.11074433725926042
R10813	0.11146585771431429
RXN-19695	0.11210062489936064
2.4.1.54-RXN_f	0.11211378761817865
2.4.1.54-RXN_r	0.11211378761817865
R01472	0.11217643931998927
RXN-14557_f	0.11298606286378743
RXN-14557_r	0.11298606286378743
R09766	0.11321757280624904
RXN-11802	0.1133126073508628
RXN18C3-16	0.11454228314991113
3.4.17.14-RXN	0.11470862906291653
GLYCOSYLCERAMIDASE-RXN	0.11487506592879138
R06451	0.11489861292287845
R00161	0.1151034574760393
R04242	0.11530111732220215
R09596	0.11532403365150212
R11282	0.11535349040860786
R10822	0.11544902177177697
R11965	0.11565244852588016
R02030	0.11609134069136755
RXN-5472	0.11684832806044329
R07924	0.1168641762536778
RXN-19704	0.11713005295731653
RXN-12324_f	0.11736099936101058
RXN-12324_r	0.11736099936101058
RXN-14361	0.11775783916631723
RXN-14559	0.11806126534999122
RXN18C3-13	0.11812835073746329
R03036	0.11828797694605532
RXN-13517	0.11830107102186534
2.4.1.86-RXN	0.11842544654821664
R06496	0.11847330634594717
RXN-16750	0.1184876698239906
RXN-8883	0.1186077726427866
R12059	0.11870431762841625
2.4.1.117-RXN	0.11886028660829837
RXN-18261	0.11894209768132265
R04662	0.11897650560810293
RXN-11133	0.11943847777546142
RXN-12745	0.119629229452348
RXN-11112	0.11965399858692019
PRIBFAICARPISOM-RXN	0.11972339122421495
RXN-14633	0.12002953180498713
R10530	0.12002953180498713
RXN-14478	0.1201986810338941
RXN-11792	0.120242057871442
RXN-12042	0.12082518480133761
RXN-21322	0.12102700911383885
UDP-NACMUR-ALA-LIG-RXN	0.12105169169050654
RXN-19696	0.12126182255508677
RXN-10673	0.1213133867964071
RXN-15330	0.12154519534769481
2.4.1.78-RXN	0.12160053534570099
R04575	0.12194084410280437
RXN-14605	0.1219474312397093
R09331	0.12229444137127378
R11203	0.12230552238746112
R09735	0.12240969017070395
RXN1G-811	0.12258485251555955
RXN1G-807	0.12258485251555955
RXN1G-810	0.12258485251555955
RXN1G-809	0.12258485251555955
RXN1G-808	0.12258485251555955
R08824	0.12263829526084127
RXN-19251	0.12265549911284583
RXN-13518	0.12288080511348175
RXN-5462	0.12289593935756632
RXN0-5120	0.12304091808423773
FADSYN-RXN_f	0.12311243776317671
FADSYN-RXN_r	0.12311243776317671
RXN-10672	0.12340573979215518
3.4.24.32-RXN	0.12348307080540029
RXN-12819	0.12369646187522186
R12562	0.12373396286985447
R07912	0.12374816292745741
RXN-19359	0.12376938298785987
R10496	0.12392996481717473
RXN-16903_f	0.1241253492839073
RXN-16903_r	0.1241253492839073
RXN-16570	0.1241253492839073
R12348	0.12425489705471462
RXN-10647	0.12462641804989825
UDP-NACMURALA-GLU-LIG-RXN	0.12493406011385859
R04507	0.12497041299150785
ATPPHOSPHORIBOSYLTRANS-RXN_f	0.12497970122153135
ATPPHOSPHORIBOSYLTRANS-RXN_r	0.12497970122153135
RXN-14980	0.12528439108503667
RXN-19314	0.12539927991670122
RXN-17213	0.12541391001667376
RXN-16649	0.12546801938369295
RXN-17238	0.1254885164057458
RXN18C3-10	0.12555707042410147
R09831	0.125616632599627
RXN-11142	0.12569813688476275
R10220	0.125895975500366
RXN-19358	0.12600573823666267
RXN-8884	0.12606480398729944
RXN-19315	0.12615954413135794
R07258	0.126436060841073
RXN-18250	0.12645680706631174
RXN-19700	0.1268140724614634
PANTEPADENYLYLTRAN-RXN	0.12688746549661642
RXN0-5124	0.1272696115736773
RXN-9162	0.12748781562899755
R07397	0.12761645905684482
RXN-13514	0.12762190777535046
1.8.1.15-RXN	0.12771139762943812
RXN-18247	0.12778421932853445
3.2.1.129-RXN	0.12812588342849862
R05637	0.12814324398989527
R12865	0.12843186516782937
R07914	0.12846768436671066
RXN0-6254	0.12858097459339562
RXN-10029_f	0.12860051866103492
RXN-10029_r	0.12860051866103492
RXN-19357	0.1287167029505187
RXN-18257	0.12903484919822136
R12330	0.1293200899306995
RXN-19175	0.1293504045429696
RXN-19176	0.1293504045429696
R10611	0.12940186558819997
RXN-18254	0.12949010114928106
R05113	0.12976662724883195
RXN18C3-14	0.1301389945613041
RXN-19043	0.13021790236320266
R06770	0.13024335248347743
RXN-18246	0.13045679465446525
RXN-19139	0.13064622028051015
RXN0-5208	0.13071233762870882
RXN-19173	0.13071342750196943
RXN-19047	0.1308655051761758
RXN-18251	0.13089912696614506
RXN-12319	0.1310630810916583
RXN-19174	0.131196208241067
RXN18HP-7	0.131196208241067
RXN-13176	0.13130095171957257
COBINPGUANYLYLTRANS-RXN	0.13146801862509427
3.6.1.41-RXN	0.13152501271131006
RXN0-5125	0.13154599394010597
RXN-14616	0.1317749506850532
RXN0-262	0.1319237319483967
R12340	0.13199516831923816
R346-RXN	0.13217893056264757
RXN-16249	0.13239867686546988
RXN-15681	0.13244625083702977
R12899	0.13245790510984504
RXN-13648	0.13257506551953502
RXN-21211	0.13266300307620016
R08353	0.1326738616510081
2.3.1.176-RXN	0.13277101843306266
RXN-20145	0.13285756624091893
RXN-7064	0.1328584794304178
RXN-9850	0.133084072048363
RXN-13209	0.13309605961301096
RXN-16427	0.13310602244039843
R11582	0.13326861244310573
RXN-8472	0.13330670901892205
RXN-17447	0.13357860264045363
2.4.1.149-RXN	0.13375772595819538
R01460	0.1338195960881038
RXN-9800	0.13383386281397108
R06450	0.1338370495398543
RXN-19699	0.1339879256357519
R12200	0.13404931338041265
RXN-15276	0.13413060009635722
RXN-16596	0.1343688654055082
R12397	0.1343807211009057
R07175	0.13454183105204812
RXN-17438	0.13474760300761487
RXN-15680	0.13475667142361808
6.3.1.9-RXN	0.13484394206283665
RXN-14609	0.13486984728826942
RXN-14285	0.13498073394221397
RXN-13819	0.13530197012656914
RXN-16276_f	0.13542774144661504
RXN-16276_r	0.13542774144661504
RXN-19703	0.1354386802767656
R10955	0.13563986911800754
R04863	0.13565250987178745
RXN-12686	0.1357413090928805
RXN-17832	0.13599326596559647
RXN-17178	0.13605585155878167
R02598	0.1361514614271575
R12199	0.13632013335555263
RXN-12919	0.1363717300002759
RXNARA-8002	0.13641687294316693
RXN-17442	0.13654853087805754
RXN-12706	0.13654898509812685
R10293	0.13657821063318232
R13395	0.1366486744202196
RXN-5469	0.13690432376096087
R07913	0.13735115781658785
RXN-18857	0.13741171814862135
