Reaction ID,CLAIRE
R06161,1.11.1;1.11.2;4.99.1;4.4.1
R03997,1.6.3;1.17.3;1.7.1;1.14.13
R11162,1.14.14;1.14.13;1.13.12;4.99.1
R10554,5.1.3;3.2.1;2.4.1;5.3.1
R05362,3.7.1;4.1.1;3.1.1;2.3.1
R03488,4.2.2;2.4.99;3.2.2;3.2.1
R12467,2.5.1;1.8.1;4.4.1;1.3.1
R01573,2.7.1;3.6.1;3.1.3;2.4.2
R12881,5.5.1;4.2.3;2.5.1;3.1.7
R11770,1.7.1;1.6.2;1.16.1;1.8.1
R02196,1.7.1;1.7.2;1.6.2;1.7.99
R00739,5.4.3;3.4.11;3.4.13;5.1.1
R00120,1.11.1;1.10.3;1.16.1;1.8.4
R09818,1.6.3;1.14.13;1.14.18;1.14.12
R01860,4.1.1;4.4.1;3.7.1;4.2.1
R09628,2.5.1;5.3.99;5.5.1;2.2.1
R01299,1.6.3;1.14.13;1.14.18;1.10.3
R09187,4.4.1;4.2.1;1.14.14;5.4.4
R03493,5.5.1;4.2.1;5.3.3;4.4.1
R00226,4.1.3;4.1.1;3.7.1;4.2.99
R02165,1.7.99;1.7.5;1.7.1;1.7.3
R11921,4.99.1;5.3.3;4.2.2;5.3.99
R02516,1.6.3;1.14.13;1.14.18;1.14.12
R05602,4.2.1;4.4.1;5.4.4;1.14.14
R06906,4.4.1;2.3.1;4.2.1;4.1.2
R11826,5.5.1;4.2.3;2.5.1;4.2.1
R07397,2.7.7;2.4.2;7.6.2;7.4.2
R01083,4.1.1;2.2.1;2.5.1;4.4.1
R00514,3.6.1;3.1.3;3.6.5;3.6.4
R11329,1.7.3;1.7.2;1.13.12;4.99.1
R07618,1.14.13;1.6.3;1.14.14;1.13.12
R05551,3.5.1;3.4.19;3.4.11;4.4.1
R01066,4.1.2;5.3.1;4.2.1;5.4.4
R03251,1.8.1;1.7.1;1.1.1;1.7.2
R01203,5.4.2;3.2.1;3.6.1;3.1.3
R08245,3.5.4;3.2.2;2.4.2;4.1.99
R08185,3.1.2;2.8.3;3.1.1;2.3.1
R04285,1.7.1;1.7.99;1.1.1;1.16.1
R10655,2.4.2;2.5.1;2.4.1;4.1.3
R04455,3.5.4;1.5.99;1.7.1;1.17.3
R09736,2.1.1;2.5.1;2.3.3;4.4.1
R08529,3.1.4;3.6.1;3.1.3;3.1.7
R09224,1.7.1;1.1.1;1.3.1;1.14.12
R08932,2.1.1;2.5.1;2.3.3;4.4.1
R02485,3.5.4;3.5.3;3.5.99;3.8.1
R02512,1.4.3;3.5.1;3.5.2;1.5.99
R01600,2.7.4;2.7.1;7.5.2;3.6.1
R08859,2.4.1;4.2.2;3.2.1;2.4.2
R00914,2.3.1;3.1.2;1.2.4;2.8.3
R02248,3.1.3;3.6.1;3.1.7;4.2.3
R10021,1.7.1;1.8.1;1.6.2;1.7.2
R09825,3.7.1;2.2.1;4.1.1;5.3.1
R06923,4.2.1;4.4.1;5.4.4;2.3.1
R05409,1.13.11;3.3.2;1.13.99;1.14.99
R05676,2.1.1;2.5.1;2.3.3;4.4.1
R06028,3.1.3;3.6.1;2.4.1;1.14.19
R12615,1.2.3;1.6.3;1.1.3;1.13.11
R02644,5.3.3;2.5.1;1.3.1;1.1.1
R07229,1.7.2;1.8.2;1.7.3;7.1.1
R07960,1.7.1;1.6.2;3.6.1;2.4.2
R13347,5.5.1;5.4.99;5.3.3;4.2.3
R12549,4.1.1;2.5.1;4.4.1;2.7.8
R03227,1.8.1;1.7.1;1.1.1;1.16.1
R09315,3.6.1;2.7.1;2.4.2;3.1.3
R01029,3.1.1;2.3.1;3.1.2;3.5.1
R08101,1.14.13;1.6.3;1.14.14;1.6.2
