Reaction ID,SIMMER
R12727,3.6.1;2.7.1
R06199,3.2.1
R09992,5.5.1
R00111,1.14.13;1.1.1
R10729,
R12200,2.3.1
R02865,2.7.1
R08999,1.1.1
R07226,3.5.1
R12349,2.4.1;3.2.1
R09664,3.1.3
R04538,5.1.3
R02430,2.7.1
R03731,2.1.1
R02565,1.2.1;1.17.1;1.1.1
R12496,2.3.1
R12604,1.1.1
R10293,2.4.1
R11466,3.1.8
R01321,3.7.1
R13445,1.14.13;1.3.1
R01869,1.3.1;1.1.1
R11826,4.2.3
R13412,2.5.1
R09224,1.1.1
R12468,2.3.1
R04230,2.7.1;6.3.2
R09975,4.2.3
R11560,3.5.1
R09987,1.1.1
R13442,2.6.1
R01268,3.5.1
R05279,
R04203,1.1.1
R12274,3.1.1
R07447,1.3.1;1.1.1
R06368,6.2.1;2.3.1
R06114,3.1.4;3.2.1
R01460,3.2.1
R12065,
R05551,3.5.1
R07618,1.13.12;1.3.1
R07433,2.3.1
R00224,4.1.1;4.4.1
R11162,
R01563,3.5.1;2.6.1
R02485,3.5.4
R12376,1.1.1
R11803,2.7.1
R05748,1.20.4;1.8.4
R06028,
R12291,3.5.1
R04952,3.1.1
R01850,2.3.1
R08924,6.4.1
R01231,3.5.4
R01966,3.2.1
R12039,2.3.1
R02611,1.1.1
R05113,2.4.1
R10554,5.1.3
R00273,4.1.1
R10917,1.1.1
R10554,
R09751,
R04515,
R08781,2.1.1
R05399,1.14.12;1.1.1
R09298,
R11921,3.5.1
R12761,5.3.1;4.2.1
R07072,3.3.2;3.8.1
R11032,1.5.1;1.1.1
R07913,2.4.2;2.4.1
R12936,2.6.1
R01837,1.1.1
R07170,1.5.3
R02024,
R03450,3.1.3
R01942,2.1.1
R09831,3.2.1;2.4.1
R10856,
R06132,1.21.98
R10169,2.1.1
R12447,2.1.1
R13263,1.3.1;1.1.1
R03275,5.4.3
R07649,4.2.3
R11381,5.3.3
R02777,1.1.1
R06700,3.7.1
R12737,2.3.1
R02009,4.2.3
R03997,
R08083,1.8.1;1.1.1
R05827,1.1.1
R10573,1.1.1
R07085,1.5.1;1.1.1
R12087,
R01609,
R01676,3.5.4
R10778,3.5.2
R10534,3.5.5;3.13.1
R02368,3.1.1
R02961,2.1.1
R00529,2.7.7
R10529,2.3.1
R00838,3.2.1;2.4.1
