Reaction,SelenzymeRF
R00001,2.7.4.6
R00014,1.2.4.1|2.2.1.6|4.1.1.1
R00022,3.2.1.169;2.7.1.59|5.1.3.8;3.1.4.45;3.2.1.52
R00026,3.2.1.108|3.2.1.23
R00027,4.1.2.26;1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.2.1.28|1.2.1.7;4.1.1.7;1.2.1.28|1.2.1.3|1.2.1.64;1.2.1.29;3.5.1.13
R00042,1.14.13.1;1.14.14.36;1.14.11.13;1.13.11.15;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;4.1.1.68;4.1.1.77;1.13.11.1
R00043,1.4.3.4;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1
R00053,3.7.1.-|3.7.1.8;2.4.1.238;2.1.1.68;2.1.1.6;5.5.1.6;2.1.1.128;2.4.1.170;2.1.1.116|2.1.1.121;3.2.1.21
R00057,1.4.3.2;1.4.3.3;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.22|1.4.3.4
R00063,2.3.1.92;3.2.1.22;3.2.1.107;3.2.1.21
R00102,2.4.99.20;2.4.2|2.4.2.1
R00111,1.14.13.26;1.14.13.25;1.2.1.95;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R00118,2.4.99.20;2.7.1.25;2.7.7.91;6.3.5.9;3.1.3.62
R00119,2.4.99.20;1.1.1.146|1.1.1.184|1.3.1.20;1.2.1.7;1.2.1.28|1.2.1.7;1.14.12.18;1.14.12.10;1.2.1.28|1.2.1.3|1.2.1.64
R00120,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.8.4.2
R00126,2.7.4.6
R00131,1.4.4.2
R00132,4.1.1.112|4.1.1.3;2.7.8.23;1.14.13.1;4.1.1.77;1.1.1.286|1.1.1.87;4.1.1.55;1.3.1.25;4.1.1.68;4.1.1.98
R00146,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.272;1.1.1.375
R00161,2.7.7.2;3.6.1.18|3.6.1.9
R00181,2.1.1.67;2.3.1.24;2.3.1.26;2.3.1.76;6.3.5.9;3.6.1.-|3.6.1.19;2.4.99.20;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;3.5.4.5
R00192,2.1.1.15;2.1.1.80;4.2.1.22;6.3.5.9;2.5.1.48;3.2.2.19;3.2.2.24;2.3.1.24;2.6.1.57;2.7.8.24;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.8.11;3.5.1.114
R00200,2.7.1.40;6.3.5.9;2.7.8.23;3.2.2.19;3.2.2.24;3.6.1.21|3.6.1.9
R00205,1.2.1.19|1.2.1.23|1.2.1.49;1.2.1.19|1.2.1.22|1.2.1.23|1.2.1.3
R00207,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2;1.2.1.29|1.2.3.1;1.4.3.19|1.4.3.3
R00208,2.7.1.40;2.5.1.54|2.5.1.55
R00209,1.1.1.36;1.1.1.211|1.1.1.35
R00212,2.3.1.180
R00216,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.272;1.1.1.375
R00223,4.3.1.15;2.6.1.57;3.5.1.114;4.4.1.13;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R00224,4.1.1.1;4.1.1.77;4.1.1.55;4.1.1.98
R00226,4.1.1.1;2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.180
R00227,2.3.1.180
R00228,1.1.1.36;1.1.1.211|1.1.1.35
R00230,2.3.1.180
R00268,1.1.1.286|1.1.1.87;4.1.1.68;4.1.1.112|4.1.1.3;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87
R00271,2.3.3.13|4.1.3.-
R00273,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.21|1.4.3.22
R00277,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.4
R00294,1.7.2.1|7.1.1.9
R00299,2.7.1.1|2.7.1.55;2.7.1.1;5.4.2.2;2.7.1.147;2.7.1.1|2.7.1.2
R00301,1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.119|1.1.1.179;1.1.1.233;1.1.1.21;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.1.1.272;1.1.1.375;1.1.1.184;1.1.1.2|1.1.1.71
R00308,2.7.1.147;2.7.1.1|2.7.1.2
R00310,2.1.1.11;1.3.1.75;6.3.5.9;2.3.1.74
R00332,2.7.4.6
R00334,3.6.1.5;3.6.1.15|3.6.1.5
R00337,5.4.2.2;3.2.1.22;3.2.1.107;2.4.1.245;5.4.2.6;3.2.1.23
R00365,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.337|1.1.1.375
R00375,3.6.1.-|3.6.1.19;6.3.2.-|6.3.2.45;2.7.7.91;2.7.1.5;2.7.1.1;2.7.1.1|2.7.1.55;6.3.1.9;2.7.7.89
R00376,3.6.1.-|3.6.1.19;2.7.7.91;6.2.1.4;6.3.2.-|6.3.2.45;2.7.1.5;6.3.1.9;6.3.2.42;2.7.1.1
R00388,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.17.3.2;1.2.1.29|1.2.3.1;1.4.3.19|1.4.3.3
R00391,2.3.1|2.3.1.-|2.3.1.16
R00399,2.3.1.180
R00401,3.5.5.1;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R00406,2.8.3.5;4.2.1.17;4.2.1.-|4.2.1.134
R00418,3.2.1.183|5.1.3.14|5.1.3.7;2.4.1.175;2.4.1.255;2.4.1.198;2.4.1.149;2.4.1.224;2.4.1.313;2.4.1.143;2.4.1.223;2.4.1.92;2.4.1.88;2.4.1.312;2.4.1.147;2.4.1.145;2.4.1.150;2.4.1.155;2.4.1.144;2.4.1.165;2.4.1.201
R00420,3.2.1.183|5.1.3.14|5.1.3.7;2.4.1.175;2.4.1.255;2.4.1.198;2.4.1.149;2.4.1.224;2.4.1.313;2.4.1.143;2.4.1.223;2.4.1.92;2.4.1.88;2.4.1.312;2.4.1.147;2.4.1.145;2.4.1.150;2.4.1.155;2.4.1.144;2.4.1.165;2.4.1.201
R00426,2.7.7.91;6.3.2.34;3.6.1.-|3.6.1.19;3.6.1.21|3.6.1.9
R00429,4.6.1.15;3.6.1.21|3.6.1.9
R00431,4.1.1.77;4.1.1.68;4.1.1.55;2.3.1.180
R00432,2.3.1.61;6.2.1.4;2.3.1.-|2.3.1.39|2.3.1.85|2.3.1.86;2.3.1.225
R00434,3.6.1.-|3.6.1.19;2.7.4.6
R00439,3.6.1.59;2.7.7.14|2.7.7.an;6.2.1.5
R00441,3.6.1.-|3.6.1.19;2.7.4.6
R00442,3.6.1.-|3.6.1.19;2.7.4.6
R00449,1.14.14.42;1.14.11|1.14.11.-|1.14.11.13;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.14.13.1;1.2.3.1
R00453,4.3.1.15;1.1.2.3;1.1.2.4;2.6.1.21;1.1.99.6;4.1.3.32;2.6.1.57;2.6.1.88;2.6.1.14;1.1.1|1.1.1.10|1.1.1.153|1.2.1.3
R00457,2.6.1.57;3.5.1.132;2.6.1.-|2.6.1.118|2.6.1.ah;3.5.1.130|3.5.1.ai;2.6.1.-|2.6.1.11;4.1.1.95;2.6.1|2.6.1.1
R00466,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.2.1.29|1.2.3.1;1.4.3.21|1.4.3.22
R00471,4.3.1.15;2.7.1.40;3.7.1.5;2.6.1.14;4.1.3.1
R00473,4.2.1.17;4.2.1.-|4.2.1.134
R00481,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2;1.4.3.19|1.4.3.3
R00486,3.5.5.1;2.6.1.57;3.5.1.114;4.2.1.84;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R00489,4.1.1.68;4.1.1.95;4.1.1.112|4.1.1.3;1.1.1.286|1.1.1.87;2.3.1.180
R00499,1.8.4.2;1.8.1.12;3.1.2.6
R00506,2.4.1.245;2.7.4.6
R00507,2.8.2.2;2.8.2.1;6.3.5.9;2.8.2.15;2.8.2.24;2.8.2.14;2.8.2.3;2.8.2.36;2.8.2.-|2.8.2.38;2.3.1.199;2.7.7.53;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298
R00511,5.4.2.2;2.4.99.6;2.7.1.60;2.7.1.1
R00514,2.7.7.14|2.7.7.an;3.6.1.26;2.7.8.41;2.7.7.15;3.6.1.5;2.7.7.91;2.4.99.3;5.4.2.2
R00518,6.3.5.9;2.7.1.5;2.7.1.1;2.7.1.1|2.7.1.55;2.7.1.60
R00529,6.3.5.9;3.6.1.21|3.6.1.9
R00535,1.14.14.1;2.8.2.15;2.8.2.1;2.8.2.36;2.8.2.24
R00537,2.8.2.15;2.8.2.36;2.8.2.1;2.8.2.24;2.8.2.14;2.8.2.-|2.8.2.38;6.3.5.9;2.3.1.25;2.3.1.23;2.7.1.25
R00539,3.6.1.7
R00543,3.7.1.5;3.5.1.114;3.5.1.15;3.5.1.83;3.5.1.82;3.1.1.3|3.1.1.34|3.1.1.79
R00549,2.7.1.26;2.7.1.161;3.1.3.102|3.1.3.104|3.1.3.2
R00575,6.3.5.9;6.3.1.2;6.3.2.11;2.7.7.89;6.3.2.42;6.3.2.-|6.3.2.45;6.3.1.9;6.3.2.32;5.4.2.2
R00578,6.3.5.9;6.3.1.2;5.4.2.2;3.4.13.18|3.4.13.4;6.3.2.32;5.3.1.6
R00588,4.3.1.15;2.6.1.57;3.5.1.114;2.6.1.22;3.5.1.114|3.5.1.14;3.1.1.3
R00594,2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.17;2.1.1.98;2.1.1.80;2.1.1.77
R00599,2.1.1.17;2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.98;2.1.1.85;2.1.1.297|2.1.1.298
