reaction,EC_number_predicted
213,
244,
215,
209,
250,
248,3.2.1.22;3.1.1.93;3.2.2.3;4.3.3.5
251,
240,
210,2.1.1.72;2.1.2.3;2.3.1.101;2.8.4.4;2.1.3.2
234,3.2.2.8;3.2.1.22;3.1.1.93;4.3.3.5
238,3.2.1.107;3.1.1.93;3.2.2.11;4.3.3.5
243,
228,
253,
245,
223,
214,
208,
205,
242,
249,
227,
247,
212,
254,1.1.1.144;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.56;1.1.99.9;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
222,
252,
218,
236,1.1.1.159;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
235,3.2.1.170;3.1.1.93;3.2.2.24;4.3.3.5
225,
226,3.1.3.90;3.1.4.50;3.2.1.42;2.4.1.17;4.6.1.13;3.6.1.20;3.1.1.17;3.1.6.9;5.1.3.14;3.1.5.1;4.2.3.1;3.1.7.2;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
206,1.1.1.343;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;1.1.3.8;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
237,
233,
207,
232,1.1.1.381;1.2.1.3;2.3.1.85;1.17.1.10;1.3.1.20;1.2.4.1;1.8.1.4;1.2.5.1;1.1.3.39;1.2.3.13
221,
220,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
224,
231,
217,4.2.1.98;1.14.13.197;4.2.3.141;3.1.7.12;4.2.99.20;3.2.1.186;3.7.1.21;2.3.1.85;4.3.3.3;1.1.1.286;4.3.1.9;4.1.1.56;3.3.1.1;1.2.1.31;1.4.1.18;5.5.1.6;2.5.1.119;3.5.5.4;1.3.8.6;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23
239,
211,3.1.3.89;3.1.1.33;3.1.4.3;4.2.3.1;3.1.6.3;3.6.1.7;3.1.5.1;3.11.1.3;4.6.1.13;3.2.1.42;2.4.1.17;3.1.2.31;3.1.7.6;5.1.3.14;2.3.1.85;4.2.1.155;3.7.1.8
230,2.3.1.148;6.2.1.1;6.1.2.2;2.1.3.12;1.2.1.95;6.3.1.20;6.3.4.10;2.3.2.14;2.3.3.9;2.1.2.13
204,
246,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
229,
219,
216,
241,1.13.11.57;1.13.12.23;1.13.99.1;1.14.13.239
181,
173,
180,
196,2.5.1.19;2.4.1.321;2.1.3.12;2.4.2.27;4.4.1.20;1.3.1.96
202,
197,
178,
168,4.1.1.78;1.14.14.44;4.99.1.7
190,2.4.1.231;2.5.1.7;2.1.3.12;2.4.2.34;4.4.1.20;1.3.1.96
153,1.1.1.114;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.3.4;1.1.99.18;4.1.1.5;5.4.99.3;1.1.5.4;1.4.3.5;4.2.1.155
183,3.5.1.19;3.5.5.1;3.1.1.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.2.16;3.4.11.1;3.5.4.1;3.4.13.22;2.3.2.2;3.4.19.13;3.4.17.8;3.5.3.21;4.2.1.48;3.13.1.6;3.4.14.13;3.5.99.8;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
175,3.2.1.163;3.1.1.93;3.2.2.19;4.3.3.5
195,
170,
163,1.2.1.23;1.1.1.80;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.76;5.4.99.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
155,
198,
182,2.3.1.197;2.1.2.3;6.2.1.11;2.3.2.1;2.3.3.14;1.2.1.95;2.1.3.12;6.1.2.2;6.3.4.10;6.3.1.20
156,
172,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
171,
169,
166,
158,
191,1.1.1.69;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.5;1.1.3.39;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
192,
159,
179,
189,
176,
193,
194,
157,
187,
174,
165,
199,
200,
160,
161,1.13.12.4;1.13.11.66;1.13.99.1;1.14.13.239
186,
164,
177,
