Reaction,All ECs
1,2.4.1.115;2.4.1.91;2.4.1.-|2.4.1.298;2.4.1.294;2.4.1.116;2.4.1.237;2.4.1.297;2.4.1.81;2.4.1.234;2.4.1.286;2.4.1.170;2.4.1.358;2.4.1.238|2.4.1.249;2.4.1.360;2.4.1.35;2.4.1.186;2.4.1.126;2.4.1.376;2.4.1.315|2.4.1.336;2.4.1.337;2.4.1.46;2.4.1.178|2.4.1.63|2.4.1.85;2.4.1.220;2.4.1.239;2.4.1.47;2.4.1.53;2.4.1.122;2.4.1.86
2,2.4.1.115;2.4.1.91;2.4.1.-|2.4.1.298;2.4.1.294;2.4.1.116;2.4.1.237;2.4.1.297;2.4.1.81;2.4.1.234;2.4.1.286;2.4.1.170;2.4.1.358;2.4.1.238|2.4.1.249;2.4.1.360;2.4.1.35;2.4.1.186;2.4.1.126;2.4.1.376;2.4.1.315|2.4.1.336;2.4.1.337;2.4.1.46;2.4.1.178|2.4.1.63|2.4.1.85;2.4.1.220;2.4.1.239;2.4.1.47;2.4.1.53;2.4.1.122;2.4.1.86
3,1.14.13.107;1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.6.3.5;1.14.13.225|1.6.3.1
4,1.3.1.101;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
5,4.1.1.110;4.1.1.99;4.1.1.33;2.3.1.85;2.3.1|2.3.1.-|2.3.1.206;2.3.1|2.3.1.39|2.3.1.74
6,3.2.1.161;3.2.1.22;3.2.1.22|3.2.1.23|3.2.1.85
7,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.14.15;1.14.14.46;1.14.19.56;1.5.1.39;1.14.14.161;1.14.14.108;1.14.99.46;1.13.12.16;1.14.14.30;1.14.19.9;1.14.14.155
8,2.4.1.280;2.4.1.320;2.4.1.211;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.282;2.4.1.247;2.4.1.329;2.4.1.216;2.4.1.352;2.4.1.230;2.4.1.281;2.3.1.15|2.3.1.51|2.4.1.184|2.4.1.46|3.1.3.4
9,5.3.99.6;1.3.1.42;4.2.1.92;2.3.1.85;2.1.1.79;3.1.2.21;3.1.2.14;3.1.1.98;3.1.1.4
10,2.7.8.31;2.7.8.6;2.7.8.33;2.7.8.40;2.7.8.35;2.7.8.36;2.7.8.13
11,6.3.2.11;3.4.13.18|3.4.13.20|3.4.13.3|3.4.13.5;6.3.2.26;3.4.13.4;3.4.21.39;2.3.1.33;6.3.2.2
12,4.4.1.3;4.4.1.14;1.2.1.3|1.2.1.8
13,4.2.3.-|4.2.3.125;4.2.3.62;4.2.3.24;4.2.3.-|4.2.3.126;4.2.3.-|4.2.3.129;4.2.3.133;4.2.3.7;4.2.3.204;4.2.3.160;4.2.3.67;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;4.2.3.69;4.2.3.172;4.2.3.37;4.2.3.96;4.2.3.136;4.2.3.98;4.2.3.6;4.2.3.80;4.2.3.-|4.2.3.104;4.2.3.165;4.2.3.74;2.5.1.86;4.2.3.64;4.2.3.79;4.2.3|4.2.3.-|4.2.3.56;4.2.3.161;4.2.3.76;4.2.3.73
14,1.14.11.67;1.13|1.13.12.19;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.33;1.14.11.51;1.14.11.53;1.14.11.22;1.14.11.9
15,6.3.5.9;3.1.3.2;3.1.3.23;5.4.2.10|5.4.2.6
16,6.3.1.10;6.3.2.2|6.3.2.3
17,2.4.1.-|2.4.1.328;2.4.1.-|2.4.1.318;2.4.1.327;2.4.1.316;2.4.1.289;2.4.1.325;2.4.2.27;2.4.1.13;2.4.1.278;2.4.1.272;2.4.1.365;2.4.1.-|2.4.1.301;2.4.1.123;2.4.1.239;2.4.1.311;2.4.1.270;2.4.1.356;2.4.1.187;2.4.1.343;2.4.1.305;2.4.1.304;2.4.1.180
18,2.7.11.2;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.189;2.7.1.219;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16;2.7.1.16|2.7.1.47;2.7.1.53;2.7.1.30
19,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
20,1.14.11.67;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.51;1.14.11.53;1.13|1.13.12.19;1.14.11.38;1.14.11.16;1.14.11.2;1.14.11.7
21,1.3.1.42;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.11.1.2;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39|2.3.1.86;1.1.1.184
22,2.1.1.128;2.1.1.6;2.1.1.42;2.1.1.68;2.1.1.267;2.1.1.336;2.1.1.116;2.1.1.104;2.1.1.-|2.1.1.291;2.1.1.132;2.1.1.65;2.1.1.114;2.1.1.338;2.1.1.222
23,2.5.1.137;2.5.1.136;2.5.1.75
24,2.6.1.44|2.6.1.45|2.6.1.7;2.6.1.18;2.6.1.-|2.6.1.19|2.6.1.96;2.6.1.21;2.6.1.13
25,5.3.1.23
26,2.6.1.108;2.6.1.21;2.6.1.30|2.6.1.54;2.6.1.119;2.6.1.37;2.6.1.18;2.6.1.-|2.6.1.19|2.6.1.96;2.6.1.77;2.6.1.40;2.6.1.-|2.6.1.113|2.6.1.29
27,4.2.1.24;2.3.1.37;5.4.3.8
28,2.4.1.187;2.4.1.-|2.4.1.291;2.4.1.180;2.4.1.304;2.4.1.-|2.4.1.292;2.4.1.227
29,1.1.3.10;1.6.3.1;1.14.18.1;1.1.3.10|1.1.3.4;1.1.3.10|1.1.3.9;1.3.3.6;1.17.3.2;1.1.99.18
