Reaction ID,all_predictions
1,2.4.1;2.7.7;5.1.3;2.7.8;3.2.1
2,2.4.1;3.2.1;2.7.8;5.1.3;2.4.2
3,1.14.13;1.14.14;3.3.2;3.1.7;1.14.15
4,1.3.1;2.3.1;1.3.-;1.1.1;1.3.7
5,4.1.1;1.1.1;5.3.3;1.17.1;2.5.1
6,3.2.1;2.4.1;5.1.3;3.1.1;5.3.1
7,1.14.14;1.14.13;1.14.19;4.2.1;1.5.1
8,2.4.1;3.1.3;2.7.1;2.4.2;2.7.7
9,5.3.99;5.99.1;4.2.1;5.4.4;4.4.1
10,2.3.1;2.7.4;2.4.1;5.1.3;2.7.8
11,3.4.13;6.3.2;3.5.1;3.4.11;3.4.21
12,4.4.1;4.1.99;2.5.1;2.1.1;1.6.98
13,4.2.3;3.1.7;4.3.2;2.5.1;5.5.1
14,1.14.20;1.14.11;1.13.12;4.5.1;4.1.99
15,3.1.3;4.2.3;3.6.1;3.1.4;3.2.1
16,3.6.3;3.6.1;3.6.4;3.A.1;3.6.5
17,2.4.1;2.4.2;2.3.1;4.1.3;2.7.7
18,2.7.11;2.7.1;2.7.12;2.7.10;2.7.4
19,3.1.1;2.3.1;3.1.2;3.1.-;3.5.1
20,1.14.11;1.14.20;4.1.1;1.2.4;1.5.3
21,1.3.1;1.1.1;1.6.5;1.18.1;5.3.3
22,2.1.1;2.3.1;2.5.1;1.-.-;6.3.2
23,2.5.1;1.3.1;4.2.99;6.3.2;4.2.3
24,2.6.1;4.1.3;4.1.2;3.4.13;5.3.1
25,5.3.1;2.7.1;1.1.3;3.1.1;2.7.8
26,2.6.1;2.3.1;1.1.1;1.1.2;4.1.2
27,4.2.1;2.3.1;4.3.1;2.6.1;3.1.1
28,2.4.1;3.2.1;2.7.1;3.-.-;2.7.7
29,1.1.3;2.4.1;1.8.3;1.14.18;1.21.3
30,3.2.1;3.5.1;3.1.1;3.2.2;2.4.1
31,4.2.1;3.5.1;3.2.1;2.3.1;3.2.-
32,2.7.7;2.7.4;2.7.1;2.4.2;2.7.6
33,2.6.1;2.3.1;4.2.1;5.1.3;1.1.1
34,2.8.3;2.3.1;3.1.1;5.4.99;5.1.2
35,1.3.3;1.3.98;4.1.1;1.13.11;1.3.5
36,5.1.1;2.6.1;6.3.2;2.5.1;2.7.8
37,2.7.1;2.7.3;2.7.11;2.7.9;2.7.4
38,5.4.3;2.3.1;2.6.1;4.2.1;4.1.2
39,2.3.1;2.6.1;3.2.1;6.3.4;3.1.1
40,2.4.2;3.2.2;3.5.4;3.1.4;1.14.13
41,4.2.3;4.3.2;4.1.99;4.2.1;5.5.1
42,2.3.1;1.3.1;3.1.2;1.2.4;1.3.3
43,2.7.1;2.7.3;2.7.13;3.9.1;2.7.4
44,1.13.11;1.14.99;4.2.1;5.4.4;1.14.12
45,2.1.1;2.5.1;2.3.1;2.4.2;3.3.1
46,4.2.3;3.1.7;2.8.5;2.5.1;4.3.2
47,1.14.19;1.14.99;1.13.11;1.9.3;5.2.1
48,3.1.4;3.6.1;3.1.-;3.1.26;4.6.1
49,1.2.1;1.1.1;1.5.1;1.4.1;4.1.99
50,1.1.1;1.1.99;1.1.5;1.-.-;1.3.1
51,2.3.1;3.1.2;3.1.1;6.2.1;2.3.3
52,3.5.1;3.7.1;3.1.1;2.3.1;4.2.1
53,1.3.1;1.1.1;1.3.99;1.6.5;1.6.99
54,5.4.2;2.7.1;2.3.1;2.7.7;3.1.1
55,2.6.1;1.1.1;1.1.-;4.1.1;4.1.2
56,4.1.2;4.1.3;1.1.1;2.5.1;2.7.6
57,2.4.1;3.2.1;2.4.2;5.4.99;2.3.1
58,2.1.1;2.-.-;2.5.1;2.3.1;3.3.1
59,2.8.2;2.7.8;2.7.1;3.6.2;2.7.4
60,3.6.1;3.1.3;3.6.2;2.7.7;4.2.3
61,4.1.2;3.5.5;4.5.1;4.2.1;2.5.1
62,2.1.1;2.3.1;1.14.11;2.5.1;6.-.-
63,2.6.99;2.7.7;2.4.2;2.7.6;6.1.2
64,3.1.6;2.5.1;1.8.2;3.10.1;4.3.1
65,3.6.1;3.-.-;2.7.1;3.6.3;3.A.1
66,1.3.99;1.3.8;1.3.3;1.3.5;1.3.1
67,2.3.1;3.1.2;1.2.7;4.1.1;6.2.1
68,1.1.1;1.8.1;1.5.1;1.3.1;1.6.5
69,3.5.1;3.5.2;3.1.1;5.1.1;2.1.3
70,3.6.1;3.1.3;3.6.2;2.7.7;4.2.3
71,1.1.1;1.3.1;2.7.1;1.1.5;1.12.1
72,2.7.8;5.1.3;2.7.7;2.7.1;2.4.1
73,3.6.3;3.6.1;3.6.4;3.A.1;3.6.5
74,5.4.99;2.3.1;1.14.99;2.4.2;2.8.3
75,1.14.14;5.4.4;1.14.13;5.3.99;4.2.1
76,2.8.3;1.1.99;2.6.1;1.1.1;4.1.2
77,1.1.1;1.2.1;1.1.2;1.3.1;1.6.5
78,3.7.1;4.1.3;3.5.1;3.1.1;4.4.1
79,2.4.99;3.1.4;2.7.7;3.1.-;3.6.2
80,1.14.11;1.14.20;4.4.1;1.1.99;1.1.1
81,1.1.1;1.8.1;1.3.1;1.6.5;4.2.1
82,3.5.2;1.17.99;1.3.3;1.14.19;1.3.-
83,1.14.14;1.14.13;5.4.4;4.2.1;5.3.99
84,2.1.3;3.5.3;6.3.5;4.2.3;3.5.1
85,4.2.1;5.4.4;2.3.3;4.1.3;5.4.99
86,2.3.1;1.2.7;2.1.1;2.6.1;6.2.1
87,3.1.1;3.2.2;3.1.-;3.1.2;3.5.1
88,1.4.3;1.5.3;1.3.99;3.5.1;1.5.99
89,1.3.1;1.14.12;1.1.1;1.6.5;1.2.1
90,2.7.8;4.6.1;2.7.1;2.3.1;6.5.1
91,1.3.99;1.14.19;1.3.3;1.3.8;1.6.99
92,4.2.1;3.7.1;5.5.1;1.1.1;4.1.2
93,2.7.1;2.7.11;2.7.4;2.3.1;2.7.2
94,1.1.1;1.3.1;1.-.-;2.3.1;3.1.1
