method,seed,mcc,ppv,recall
E-zyme1,0,0.5009729143861947,0.5836643354145413,0.48936170212765956
E-zyme2,0,0.42713292271983516,0.3929824021207432,0.6191489361702127
BridgIT,0,0.4854965957797,0.595388235981181,0.4441489361702128
SelenzymeRF,0,0.47297802603561906,0.48841104586283635,0.5015957446808511
SIMMER,0,0.5978854667588209,0.6328326296965353,0.5957446808510638
Theia,0,0.8126893624604884,0.8368670666007059,0.8117021276595745
BEC-Pred,0,0.7865392834073271,0.8010703990303141,0.7941489361702128
E-zyme1,1,0.4910453622866495,0.6053590323467813,0.47791378392762107
E-zyme2,1,0.434874775816839,0.41124692140554964,0.6226716338477913
BridgIT,1,0.498797944895023,0.6343043719841752,0.4555614688664183
SelenzymeRF,1,0.49251125320258055,0.5054351758081196,0.5306013837147419
SIMMER,1,0.5590947658423328,0.6048964405207992,0.5497605109100585
Theia,1,0.8100954618735753,0.8290723821118563,0.8121341138903673
BEC-Pred,1,0.7780484389379507,0.7922924480543332,0.7865886109632784
E-zyme1,2,0.4916142143708745,0.5847740649616258,0.4780982905982906
E-zyme2,2,0.4277943320431697,0.40737265594480615,0.6121794871794872
BridgIT,2,0.5170754295147336,0.6539343880815306,0.46794871794871795
SelenzymeRF,2,0.4853267401500078,0.49984240224130616,0.5192307692307693
SIMMER,2,0.5442893238808032,0.5820094781503362,0.5395299145299145
Theia,2,0.7962537788096021,0.816523272625585,0.8002136752136753
BEC-Pred,2,0.7795351440896225,0.7906242650490742,0.7916666666666666
E-zyme1,3,0.4983059376801828,0.6074865226805146,0.4855460385438972
E-zyme2,3,0.42386926358521576,0.3990613397910185,0.6215203426124197
BridgIT,3,0.5139474710424441,0.6366732398728719,0.4673447537473233
SelenzymeRF,3,0.4775631225371245,0.4876820206752833,0.515524625267666
SIMMER,3,0.5662187214482494,0.6098331721811782,0.5583511777301927
Theia,3,0.8043777032395499,0.8249569890190489,0.8094218415417559
BEC-Pred,3,0.809432500753992,0.8228779061930196,0.8153104925053534
E-zyme1,4,0.4898705343633074,0.5724026288863368,0.48373333333333335
E-zyme2,4,0.43640172045377223,0.4138757787693498,0.6256
BridgIT,4,0.5211939236959777,0.6253723045258106,0.47413333333333335
SelenzymeRF,4,0.48492428851889113,0.49759039851672066,0.5157333333333334
SIMMER,4,0.5650532360518009,0.6037241507978833,0.56
Theia,4,0.8023441568347949,0.8213573508553378,0.8058666666666666
BEC-Pred,4,0.7926326787044432,0.8032372238334486,0.8016
E-zyme1,5,0.4883302346773001,0.5890207340553073,0.47611464968152867
E-zyme2,5,0.4394632199881852,0.41485645344669375,0.631104033970276
BridgIT,5,0.5043358156252494,0.6366042214445689,0.4548832271762208
SelenzymeRF,5,0.507273830337808,0.5159730333445075,0.5403397027600849
SIMMER,5,0.5803354837579785,0.623689365046482,0.5732484076433121
Theia,5,0.807432690458004,0.8246433810491707,0.8099787685774947
BEC-Pred,5,0.8041123864692675,0.8192737701551198,0.807855626326964
E-zyme1,6,0.47967181067048675,0.5772492888615137,0.4715576820839979
E-zyme2,6,0.43046098515244235,0.40168107410536646,0.6257309941520468
BridgIT,6,0.5081068379648921,0.6114340002100591,0.46677299308878256
SelenzymeRF,6,0.48550450449789245,0.5088691341616048,0.5119617224880383
SIMMER,6,0.5412657440242146,0.5912075036525578,0.5300372142477405
Theia,6,0.8052952664403467,0.8328599029167209,0.8038277511961722
BEC-Pred,6,0.7838469450901981,0.7944717001547952,0.7926634768740032
E-zyme1,7,0.48960976203906653,0.5927096299790886,0.47619047619047616
E-zyme2,7,0.4141573961208811,0.38673413001177714,0.6163723916532905
BridgIT,7,0.4895917596691896,0.6262104081217748,0.4451578384162654
SelenzymeRF,7,0.4754412882325949,0.4906543887827987,0.5066880684858213
SIMMER,7,0.5707468375509182,0.6052176465108238,0.5687533440342429
Theia,7,0.8132678484813429,0.8340797603982639,0.8159443552701979
BEC-Pred,7,0.8058762995541638,0.8147068584395828,0.8164794007490637
E-zyme1,8,0.46364081537909035,0.5371105509676586,0.46309081253319173
E-zyme2,8,0.4196258397455723,0.4031897053549252,0.6186935740839087
BridgIT,8,0.5126596107899701,0.6410929521598191,0.4604354753053638
SelenzymeRF,8,0.48215172487610264,0.49629952885295847,0.5130111524163569
SIMMER,8,0.5780506303519417,0.6201014031698087,0.5698353690918747
Theia,8,0.8131416443532227,0.8366598684633466,0.8114710568242167
BEC-Pred,8,0.795206777505968,0.8135293115649013,0.7976633032395114
E-zyme1,9,0.5047969844999003,0.5997633587648237,0.49174214171550346
E-zyme2,9,0.4359493409509861,0.4104529028159935,0.6259989344698987
BridgIT,9,0.5035933571422848,0.6381980636931861,0.447522642514651
SelenzymeRF,9,0.4890699267415205,0.4957284324093626,0.5231752797016516
SIMMER,9,0.5779943985773918,0.6143797788443145,0.5737879595098562
Theia,9,0.8057709945717743,0.8260610527677377,0.8087373468300479
BEC-Pred,9,0.7979783945310627,0.8150862932943925,0.8034096963239211
