method,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,coverage,total_support
SelenzymeRF,1,0.49156338764380497,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,2,0.6057511093958732,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,3,0.4278934356761825,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,4,0.26369545395199184,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,5,0.2953920262991395,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,6,0.4034361986372653,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
SelenzymeRF,7,,0.48530965801751336,0.49652670393166976,0.5186170212765957,0.9940891993551854,1880
BEC-Pred,1,0.7640051561510391,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,2,0.8533493864771398,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,3,0.7865134359261196,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,4,0.7832289626571222,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,5,0.7285772081108352,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,6,0.6462696584050042,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
BEC-Pred,7,,0.7943779868105486,0.8062919368643862,0.8021276595744681,1.0,1880
SIMMER,1,0.42816250688881075,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,2,0.7020814934203271,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,3,0.5630083164483268,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,4,0.6012178273513428,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,5,0.561825647857919,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,6,0.4519842827347765,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
SIMMER,7,,0.5662531101088593,0.6032505163648519,0.5617021276595745,0.907039226222461,1880
BridgIT,1,0.3346614214786357,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,2,0.6842040492251568,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,3,0.686973789482517,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,4,0.35939362529014,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,5,0.08931773156289038,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,6,0.6568936888266136,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
BridgIT,7,,0.5085842768783896,0.6334962744539514,0.4595744680851064,0.7130574959699086,1880
CLAIRE,1,0.3476478710498454,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,2,0.554427626431716,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,3,0.5884145800098272,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,4,0.4359196344915045,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,5,0.6530432364940083,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,6,0.44323900608907213,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
CLAIRE,7,,0.479247381448031,0.5746668767724182,0.4553191489361702,0.9978506179473401,1880
E-zyme1,1,0.37891617198593497,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,2,0.560768081482386,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,3,0.42737189337826265,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,4,0.6858468900816634,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,5,0.7956711804036148,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,6,0.06368124681353494,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme1,7,,0.4880711858618173,0.5921225234117622,0.475531914893617,0.7877485222998388,1880
E-zyme2,1,0.3266682233584788,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,2,0.42483967880811185,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,3,0.6098686205626138,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,4,0.5035550652050095,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,5,0.6014606358432779,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,6,0.2037946335856948,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
E-zyme2,7,,0.4286171363884219,0.4023894656957892,0.624468085106383,0.7882858678130038,1880
Theia,1,0.8459986839553351,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,2,0.7773485694156304,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,3,0.808425742853836,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,4,0.8112282383020096,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,5,0.8070496351583939,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,6,0.702770312914699,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
Theia,7,,0.8069905902091741,0.8270868583124455,0.8085106382978723,0.9962385814078453,1880
